#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05    2.0382190e+06  8.1753520e+03
  -7.500e+02    4.4514700e+05  8.1753520e+03
  -7.250e+02    4.6838270e+05  8.1753520e+03
  -7.000e+02    4.9345280e+05  8.1753520e+03
  -6.750e+02    4.8733820e+05  8.1753520e+03
  -6.500e+02    4.7938910e+05  8.1753520e+03
  -6.250e+02    4.8794960e+05  8.1753520e+03
  -6.000e+02    4.7042090e+05  8.1753520e+03
  -5.750e+02    4.7205150e+05  8.1753520e+03
  -5.500e+02    4.7816620e+05  8.1753520e+03
  -5.250e+02    4.8203880e+05  8.1753520e+03
  -5.000e+02    4.8305790e+05  8.1753520e+03
  -4.750e+02    4.6919800e+05  8.1753520e+03
  -4.500e+02    4.5065020e+05  8.1753520e+03
  -4.250e+02    4.4779670e+05  8.1753520e+03
  -4.000e+02    4.7123620e+05  8.1753520e+03
  -3.750e+02    4.8142730e+05  8.1753520e+03
  -3.500e+02    4.5758020e+05  8.1753520e+03
  -3.250e+02    4.6940180e+05  8.1753520e+03
  -3.000e+02    4.5391140e+05  8.1753520e+03
  -2.750e+02    4.4310880e+05  8.1753520e+03
  -2.500e+02    4.1600050e+05  8.1753520e+03
  -2.250e+02    4.3903240e+05  8.1753520e+03
  -2.000e+02    4.2007690e+05  8.1753520e+03
  -1.750e+02    3.6952910e+05  8.1753520e+03
  -1.500e+02    3.1836980e+05  8.1753520e+03
  -1.250e+02    2.2644610e+05  8.1753520e+03
  -1.000e+02    7.1337670e+04  8.1753520e+03
  -7.500e+01    3.0165640e+04  8.1753520e+03
  -5.000e+01    2.5070090e+04  8.1753520e+03
  -2.500e+01    3.7299410e+04  8.1753520e+03
   0.000e+00    7.6433210e+04  8.1753520e+03
   2.500e+01    9.1923680e+04  8.1753520e+03
   5.000e+01    7.0930020e+04  8.1753520e+03
   7.500e+01    4.4433170e+04  8.1753520e+03
   1.000e+02    1.3207660e+05  8.1753520e+03
   1.250e+02    2.7699400e+05  8.1753520e+03
   1.500e+02    3.6626800e+05  8.1753520e+03
   1.750e+02    4.1803870e+05  8.1753520e+03
   2.000e+02    4.4779670e+05  8.1753520e+03
   2.250e+02    4.7816620e+05  8.1753520e+03
   2.500e+02    4.5085400e+05  8.1753520e+03
   2.750e+02    4.6817890e+05  8.1753520e+03
   3.000e+02    4.5839550e+05  8.1753520e+03
   3.250e+02    4.6247190e+05  8.1753520e+03
   3.500e+02    4.6226810e+05  8.1753520e+03
   3.750e+02    4.7837000e+05  8.1753520e+03
   4.000e+02    4.2721070e+05  8.1753520e+03
   4.250e+02    4.5880310e+05  8.1753520e+03
   4.500e+02    4.8468850e+05  8.1753520e+03
   4.750e+02    4.7368210e+05  8.1753520e+03
   5.000e+02    4.6247190e+05  8.1753520e+03
   5.250e+02    4.9161840e+05  8.1753520e+03
   5.500e+02    4.7408970e+05  8.1753520e+03
   5.750e+02    4.6287950e+05  8.1753520e+03
   6.000e+02    4.7408970e+05  8.1753520e+03
   6.250e+02    4.7918530e+05  8.1753520e+03
   6.500e+02    4.7612800e+05  8.1753520e+03
   6.750e+02    4.5859930e+05  8.1753520e+03
   7.000e+02    4.7021710e+05  8.1753520e+03
   7.250e+02    4.6736360e+05  8.1753520e+03
   7.500e+02    4.7286680e+05  8.1753520e+03
