#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05   -2.6962690e+06  8.0110040e+03
  -7.500e+02   -7.1154540e+05  8.0110040e+03
  -7.250e+02   -6.9267150e+05  8.0110040e+03
  -7.000e+02   -7.1046690e+05  8.0110040e+03
  -6.750e+02   -6.9617670e+05  8.0110040e+03
  -6.500e+02   -7.0129960e+05  8.0110040e+03
  -6.250e+02   -6.8458270e+05  8.0110040e+03
  -6.000e+02   -6.7056210e+05  8.0110040e+03
  -5.750e+02   -6.9267150e+05  8.0110040e+03
  -5.500e+02   -6.9725520e+05  8.0110040e+03
  -5.250e+02   -6.8053830e+05  8.0110040e+03
  -5.000e+02   -6.9671590e+05  8.0110040e+03
  -4.750e+02   -7.0669210e+05  8.0110040e+03
  -4.500e+02   -6.7541540e+05  8.0110040e+03
  -4.250e+02   -7.0884910e+05  8.0110040e+03
  -4.000e+02   -6.9779440e+05  8.0110040e+03
  -3.750e+02   -6.8889670e+05  8.0110040e+03
  -3.500e+02   -6.7945980e+05  8.0110040e+03
  -3.250e+02   -6.8673970e+05  8.0110040e+03
  -3.000e+02   -6.9671590e+05  8.0110040e+03
  -2.750e+02   -7.1558980e+05  8.0110040e+03
  -2.500e+02   -6.8539160e+05  8.0110040e+03
  -2.250e+02   -6.9914260e+05  8.0110040e+03
  -2.000e+02   -6.9105370e+05  8.0110040e+03
  -1.750e+02   -6.7083170e+05  8.0110040e+03
  -1.500e+02   -7.0022110e+05  8.0110040e+03
  -1.250e+02   -6.7002280e+05  8.0110040e+03
  -1.000e+02   -6.9159300e+05  8.0110040e+03
  -7.500e+01   -6.7460650e+05  8.0110040e+03
  -5.000e+01   -6.8943600e+05  8.0110040e+03
  -2.500e+01   -6.8566120e+05  8.0110040e+03
   0.000e+00   -6.7271910e+05  8.0110040e+03
   2.500e+01   -6.7352800e+05  8.0110040e+03
   5.000e+01   -6.5492370e+05  8.0110040e+03
   7.500e+01   -6.3335360e+05  8.0110040e+03
   1.000e+02   -5.9021330e+05  8.0110040e+03
   1.250e+02   -5.1444810e+05  8.0110040e+03
   1.500e+02   -3.6723180e+05  8.0110040e+03
   1.750e+02   -1.4775550e+05  8.0110040e+03
   2.000e+02   -7.5495530e+04  8.0110040e+03
   2.250e+02   -1.1459140e+05  8.0110040e+03
   2.500e+02   -2.1219640e+05  8.0110040e+03
   2.750e+02   -2.6989650e+05  8.0110040e+03
   3.000e+02   -2.7528910e+05  8.0110040e+03
   3.250e+02   -2.2864360e+05  8.0110040e+03
   3.500e+02   -1.4667700e+05  8.0110040e+03
   3.750e+02   -5.2577250e+04  8.0110040e+03
   4.000e+02   -4.3140300e+03  8.0110040e+03
   4.250e+02    9.7065680e+03  8.0110040e+03
   4.500e+02   -1.2726390e+05  8.0110040e+03
   4.750e+02   -3.8233090e+05  8.0110040e+03
   5.000e+02   -4.8802470e+05  8.0110040e+03
   5.250e+02   -5.7322680e+05  8.0110040e+03
   5.500e+02   -6.3119660e+05  8.0110040e+03
   5.750e+02   -6.1474930e+05  8.0110040e+03
   6.000e+02   -6.6975320e+05  8.0110040e+03
   6.250e+02   -6.8107750e+05  8.0110040e+03
   6.500e+02   -6.8943600e+05  8.0110040e+03
   6.750e+02   -6.9267150e+05  8.0110040e+03
   7.000e+02   -6.7811170e+05  8.0110040e+03
   7.250e+02   -6.9078410e+05  8.0110040e+03
   7.500e+02   -6.9590700e+05  8.0110040e+03
