#Offset (Hz)        Intensity    Uncertainty
  -1.200e+05   -1.5167630e+06  8.0125610e+03
  -7.500e+02   -3.1973360e+05  8.0125610e+03
  -7.250e+02   -3.3126100e+05  8.0125610e+03
  -7.000e+02   -3.2064370e+05  8.0125610e+03
  -6.750e+02   -2.9137020e+05  8.0125610e+03
  -6.500e+02   -2.7074220e+05  8.0125610e+03
  -6.250e+02   -2.2675610e+05  8.0125610e+03
  -6.000e+02   -1.5546820e+05  8.0125610e+03
  -5.750e+02   -5.2480000e+04  8.0125610e+03
  -5.500e+02    1.0617340e+04  8.0125610e+03
  -5.250e+02    9.4039310e+03  8.0125610e+03
  -5.000e+02   -8.9489020e+03  8.0125610e+03
  -4.750e+02   -8.4180350e+04  8.0125610e+03
  -4.500e+02   -1.6259700e+05  8.0125610e+03
  -4.250e+02   -1.9551080e+05  8.0125610e+03
  -4.000e+02   -2.1689710e+05  8.0125610e+03
  -3.750e+02   -2.2008230e+05  8.0125610e+03
  -3.500e+02   -2.1613870e+05  8.0125610e+03
  -3.250e+02   -2.1052670e+05  8.0125610e+03
  -3.000e+02   -1.9232550e+05  8.0125610e+03
  -2.750e+02   -1.5410310e+05  8.0125610e+03
  -2.500e+02   -1.0511170e+05  8.0125610e+03
  -2.250e+02   -6.9316070e+04  8.0125610e+03
  -2.000e+02   -5.2328320e+04  8.0125610e+03
  -1.750e+02   -9.9044620e+04  8.0125610e+03
  -1.500e+02   -1.8550010e+05  8.0125610e+03
  -1.250e+02   -2.6315840e+05  8.0125610e+03
  -1.000e+02   -2.9121850e+05  8.0125610e+03
  -7.500e+01   -3.0274590e+05  8.0125610e+03
  -5.000e+01   -2.8879170e+05  8.0125610e+03
  -2.500e+01   -3.4187840e+05  8.0125610e+03
   0.000e+00   -3.1594170e+05  8.0125610e+03
   2.500e+01   -3.2686240e+05  8.0125610e+03
   5.000e+01   -3.4582200e+05  8.0125610e+03
   7.500e+01   -3.2443560e+05  8.0125610e+03
   1.000e+02   -3.4203010e+05  8.0125610e+03
   1.250e+02   -3.2716580e+05  8.0125610e+03
   1.500e+02   -3.3095770e+05  8.0125610e+03
   1.750e+02   -3.2868250e+05  8.0125610e+03
   2.000e+02   -3.3520460e+05  8.0125610e+03
   2.250e+02   -3.5310240e+05  8.0125610e+03
   2.500e+02   -3.5401250e+05  8.0125610e+03
   2.750e+02   -3.4400180e+05  8.0125610e+03
   3.000e+02   -3.3838980e+05  8.0125610e+03
   3.250e+02   -3.3338450e+05  8.0125610e+03
   3.500e+02   -3.3156440e+05  8.0125610e+03
   3.750e+02   -3.4521530e+05  8.0125610e+03
   4.000e+02   -3.3383950e+05  8.0125610e+03
   4.250e+02   -3.3763140e+05  8.0125610e+03
   4.500e+02   -3.4248510e+05  8.0125610e+03
   4.750e+02   -3.2959260e+05  8.0125610e+03
   5.000e+02   -3.3490130e+05  8.0125610e+03
   5.250e+02   -3.4005830e+05  8.0125610e+03
   5.500e+02   -3.4051330e+05  8.0125610e+03
   5.750e+02   -3.3110940e+05  8.0125610e+03
   6.000e+02   -3.2944090e+05  8.0125610e+03
   6.250e+02   -3.2549730e+05  8.0125610e+03
   6.500e+02   -3.3808650e+05  8.0125610e+03
   6.750e+02   -3.4855210e+05  8.0125610e+03
   7.000e+02   -3.3126100e+05  8.0125610e+03
   7.250e+02   -3.3687310e+05  8.0125610e+03
   7.500e+02   -3.4263680e+05  8.0125610e+03
