#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    9.6653620e+04  3.5855020e+02
  -1.100e+03    2.5294252e+04  3.5855020e+02
  -1.090e+03    2.5555217e+04  3.5855020e+02
  -1.080e+03    2.6782718e+04  3.5855020e+02
  -1.070e+03    2.6405769e+04  3.5855020e+02
  -1.060e+03    2.6666734e+04  3.5855020e+02
  -1.050e+03    2.6415434e+04  3.5855020e+02
  -1.040e+03    2.5825847e+04  3.5855020e+02
  -1.030e+03    2.5883839e+04  3.5855020e+02
  -1.020e+03    2.6096477e+04  3.5855020e+02
  -1.010e+03    2.5516556e+04  3.5855020e+02
  -1.000e+03    2.6686064e+04  3.5855020e+02
  -9.900e+02    2.6154470e+04  3.5855020e+02
  -9.800e+02    2.5835513e+04  3.5855020e+02
  -9.700e+02    2.5825847e+04  3.5855020e+02
  -9.600e+02    2.6144804e+04  3.5855020e+02
  -9.500e+02    2.6338111e+04  3.5855020e+02
  -9.400e+02    2.6734391e+04  3.5855020e+02
  -9.300e+02    2.6502423e+04  3.5855020e+02
  -9.200e+02    2.6898702e+04  3.5855020e+02
  -9.100e+02    2.6154470e+04  3.5855020e+02
  -9.000e+02    2.5642205e+04  3.5855020e+02
  -8.900e+02    2.6434765e+04  3.5855020e+02
  -8.800e+02    2.6193131e+04  3.5855020e+02
  -8.700e+02    2.5458564e+04  3.5855020e+02
  -8.600e+02    2.6154470e+04  3.5855020e+02
  -8.500e+02    2.6222127e+04  3.5855020e+02
  -8.400e+02    2.6628072e+04  3.5855020e+02
  -8.300e+02    2.6164135e+04  3.5855020e+02
  -8.200e+02    2.7005021e+04  3.5855020e+02
  -8.100e+02    2.6686064e+04  3.5855020e+02
  -8.000e+02    2.6251123e+04  3.5855020e+02
  -7.900e+02    2.6048151e+04  3.5855020e+02
  -7.800e+02    2.6028820e+04  3.5855020e+02
  -7.700e+02    2.6125473e+04  3.5855020e+02
  -7.600e+02    2.6115808e+04  3.5855020e+02
  -7.500e+02    2.5845178e+04  3.5855020e+02
  -7.400e+02    2.6222127e+04  3.5855020e+02
  -7.300e+02    2.6570080e+04  3.5855020e+02
  -7.200e+02    2.5941832e+04  3.5855020e+02
  -7.100e+02    2.5303918e+04  3.5855020e+02
  -7.000e+02    2.6028820e+04  3.5855020e+02
  -6.900e+02    2.6125473e+04  3.5855020e+02
  -6.800e+02    2.5816182e+04  3.5855020e+02
  -6.700e+02    2.6715061e+04  3.5855020e+02
  -6.600e+02    2.5545552e+04  3.5855020e+02
  -6.500e+02    2.5893505e+04  3.5855020e+02
  -6.400e+02    2.6115808e+04  3.5855020e+02
  -6.300e+02    2.5951497e+04  3.5855020e+02
  -6.200e+02    2.6038485e+04  3.5855020e+02
  -6.100e+02    2.6405769e+04  3.5855020e+02
  -6.000e+02    2.5690532e+04  3.5855020e+02
  -5.900e+02    2.6067481e+04  3.5855020e+02
  -5.800e+02    2.6309115e+04  3.5855020e+02
  -5.700e+02    2.6521753e+04  3.5855020e+02
  -5.600e+02    2.5874174e+04  3.5855020e+02
  -5.500e+02    2.6695730e+04  3.5855020e+02
  -5.400e+02    2.6850376e+04  3.5855020e+02
  -5.300e+02    2.6502423e+04  3.5855020e+02
  -5.200e+02    2.6067481e+04  3.5855020e+02
  -5.100e+02    2.5787186e+04  3.5855020e+02
  -5.000e+02    2.5593879e+04  3.5855020e+02
  -4.900e+02    2.5980493e+04  3.5855020e+02
  -4.800e+02    2.6811714e+04  3.5855020e+02
  -4.700e+02    2.5661536e+04  3.5855020e+02
  -4.600e+02    2.5052618e+04  3.5855020e+02
  -4.500e+02    2.7072679e+04  3.5855020e+02
  -4.400e+02    2.5506890e+04  3.5855020e+02
  -4.300e+02    2.5922501e+04  3.5855020e+02
  -4.200e+02    2.6483092e+04  3.5855020e+02
  -4.100e+02    2.6686064e+04  3.5855020e+02
  -4.000e+02    2.6705395e+04  3.5855020e+02
  -3.900e+02    2.6193131e+04  3.5855020e+02
  -3.800e+02    2.5796851e+04  3.5855020e+02
  -3.700e+02    2.4704665e+04  3.5855020e+02
  -3.600e+02    2.7053348e+04  3.5855020e+02
  -3.500e+02    2.5584213e+04  3.5855020e+02
  -3.400e+02    2.5487560e+04  3.5855020e+02
  -3.300e+02    2.5845178e+04  3.5855020e+02
  -3.200e+02    2.5236260e+04  3.5855020e+02
  -3.100e+02    2.5690532e+04  3.5855020e+02
  -3.000e+02    2.5526221e+04  3.5855020e+02
  -2.900e+02    2.6173800e+04  3.5855020e+02
  -2.800e+02    2.5226595e+04  3.5855020e+02
  -2.700e+02    2.4897973e+04  3.5855020e+02
  -2.600e+02    2.5758190e+04  3.5855020e+02
  -2.500e+02    2.5980493e+04  3.5855020e+02
  -2.400e+02    2.5526221e+04  3.5855020e+02
  -2.300e+02    2.6077147e+04  3.5855020e+02
