#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.5028220e+05  3.5892380e+02
  -1.100e+03    4.3266245e+04  3.5892380e+02
  -1.090e+03    4.5099688e+04  3.5892380e+02
  -1.080e+03    4.4137882e+04  3.5892380e+02
  -1.070e+03    4.4468503e+04  3.5892380e+02
  -1.060e+03    4.3867374e+04  3.5892380e+02
  -1.050e+03    4.4723983e+04  3.5892380e+02
  -1.040e+03    4.4678898e+04  3.5892380e+02
  -1.030e+03    4.4213023e+04  3.5892380e+02
  -1.020e+03    4.4889293e+04  3.5892380e+02
  -1.010e+03    4.4258108e+04  3.5892380e+02
  -1.000e+03    4.4122854e+04  3.5892380e+02
  -9.900e+02    4.5415281e+04  3.5892380e+02
  -9.800e+02    4.4799124e+04  3.5892380e+02
  -9.700e+02    4.3972572e+04  3.5892380e+02
  -9.600e+02    4.4994491e+04  3.5892380e+02
  -9.500e+02    4.5280027e+04  3.5892380e+02
  -9.400e+02    4.3596866e+04  3.5892380e+02
  -9.300e+02    4.4438447e+04  3.5892380e+02
  -9.200e+02    4.5385224e+04  3.5892380e+02
  -9.100e+02    4.4528616e+04  3.5892380e+02
  -9.000e+02    4.5054604e+04  3.5892380e+02
  -8.900e+02    4.4228051e+04  3.5892380e+02
  -8.800e+02    4.3732120e+04  3.5892380e+02
  -8.700e+02    4.4062741e+04  3.5892380e+02
  -8.600e+02    4.4814152e+04  3.5892380e+02
  -8.500e+02    4.3461612e+04  3.5892380e+02
  -8.400e+02    4.3882402e+04  3.5892380e+02
  -8.300e+02    4.5084660e+04  3.5892380e+02
  -8.200e+02    4.3236189e+04  3.5892380e+02
  -8.100e+02    4.4092797e+04  3.5892380e+02
  -8.000e+02    4.3461612e+04  3.5892380e+02
  -7.900e+02    4.4994491e+04  3.5892380e+02
  -7.800e+02    4.4318221e+04  3.5892380e+02
  -7.700e+02    4.4032685e+04  3.5892380e+02
  -7.600e+02    4.3912459e+04  3.5892380e+02
  -7.500e+02    4.5099688e+04  3.5892380e+02
  -7.400e+02    4.3491669e+04  3.5892380e+02
  -7.300e+02    4.4799124e+04  3.5892380e+02
  -7.200e+02    4.4228051e+04  3.5892380e+02
  -7.100e+02    4.5370196e+04  3.5892380e+02
  -7.000e+02    4.5174829e+04  3.5892380e+02
  -6.900e+02    4.4678898e+04  3.5892380e+02
  -6.800e+02    4.5054604e+04  3.5892380e+02
  -6.700e+02    4.4107826e+04  3.5892380e+02
  -6.600e+02    4.4678898e+04  3.5892380e+02
  -6.500e+02    4.4182967e+04  3.5892380e+02
  -6.400e+02    4.4919350e+04  3.5892380e+02
  -6.300e+02    4.4723983e+04  3.5892380e+02
  -6.200e+02    4.4919350e+04  3.5892380e+02
  -6.100e+02    4.4844208e+04  3.5892380e+02
  -6.000e+02    4.4528616e+04  3.5892380e+02
  -5.900e+02    4.4769067e+04  3.5892380e+02
  -5.800e+02    4.4107826e+04  3.5892380e+02
  -5.700e+02    4.4784096e+04  3.5892380e+02
  -5.600e+02    4.4618785e+04  3.5892380e+02
  -5.500e+02    4.4228051e+04  3.5892380e+02
  -5.400e+02    4.4528616e+04  3.5892380e+02
  -5.300e+02    4.4107826e+04  3.5892380e+02
  -5.200e+02    4.3777205e+04  3.5892380e+02
  -5.100e+02    4.3807261e+04  3.5892380e+02
  -5.000e+02    4.4543644e+04  3.5892380e+02
  -4.900e+02    4.3972572e+04  3.5892380e+02
  -4.800e+02    4.4618785e+04  3.5892380e+02
  -4.700e+02    4.2950653e+04  3.5892380e+02
  -4.600e+02    4.4273136e+04  3.5892380e+02
  -4.500e+02    4.5219914e+04  3.5892380e+02
  -4.400e+02    4.4588729e+04  3.5892380e+02
  -4.300e+02    4.4784096e+04  3.5892380e+02
  -4.200e+02    4.4303193e+04  3.5892380e+02
  -4.100e+02    4.4844208e+04  3.5892380e+02
  -4.000e+02    4.4092797e+04  3.5892380e+02
  -3.900e+02    4.3837318e+04  3.5892380e+02
  -3.800e+02    4.3055850e+04  3.5892380e+02
  -3.700e+02    4.4062741e+04  3.5892380e+02
  -3.600e+02    4.3807261e+04  3.5892380e+02
  -3.500e+02    4.4077769e+04  3.5892380e+02
  -3.400e+02    4.4333249e+04  3.5892380e+02
  -3.300e+02    4.3656979e+04  3.5892380e+02
  -3.200e+02    4.4558672e+04  3.5892380e+02
  -3.100e+02    4.3732120e+04  3.5892380e+02
  -3.000e+02    4.3807261e+04  3.5892380e+02
  -2.900e+02    4.3010766e+04  3.5892380e+02
  -2.800e+02    4.3852346e+04  3.5892380e+02
  -2.700e+02    4.2800371e+04  3.5892380e+02
  -2.600e+02    4.3251217e+04  3.5892380e+02
  -2.500e+02    4.3747148e+04  3.5892380e+02
  -2.400e+02    4.2304439e+04  3.5892380e+02
  -2.300e+02    4.2214270e+04  3.5892380e+02
  -2.200e+02    4.1477887e+04  3.5892380e+02
  -2.100e+02    4.1102182e+04  3.5892380e+02
  -2.000e+02    4.0260601e+04  3.5892380e+02
  -1.900e+02    3.7300042e+04  3.5892380e+02
  -1.800e+02    3.6127841e+04  3.5892380e+02
  -1.700e+02    3.1033274e+04  3.5892380e+02
  -1.600e+02    2.4420858e+04  3.5892380e+02
  -1.500e+02    1.3901104e+04  3.5892380e+02
  -1.400e+02    3.6368292e+03  3.5892380e+02
  -1.300e+02   -1.1421447e+03  3.5892380e+02
  -1.200e+02    9.7683430e+02  3.5892380e+02
  -1.100e+02    4.5986353e+03  3.5892380e+02
  -1.000e+02    9.6781737e+03  3.5892380e+02
  -9.000e+01    1.3795906e+04  3.5892380e+02
  -8.000e+01    1.4351950e+04  3.5892380e+02
  -7.000e+01    1.6050139e+04  3.5892380e+02
  -6.000e+01    1.8003808e+04  3.5892380e+02
  -5.000e+01    2.1685721e+04  3.5892380e+02
  -4.000e+01    2.6705147e+04  3.5892380e+02
  -3.000e+01    3.1153500e+04  3.5892380e+02
  -2.000e+01    3.5556769e+04  3.5892380e+02
  -1.000e+01    3.8802864e+04  3.5892380e+02
   0.000e+00    3.9584331e+04  3.5892380e+02
   1.000e+01    4.0200489e+04  3.5892380e+02
   2.000e+01    4.1628169e+04  3.5892380e+02
   3.000e+01    4.1237436e+04  3.5892380e+02
   4.000e+01    4.2349524e+04  3.5892380e+02
   5.000e+01    4.1898677e+04  3.5892380e+02
   6.000e+01    4.3461612e+04  3.5892380e+02
   7.000e+01    4.2785342e+04  3.5892380e+02
   8.000e+01    4.3070879e+04  3.5892380e+02
   9.000e+01    4.3115963e+04  3.5892380e+02
   1.000e+02    4.3581838e+04  3.5892380e+02
   1.100e+02    4.3672007e+04  3.5892380e+02
   1.200e+02    4.3446584e+04  3.5892380e+02
   1.300e+02    4.4994491e+04  3.5892380e+02
   1.400e+02    4.3792233e+04  3.5892380e+02
   1.500e+02    4.4994491e+04  3.5892380e+02
   1.600e+02    4.4678898e+04  3.5892380e+02
   1.700e+02    4.4483531e+04  3.5892380e+02
   1.800e+02    4.3777205e+04  3.5892380e+02
   1.900e+02    4.4107826e+04  3.5892380e+02
   2.000e+02    4.3266245e+04  3.5892380e+02
   2.100e+02    4.3762177e+04  3.5892380e+02
   2.200e+02    4.4107826e+04  3.5892380e+02
   2.300e+02    4.4393362e+04  3.5892380e+02
   2.400e+02    4.4513588e+04  3.5892380e+02
   2.500e+02    4.4573701e+04  3.5892380e+02
   2.600e+02    4.4107826e+04  3.5892380e+02
   2.700e+02    4.4844208e+04  3.5892380e+02
   2.800e+02    4.5219914e+04  3.5892380e+02
   2.900e+02    4.5400253e+04  3.5892380e+02
   3.000e+02    4.3176076e+04  3.5892380e+02
   3.100e+02    4.3566810e+04  3.5892380e+02
   3.200e+02    4.4393362e+04  3.5892380e+02
   3.300e+02    4.4633813e+04  3.5892380e+02
   3.400e+02    4.3822290e+04  3.5892380e+02
   3.500e+02    4.4273136e+04  3.5892380e+02
   3.600e+02    4.4122854e+04  3.5892380e+02
   3.700e+02    4.5505450e+04  3.5892380e+02
   3.800e+02    4.3777205e+04  3.5892380e+02
   3.900e+02    4.3867374e+04  3.5892380e+02
   4.000e+02    4.4708954e+04  3.5892380e+02
   4.100e+02    4.4603757e+04  3.5892380e+02
   4.200e+02    4.4528616e+04  3.5892380e+02
   4.300e+02    4.4408390e+04  3.5892380e+02
   4.400e+02    4.4994491e+04  3.5892380e+02
   4.500e+02    4.4408390e+04  3.5892380e+02
   4.600e+02    4.4513588e+04  3.5892380e+02
   4.700e+02    4.4708954e+04  3.5892380e+02
   4.800e+02    4.5024547e+04  3.5892380e+02
   4.900e+02    4.3296302e+04  3.5892380e+02
   5.000e+02    4.3476640e+04  3.5892380e+02
   5.100e+02    4.4618785e+04  3.5892380e+02
   5.200e+02    4.3987600e+04  3.5892380e+02
   5.300e+02    4.4979462e+04  3.5892380e+02
   5.400e+02    4.4663870e+04  3.5892380e+02
   5.500e+02    4.3040822e+04  3.5892380e+02
   5.600e+02    4.4423418e+04  3.5892380e+02
   5.700e+02    4.5535507e+04  3.5892380e+02
   5.800e+02    4.4859237e+04  3.5892380e+02
   5.900e+02    4.4904321e+04  3.5892380e+02
   6.000e+02    4.4092797e+04  3.5892380e+02
   6.100e+02    4.5340140e+04  3.5892380e+02
   6.200e+02    4.3957543e+04  3.5892380e+02
   6.300e+02    4.4002628e+04  3.5892380e+02
   6.400e+02    4.4859237e+04  3.5892380e+02
   6.500e+02    4.4408390e+04  3.5892380e+02
   6.600e+02    4.3626923e+04  3.5892380e+02
   6.700e+02    4.3957543e+04  3.5892380e+02
   6.800e+02    4.5295055e+04  3.5892380e+02
   6.900e+02    4.4182967e+04  3.5892380e+02
   7.000e+02    4.4047713e+04  3.5892380e+02
   7.100e+02    4.4423418e+04  3.5892380e+02
   7.200e+02    4.4213023e+04  3.5892380e+02
   7.300e+02    4.4393362e+04  3.5892380e+02
   7.400e+02    4.4528616e+04  3.5892380e+02
   7.500e+02    4.3852346e+04  3.5892380e+02
   7.600e+02    4.5144773e+04  3.5892380e+02
   7.700e+02    4.4363305e+04  3.5892380e+02
   7.800e+02    4.5295055e+04  3.5892380e+02
   7.900e+02    4.4543644e+04  3.5892380e+02
   8.000e+02    4.4603757e+04  3.5892380e+02
   8.100e+02    4.4633813e+04  3.5892380e+02
   8.200e+02    4.4438447e+04  3.5892380e+02
   8.300e+02    4.4348277e+04  3.5892380e+02
   8.400e+02    4.4077769e+04  3.5892380e+02
   8.500e+02    4.4769067e+04  3.5892380e+02
   8.600e+02    4.4994491e+04  3.5892380e+02
   8.700e+02    4.5039575e+04  3.5892380e+02
   8.800e+02    4.4723983e+04  3.5892380e+02
   8.900e+02    4.4243080e+04  3.5892380e+02
   9.000e+02    4.3762177e+04  3.5892380e+02
   9.100e+02    4.4197995e+04  3.5892380e+02
   9.200e+02    4.4588729e+04  3.5892380e+02
   9.300e+02    4.5310083e+04  3.5892380e+02
   9.400e+02    4.4874265e+04  3.5892380e+02
   9.500e+02    4.3897431e+04  3.5892380e+02
   9.600e+02    4.3867374e+04  3.5892380e+02
   9.700e+02    4.3702064e+04  3.5892380e+02
   9.800e+02    4.4348277e+04  3.5892380e+02
   9.900e+02    4.4919350e+04  3.5892380e+02
   1.000e+03    4.3957543e+04  3.5892380e+02
   1.010e+03    4.3521725e+04  3.5892380e+02
   1.020e+03    4.4423418e+04  3.5892380e+02
   1.030e+03    4.3401499e+04  3.5892380e+02
   1.040e+03    4.4318221e+04  3.5892380e+02
   1.050e+03    4.3897431e+04  3.5892380e+02
   1.060e+03    4.3656979e+04  3.5892380e+02
   1.070e+03    4.4934378e+04  3.5892380e+02
   1.080e+03    4.5129745e+04  3.5892380e+02
   1.090e+03    4.4137882e+04  3.5892380e+02
   1.100e+03    4.5189858e+04  3.5892380e+02
