#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    6.4952570e+04  3.5072160e+02
  -1.100e+03    1.8959655e+04  3.5072160e+02
  -1.090e+03    1.9414323e+04  3.5072160e+02
  -1.080e+03    1.8680359e+04  3.5072160e+02
  -1.070e+03    1.8855731e+04  3.5072160e+02
  -1.060e+03    1.9271428e+04  3.5072160e+02
  -1.050e+03    1.8388073e+04  3.5072160e+02
  -1.040e+03    1.8277653e+04  3.5072160e+02
  -1.030e+03    1.9797543e+04  3.5072160e+02
  -1.020e+03    1.8199710e+04  3.5072160e+02
  -1.010e+03    1.8940169e+04  3.5072160e+02
  -1.000e+03    1.8849236e+04  3.5072160e+02
  -9.900e+02    1.8907693e+04  3.5072160e+02
  -9.800e+02    1.9420818e+04  3.5072160e+02
  -9.700e+02    1.9511752e+04  3.5072160e+02
  -9.600e+02    1.8823255e+04  3.5072160e+02
  -9.500e+02    1.9557219e+04  3.5072160e+02
  -9.400e+02    1.9700114e+04  3.5072160e+02
  -9.300e+02    1.8212701e+04  3.5072160e+02
  -9.200e+02    1.8790779e+04  3.5072160e+02
  -9.100e+02    1.8914188e+04  3.5072160e+02
  -9.000e+02    1.8901198e+04  3.5072160e+02
  -8.900e+02    1.8745312e+04  3.5072160e+02
  -8.800e+02    1.9148018e+04  3.5072160e+02
  -8.700e+02    1.8569940e+04  3.5072160e+02
  -8.600e+02    1.9401333e+04  3.5072160e+02
  -8.500e+02    1.8491997e+04  3.5072160e+02
  -8.400e+02    1.8686854e+04  3.5072160e+02
  -8.300e+02    1.8394568e+04  3.5072160e+02
  -8.200e+02    1.9342875e+04  3.5072160e+02
  -8.100e+02    1.8816760e+04  3.5072160e+02
  -8.000e+02    1.9420818e+04  3.5072160e+02
  -7.900e+02    1.8173729e+04  3.5072160e+02
  -7.800e+02    1.9440304e+04  3.5072160e+02
  -7.700e+02    1.9109046e+04  3.5072160e+02
  -7.600e+02    1.9394837e+04  3.5072160e+02
  -7.500e+02    1.8667369e+04  3.5072160e+02
  -7.400e+02    1.8797274e+04  3.5072160e+02
  -7.300e+02    1.9050589e+04  3.5072160e+02
  -7.200e+02    1.9368856e+04  3.5072160e+02
  -7.100e+02    1.9914458e+04  3.5072160e+02
  -7.000e+02    1.8407558e+04  3.5072160e+02
  -6.900e+02    1.8927179e+04  3.5072160e+02
  -6.800e+02    1.8511482e+04  3.5072160e+02
  -6.700e+02    1.8043824e+04  3.5072160e+02
  -6.600e+02    1.9031103e+04  3.5072160e+02
  -6.500e+02    1.8992131e+04  3.5072160e+02
  -6.400e+02    1.8686854e+04  3.5072160e+02
  -6.300e+02    1.9336380e+04  3.5072160e+02
  -6.200e+02    1.9446799e+04  3.5072160e+02
  -6.100e+02    1.8543959e+04  3.5072160e+02
  -6.000e+02    1.8998627e+04  3.5072160e+02
  -5.900e+02    1.8180224e+04  3.5072160e+02
  -5.800e+02    1.8966150e+04  3.5072160e+02
  -5.700e+02    1.8777788e+04  3.5072160e+02
  -5.600e+02    1.8556949e+04  3.5072160e+02
  -5.500e+02    1.8745312e+04  3.5072160e+02
  -5.400e+02    1.9693619e+04  3.5072160e+02
  -5.300e+02    1.9355866e+04  3.5072160e+02
  -5.200e+02    1.8154243e+04  3.5072160e+02
  -5.100e+02    1.9186989e+04  3.5072160e+02
  -5.000e+02    1.9544228e+04  3.5072160e+02
  -4.900e+02    1.7998357e+04  3.5072160e+02
  -4.800e+02    1.9264932e+04  3.5072160e+02
  -4.700e+02    1.8933674e+04  3.5072160e+02
  -4.600e+02    1.9258437e+04  3.5072160e+02
  -4.500e+02    2.0050858e+04  3.5072160e+02
  -4.400e+02    1.8608911e+04  3.5072160e+02
  -4.300e+02    1.9251942e+04  3.5072160e+02
  -4.200e+02    1.8219196e+04  3.5072160e+02
  -4.100e+02    1.8660873e+04  3.5072160e+02
