#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.1564060e+05  3.5142250e+02
  -1.100e+03    3.3882696e+04  3.5142250e+02
  -1.090e+03    3.5675125e+04  3.5142250e+02
  -1.080e+03    3.6207072e+04  3.5142250e+02
  -1.070e+03    3.6056739e+04  3.5142250e+02
  -1.060e+03    3.4773128e+04  3.5142250e+02
  -1.050e+03    3.5281947e+04  3.5142250e+02
  -1.040e+03    3.6230200e+04  3.5142250e+02
  -1.030e+03    3.5073794e+04  3.5142250e+02
  -1.020e+03    3.4391514e+04  3.5142250e+02
  -1.010e+03    3.5247255e+04  3.5142250e+02
  -1.000e+03    3.5339767e+04  3.5142250e+02
  -9.900e+02    3.5917970e+04  3.5142250e+02
  -9.800e+02    3.5756074e+04  3.5142250e+02
  -9.700e+02    3.4299002e+04  3.5142250e+02
  -9.600e+02    3.5189435e+04  3.5142250e+02
  -9.500e+02    3.4229618e+04  3.5142250e+02
  -9.400e+02    3.4865641e+04  3.5142250e+02
  -9.300e+02    3.5039102e+04  3.5142250e+02
  -9.200e+02    3.4056157e+04  3.5142250e+02
  -9.100e+02    3.4541847e+04  3.5142250e+02
  -9.000e+02    3.5258819e+04  3.5142250e+02
  -8.900e+02    3.3593594e+04  3.5142250e+02
  -8.800e+02    3.4426207e+04  3.5142250e+02
  -8.700e+02    3.2784110e+04  3.5142250e+02
  -8.600e+02    3.2414060e+04  3.5142250e+02
  -8.500e+02    3.0980117e+04  3.5142250e+02
  -8.400e+02    2.9511481e+04  3.5142250e+02
  -8.300e+02    2.5730034e+04  3.5142250e+02
  -8.200e+02    1.9485441e+04  3.5142250e+02
  -8.100e+02    9.4825292e+03  3.5142250e+02
  -8.000e+02    2.5787854e+03  3.5142250e+02
  -7.900e+02    1.1332779e+03  3.5142250e+02
  -7.800e+02    2.4631448e+03  3.5142250e+02
  -7.700e+02    6.8459235e+03  3.5142250e+02
  -7.600e+02    1.1806905e+04  3.5142250e+02
  -7.500e+02    1.6929784e+04  3.5142250e+02
  -7.400e+02    1.9416057e+04  3.5142250e+02
  -7.300e+02    2.0907820e+04  3.5142250e+02
  -7.200e+02    1.8606573e+04  3.5142250e+02
  -7.100e+02    1.4293178e+04  3.5142250e+02
  -7.000e+02    1.1610316e+04  3.5142250e+02
  -6.900e+02    1.5380200e+04  3.5142250e+02
  -6.800e+02    2.1277870e+04  3.5142250e+02
  -6.700e+02    2.5255907e+04  3.5142250e+02
  -6.600e+02    2.8181614e+04  3.5142250e+02
  -6.500e+02    3.0748836e+04  3.5142250e+02
  -6.400e+02    3.3154160e+04  3.5142250e+02
  -6.300e+02    3.3524210e+04  3.5142250e+02
  -6.200e+02    3.4911897e+04  3.5142250e+02
  -6.100e+02    3.4645924e+04  3.5142250e+02
  -6.000e+02    3.4553411e+04  3.5142250e+02
  -5.900e+02    3.4287438e+04  3.5142250e+02
  -5.800e+02    3.4137105e+04  3.5142250e+02
  -5.700e+02    3.5108486e+04  3.5142250e+02
  -5.600e+02    3.5224127e+04  3.5142250e+02
  -5.500e+02    3.6311148e+04  3.5142250e+02
  -5.400e+02    3.5085358e+04  3.5142250e+02
  -5.300e+02    3.5559484e+04  3.5142250e+02
  -5.200e+02    3.5813894e+04  3.5142250e+02
  -5.100e+02    3.5813894e+04  3.5142250e+02
  -5.000e+02    3.4773128e+04  3.5142250e+02
  -4.900e+02    3.5929534e+04  3.5142250e+02
  -4.800e+02    3.5998919e+04  3.5142250e+02
  -4.700e+02    3.5039102e+04  3.5142250e+02
  -4.600e+02    3.5189435e+04  3.5142250e+02
  -4.500e+02    3.5686689e+04  3.5142250e+02
  -4.400e+02    3.5096922e+04  3.5142250e+02
  -4.300e+02    3.6542430e+04  3.5142250e+02
  -4.200e+02    3.6183944e+04  3.5142250e+02
  -4.100e+02    3.5848586e+04  3.5142250e+02
  -4.000e+02    3.5397588e+04  3.5142250e+02
  -3.900e+02    3.5721381e+04  3.5142250e+02
  -3.800e+02    3.5200999e+04  3.5142250e+02
  -3.700e+02    3.6831531e+04  3.5142250e+02
  -3.600e+02    3.6357405e+04  3.5142250e+02
  -3.500e+02    3.4981281e+04  3.5142250e+02
  -3.400e+02    3.5062230e+04  3.5142250e+02
  -3.300e+02    3.5281947e+04  3.5142250e+02
  -3.200e+02    3.6762147e+04  3.5142250e+02
  -3.100e+02    3.6727455e+04  3.5142250e+02
  -3.000e+02    3.6033611e+04  3.5142250e+02
  -2.900e+02    3.5050666e+04  3.5142250e+02
  -2.800e+02    3.6380533e+04  3.5142250e+02
  -2.700e+02    3.5675125e+04  3.5142250e+02
  -2.600e+02    3.4645924e+04  3.5142250e+02
  -2.500e+02    3.6311148e+04  3.5142250e+02
  -2.400e+02    3.6322712e+04  3.5142250e+02
  -2.300e+02    3.5709817e+04  3.5142250e+02
  -2.200e+02    3.5906406e+04  3.5142250e+02
  -2.100e+02    3.6068303e+04  3.5142250e+02
  -2.000e+02    3.5351331e+04  3.5142250e+02
  -1.900e+02    3.5987355e+04  3.5142250e+02
  -1.800e+02    3.6507737e+04  3.5142250e+02
  -1.700e+02    3.4518719e+04  3.5142250e+02
  -1.600e+02    3.4958153e+04  3.5142250e+02
  -1.500e+02    3.6126123e+04  3.5142250e+02
  -1.400e+02    3.5663561e+04  3.5142250e+02
  -1.300e+02    3.5351331e+04  3.5142250e+02
  -1.200e+02    3.6704326e+04  3.5142250e+02
  -1.100e+02    3.5524792e+04  3.5142250e+02
  -1.000e+02    3.5490100e+04  3.5142250e+02
  -9.000e+01    3.5039102e+04  3.5142250e+02
  -8.000e+01    3.4923461e+04  3.5142250e+02
  -7.000e+01    3.5640433e+04  3.5142250e+02
  -6.000e+01    3.5015974e+04  3.5142250e+02
  -5.000e+01    3.5848586e+04  3.5142250e+02
  -4.000e+01    3.4784692e+04  3.5142250e+02
  -3.000e+01    3.5756074e+04  3.5142250e+02
  -2.000e+01    3.4773128e+04  3.5142250e+02
  -1.000e+01    3.5050666e+04  3.5142250e+02
   0.000e+00    3.5443844e+04  3.5142250e+02
   1.000e+01    3.6415225e+04  3.5142250e+02
   2.000e+01    3.4611232e+04  3.5142250e+02
   3.000e+01    3.5698253e+04  3.5142250e+02
   4.000e+01    3.5813894e+04  3.5142250e+02
   5.000e+01    3.4784692e+04  3.5142250e+02
   6.000e+01    3.5039102e+04  3.5142250e+02
   7.000e+01    3.4900333e+04  3.5142250e+02
   8.000e+01    3.6022047e+04  3.5142250e+02
   9.000e+01    3.4807821e+04  3.5142250e+02
   1.000e+02    3.4773128e+04  3.5142250e+02
   1.100e+02    3.5409152e+04  3.5142250e+02
   1.200e+02    3.4830949e+04  3.5142250e+02
   1.300e+02    3.5200999e+04  3.5142250e+02
   1.400e+02    3.5004410e+04  3.5142250e+02
   1.500e+02    3.5825458e+04  3.5142250e+02
   1.600e+02    3.5825458e+04  3.5142250e+02
   1.700e+02    3.5258819e+04  3.5142250e+02
   1.800e+02    3.6056739e+04  3.5142250e+02
   1.900e+02    3.5490100e+04  3.5142250e+02
   2.000e+02    3.5062230e+04  3.5142250e+02
   2.100e+02    3.5640433e+04  3.5142250e+02
   2.200e+02    3.5675125e+04  3.5142250e+02
   2.300e+02    3.6623378e+04  3.5142250e+02
   2.400e+02    3.5189435e+04  3.5142250e+02
   2.500e+02    3.5143178e+04  3.5142250e+02
   2.600e+02    3.5605741e+04  3.5142250e+02
   2.700e+02    3.5490100e+04  3.5142250e+02
   2.800e+02    3.6345841e+04  3.5142250e+02
   2.900e+02    3.5848586e+04  3.5142250e+02
   3.000e+02    3.4981281e+04  3.5142250e+02
   3.100e+02    3.4599668e+04  3.5142250e+02
   3.200e+02    3.5825458e+04  3.5142250e+02
   3.300e+02    3.6102995e+04  3.5142250e+02
   3.400e+02    3.5594177e+04  3.5142250e+02
   3.500e+02    3.5571049e+04  3.5142250e+02
   3.600e+02    3.5721381e+04  3.5142250e+02
   3.700e+02    3.4310566e+04  3.5142250e+02
   3.800e+02    3.4391514e+04  3.5142250e+02
