#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.3781560e+05  3.5113960e+02
  -1.100e+03    3.6176595e+04  3.5113960e+02
  -1.090e+03    3.5900964e+04  3.5113960e+02
  -1.080e+03    3.5969872e+04  3.5113960e+02
  -1.070e+03    3.5308357e+04  3.5113960e+02
  -1.060e+03    3.6810547e+04  3.5113960e+02
  -1.050e+03    3.5473735e+04  3.5113960e+02
  -1.040e+03    3.6452226e+04  3.5113960e+02
  -1.030e+03    3.5473735e+04  3.5113960e+02
  -1.020e+03    3.5763148e+04  3.5113960e+02
  -1.010e+03    3.6341974e+04  3.5113960e+02
  -1.000e+03    3.5790711e+04  3.5113960e+02
  -9.900e+02    3.5625333e+04  3.5113960e+02
  -9.800e+02    3.6217940e+04  3.5113960e+02
  -9.700e+02    3.6645168e+04  3.5113960e+02
  -9.600e+02    3.5459954e+04  3.5113960e+02
  -9.500e+02    3.6672731e+04  3.5113960e+02
  -9.400e+02    3.6314411e+04  3.5113960e+02
  -9.300e+02    3.7665003e+04  3.5113960e+02
  -9.200e+02    3.5804493e+04  3.5113960e+02
  -9.100e+02    3.6562479e+04  3.5113960e+02
  -9.000e+02    3.6466008e+04  3.5113960e+02
  -8.900e+02    3.5804493e+04  3.5113960e+02
  -8.800e+02    3.4963818e+04  3.5113960e+02
  -8.700e+02    3.6521134e+04  3.5113960e+02
  -8.600e+02    3.5129196e+04  3.5113960e+02
  -8.500e+02    3.6493571e+04  3.5113960e+02
  -8.400e+02    3.7031052e+04  3.5113960e+02
  -8.300e+02    3.5859619e+04  3.5113960e+02
  -8.200e+02    3.6507352e+04  3.5113960e+02
  -8.100e+02    3.6093906e+04  3.5113960e+02
  -8.000e+02    3.6135250e+04  3.5113960e+02
  -7.900e+02    3.6121469e+04  3.5113960e+02
  -7.800e+02    3.4908691e+04  3.5113960e+02
  -7.700e+02    3.5900964e+04  3.5113960e+02
  -7.600e+02    3.6466008e+04  3.5113960e+02
  -7.500e+02    3.6948362e+04  3.5113960e+02
  -7.400e+02    3.6314411e+04  3.5113960e+02
  -7.300e+02    3.8381645e+04  3.5113960e+02
  -7.200e+02    3.5928527e+04  3.5113960e+02
  -7.100e+02    3.7430717e+04  3.5113960e+02
  -7.000e+02    3.7031052e+04  3.5113960e+02
  -6.900e+02    3.5832056e+04  3.5113960e+02
  -6.800e+02    3.6107687e+04  3.5113960e+02
  -6.700e+02    3.6217940e+04  3.5113960e+02
  -6.600e+02    3.7485843e+04  3.5113960e+02
  -6.500e+02    3.5914745e+04  3.5113960e+02
  -6.400e+02    3.6948362e+04  3.5113960e+02
  -6.300e+02    3.7086178e+04  3.5113960e+02
  -6.200e+02    3.6135250e+04  3.5113960e+02
  -6.100e+02    3.5983653e+04  3.5113960e+02
  -6.000e+02    3.5942308e+04  3.5113960e+02
  -5.900e+02    3.5225667e+04  3.5113960e+02
  -5.800e+02    3.6204158e+04  3.5113960e+02
  -5.700e+02    3.7044833e+04  3.5113960e+02
  -5.600e+02    3.6024998e+04  3.5113960e+02
  -5.500e+02    3.6576260e+04  3.5113960e+02
  -5.400e+02    3.6162813e+04  3.5113960e+02
  -5.300e+02    3.6507352e+04  3.5113960e+02
  -5.200e+02    3.5597769e+04  3.5113960e+02
  -5.100e+02    3.5570206e+04  3.5113960e+02
  -5.000e+02    3.4371211e+04  3.5113960e+02
  -4.900e+02    3.5211886e+04  3.5113960e+02
  -4.800e+02    3.4977599e+04  3.5113960e+02
  -4.700e+02    3.4522808e+04  3.5113960e+02
  -4.600e+02    3.6727857e+04  3.5113960e+02
  -4.500e+02    3.5418609e+04  3.5113960e+02
  -4.400e+02    3.4178269e+04  3.5113960e+02
  -4.300e+02    3.4646842e+04  3.5113960e+02
  -4.200e+02    3.3861293e+04  3.5113960e+02
  -4.100e+02    3.2428011e+04  3.5113960e+02
  -4.000e+02    3.0112709e+04  3.5113960e+02
  -3.900e+02    2.8390014e+04  3.5113960e+02
  -3.800e+02    2.3731846e+04  3.5113960e+02
  -3.700e+02    1.9611160e+04  3.5113960e+02
  -3.600e+02    1.8646451e+04  3.5113960e+02
  -3.500e+02    1.7778212e+04  3.5113960e+02
  -3.400e+02    1.8260567e+04  3.5113960e+02
  -3.300e+02    1.6992663e+04  3.5113960e+02
  -3.200e+02    1.4773832e+04  3.5113960e+02
  -3.100e+02    1.1176845e+04  3.5113960e+02
  -3.000e+02    6.2017020e+03  3.5113960e+02
