#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.5377900e+05  3.5060020e+02
  -1.100e+03    4.4303730e+04  3.5060020e+02
  -1.090e+03    4.4334486e+04  3.5060020e+02
  -1.080e+03    4.3104254e+04  3.5060020e+02
  -1.070e+03    4.5164892e+04  3.5060020e+02
  -1.060e+03    4.5626229e+04  3.5060020e+02
  -1.050e+03    4.4180707e+04  3.5060020e+02
  -1.040e+03    4.5518584e+04  3.5060020e+02
  -1.030e+03    4.5072625e+04  3.5060020e+02
  -1.020e+03    4.6748816e+04  3.5060020e+02
  -1.010e+03    4.5810764e+04  3.5060020e+02
  -1.000e+03    4.5672363e+04  3.5060020e+02
  -9.900e+02    4.5303293e+04  3.5060020e+02
  -9.800e+02    4.5041869e+04  3.5060020e+02
  -9.700e+02    4.5826142e+04  3.5060020e+02
  -9.600e+02    4.6395124e+04  3.5060020e+02
  -9.500e+02    4.5410939e+04  3.5060020e+02
  -9.400e+02    4.4565154e+04  3.5060020e+02
  -9.300e+02    4.5795386e+04  3.5060020e+02
  -9.200e+02    4.4488265e+04  3.5060020e+02
  -9.100e+02    4.5457072e+04  3.5060020e+02
  -9.000e+02    4.6026055e+04  3.5060020e+02
  -8.900e+02    4.5088003e+04  3.5060020e+02
  -8.800e+02    4.5733875e+04  3.5060020e+02
  -8.700e+02    4.5041869e+04  3.5060020e+02
  -8.600e+02    4.5549340e+04  3.5060020e+02
  -8.500e+02    4.5395561e+04  3.5060020e+02
  -8.400e+02    4.5780008e+04  3.5060020e+02
  -8.300e+02    4.3765503e+04  3.5060020e+02
  -8.200e+02    4.5180270e+04  3.5060020e+02
  -8.100e+02    4.5426317e+04  3.5060020e+02
  -8.000e+02    4.4995735e+04  3.5060020e+02
  -7.900e+02    4.4057683e+04  3.5060020e+02
  -7.800e+02    4.6195212e+04  3.5060020e+02
  -7.700e+02    4.5718497e+04  3.5060020e+02
  -7.600e+02    4.5641607e+04  3.5060020e+02
  -7.500e+02    4.5180270e+04  3.5060020e+02
  -7.400e+02    4.6687304e+04  3.5060020e+02
  -7.300e+02    4.5687741e+04  3.5060020e+02
  -7.200e+02    4.5610851e+04  3.5060020e+02
  -7.100e+02    4.5241782e+04  3.5060020e+02
  -7.000e+02    4.5318671e+04  3.5060020e+02
  -6.900e+02    4.5118759e+04  3.5060020e+02
  -6.800e+02    4.5041869e+04  3.5060020e+02
  -6.700e+02    4.5041869e+04  3.5060020e+02
  -6.600e+02    4.5334049e+04  3.5060020e+02
  -6.500e+02    4.4934224e+04  3.5060020e+02
  -6.400e+02    4.4811201e+04  3.5060020e+02
  -6.300e+02    4.3873149e+04  3.5060020e+02
  -6.200e+02    4.4319108e+04  3.5060020e+02
  -6.100e+02    4.5703119e+04  3.5060020e+02
  -6.000e+02    4.4780445e+04  3.5060020e+02
