#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    9.0238700e+04  1.9467900e+02
  -1.100e+03    4.2691929e+04  1.9467900e+02
  -1.090e+03    4.2385117e+04  1.9467900e+02
  -1.080e+03    4.2457308e+04  1.9467900e+02
  -1.070e+03    4.1924900e+04  1.9467900e+02
  -1.060e+03    4.1825637e+04  1.9467900e+02
  -1.050e+03    4.2087330e+04  1.9467900e+02
  -1.040e+03    4.2060258e+04  1.9467900e+02
  -1.030e+03    4.1374444e+04  1.9467900e+02
  -1.020e+03    4.2123425e+04  1.9467900e+02
  -1.010e+03    4.1834661e+04  1.9467900e+02
  -1.000e+03    4.2619738e+04  1.9467900e+02
  -9.900e+02    4.2601690e+04  1.9467900e+02
  -9.800e+02    4.2358046e+04  1.9467900e+02
  -9.700e+02    4.2339998e+04  1.9467900e+02
  -9.600e+02    4.2773144e+04  1.9467900e+02
  -9.500e+02    4.2087330e+04  1.9467900e+02
  -9.400e+02    4.1942948e+04  1.9467900e+02
  -9.300e+02    4.2249759e+04  1.9467900e+02
  -9.200e+02    4.2682905e+04  1.9467900e+02
  -9.100e+02    4.2412189e+04  1.9467900e+02
  -9.000e+02    4.2105377e+04  1.9467900e+02
  -8.900e+02    4.2737048e+04  1.9467900e+02
  -8.800e+02    4.2881430e+04  1.9467900e+02
  -8.700e+02    4.2484380e+04  1.9467900e+02
  -8.600e+02    4.1383468e+04  1.9467900e+02
  -8.500e+02    4.1708327e+04  1.9467900e+02
  -8.400e+02    4.2177568e+04  1.9467900e+02
  -8.300e+02    4.2150497e+04  1.9467900e+02
  -8.200e+02    4.1807590e+04  1.9467900e+02
  -8.100e+02    4.2367070e+04  1.9467900e+02
  -8.000e+02    4.2457308e+04  1.9467900e+02
  -7.900e+02    4.2312926e+04  1.9467900e+02
  -7.800e+02    4.1455659e+04  1.9467900e+02
  -7.700e+02    4.1672232e+04  1.9467900e+02
  -7.600e+02    4.3007764e+04  1.9467900e+02
  -7.500e+02    4.2249759e+04  1.9467900e+02
  -7.400e+02    4.2439261e+04  1.9467900e+02
  -7.300e+02    4.2213664e+04  1.9467900e+02
  -7.200e+02    4.2051234e+04  1.9467900e+02
  -7.100e+02    4.2845335e+04  1.9467900e+02
  -7.000e+02    4.2475356e+04  1.9467900e+02
  -6.900e+02    4.2385117e+04  1.9467900e+02
  -6.800e+02    4.1888805e+04  1.9467900e+02
  -6.700e+02    4.2033186e+04  1.9467900e+02
  -6.600e+02    4.2800215e+04  1.9467900e+02
  -6.500e+02    4.1572969e+04  1.9467900e+02
  -6.400e+02    4.2231712e+04  1.9467900e+02
  -6.300e+02    4.2141473e+04  1.9467900e+02
  -6.200e+02    4.1699303e+04  1.9467900e+02
  -6.100e+02    4.1897828e+04  1.9467900e+02
  -6.000e+02    4.2682905e+04  1.9467900e+02
  -5.900e+02    4.2132449e+04  1.9467900e+02
  -5.800e+02    4.2403165e+04  1.9467900e+02
  -5.700e+02    4.2186592e+04  1.9467900e+02
  -5.600e+02    4.2168545e+04  1.9467900e+02
  -5.500e+02    4.2511452e+04  1.9467900e+02
  -5.400e+02    4.2376094e+04  1.9467900e+02
  -5.300e+02    4.2836311e+04  1.9467900e+02
  -5.200e+02    4.1717351e+04  1.9467900e+02
  -5.100e+02    4.2673881e+04  1.9467900e+02
  -5.000e+02    4.2691929e+04  1.9467900e+02
  -4.900e+02    4.2565595e+04  1.9467900e+02
