#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    4.6610120e+04  1.9370270e+02
  -1.100e+03    2.1515231e+04  1.9370270e+02
  -1.090e+03    2.1384723e+04  1.9370270e+02
  -1.080e+03    2.2083875e+04  1.9370270e+02
  -1.070e+03    2.2023282e+04  1.9370270e+02
  -1.060e+03    2.1459299e+04  1.9370270e+02
  -1.050e+03    2.1911417e+04  1.9370270e+02
  -1.040e+03    2.2149129e+04  1.9370270e+02
  -1.030e+03    2.1822858e+04  1.9370270e+02
  -1.020e+03    2.1822858e+04  1.9370270e+02
  -1.010e+03    2.1431333e+04  1.9370270e+02
  -1.000e+03    2.1296164e+04  1.9370270e+02
  -9.900e+02    2.1892773e+04  1.9370270e+02
  -9.800e+02    2.1445316e+04  1.9370270e+02
  -9.700e+02    2.1958028e+04  1.9370270e+02
  -9.600e+02    2.1538536e+04  1.9370270e+02
  -9.500e+02    2.1855485e+04  1.9370270e+02
  -9.400e+02    2.1449977e+04  1.9370270e+02
  -9.300e+02    2.1916078e+04  1.9370270e+02
  -9.200e+02    2.2205061e+04  1.9370270e+02
  -9.100e+02    2.1864807e+04  1.9370270e+02
  -9.000e+02    2.1715655e+04  1.9370270e+02
  -8.900e+02    2.1953367e+04  1.9370270e+02
  -8.800e+02    2.1734299e+04  1.9370270e+02
  -8.700e+02    2.1836841e+04  1.9370270e+02
  -8.600e+02    2.1967350e+04  1.9370270e+02
  -8.500e+02    2.2209722e+04  1.9370270e+02
  -8.400e+02    2.1426672e+04  1.9370270e+02
  -8.300e+02    2.2051248e+04  1.9370270e+02
  -8.200e+02    2.1123706e+04  1.9370270e+02
  -8.100e+02    2.1510570e+04  1.9370270e+02
  -8.000e+02    2.1412689e+04  1.9370270e+02
  -7.900e+02    2.1780909e+04  1.9370270e+02
  -7.800e+02    2.2074553e+04  1.9370270e+02
  -7.700e+02    2.1981333e+04  1.9370270e+02
  -7.600e+02    2.1580486e+04  1.9370270e+02
  -7.500e+02    2.1617774e+04  1.9370270e+02
  -7.400e+02    2.1785570e+04  1.9370270e+02
  -7.300e+02    2.1580486e+04  1.9370270e+02
  -7.200e+02    2.1380062e+04  1.9370270e+02
  -7.100e+02    2.1780909e+04  1.9370270e+02
  -7.000e+02    2.2167773e+04  1.9370270e+02
  -6.900e+02    2.2741078e+04  1.9370270e+02
  -6.800e+02    2.1678367e+04  1.9370270e+02
  -6.700e+02    2.1533875e+04  1.9370270e+02
  -6.600e+02    2.1813536e+04  1.9370270e+02
  -6.500e+02    2.1794892e+04  1.9370270e+02
  -6.400e+02    2.1892773e+04  1.9370270e+02
  -6.300e+02    2.2097858e+04  1.9370270e+02
  -6.200e+02    2.1408028e+04  1.9370270e+02
  -6.100e+02    2.2377519e+04  1.9370270e+02
  -6.000e+02    2.2191078e+04  1.9370270e+02
  -5.900e+02    2.1715655e+04  1.9370270e+02
  -5.800e+02    2.1659723e+04  1.9370270e+02
  -5.700e+02    2.1864807e+04  1.9370270e+02
  -5.600e+02    2.2321586e+04  1.9370270e+02
  -5.500e+02    2.1272859e+04  1.9370270e+02
  -5.400e+02    2.1547858e+04  1.9370270e+02
  -5.300e+02    2.1738960e+04  1.9370270e+02
  -5.200e+02    2.1519892e+04  1.9370270e+02
  -5.100e+02    2.1673706e+04  1.9370270e+02
  -5.000e+02    2.2321586e+04  1.9370270e+02
  -4.900e+02    2.1729638e+04  1.9370270e+02
  -4.800e+02    2.1352096e+04  1.9370270e+02
  -4.700e+02    2.2265654e+04  1.9370270e+02
  -4.600e+02    2.1487265e+04  1.9370270e+02
  -4.500e+02    2.1958028e+04  1.9370270e+02
  -4.400e+02    2.1972011e+04  1.9370270e+02
  -4.300e+02    2.1813536e+04  1.9370270e+02
  -4.200e+02    2.1575825e+04  1.9370270e+02
  -4.100e+02    2.1794892e+04  1.9370270e+02
  -4.000e+02    2.1697011e+04  1.9370270e+02
  -3.900e+02    2.2163112e+04  1.9370270e+02
  -3.800e+02    2.1771587e+04  1.9370270e+02
  -3.700e+02    2.2219044e+04  1.9370270e+02
  -3.600e+02    2.1664384e+04  1.9370270e+02
  -3.500e+02    2.1384723e+04  1.9370270e+02
  -3.400e+02    2.2186417e+04  1.9370270e+02
  -3.300e+02    2.1659723e+04  1.9370270e+02
  -3.200e+02    2.2195739e+04  1.9370270e+02
  -3.100e+02    2.2144468e+04  1.9370270e+02
  -3.000e+02    2.2097858e+04  1.9370270e+02
  -2.900e+02    2.2363536e+04  1.9370270e+02
  -2.800e+02    2.1496587e+04  1.9370270e+02
  -2.700e+02    2.1925400e+04  1.9370270e+02
  -2.600e+02    2.1538536e+04  1.9370270e+02
  -2.500e+02    2.1482604e+04  1.9370270e+02
  -2.400e+02    2.1864807e+04  1.9370270e+02
  -2.300e+02    2.1538536e+04  1.9370270e+02
  -2.200e+02    2.1431333e+04  1.9370270e+02
  -2.100e+02    2.1864807e+04  1.9370270e+02
  -2.000e+02    2.1338113e+04  1.9370270e+02
  -1.900e+02    2.1841502e+04  1.9370270e+02
  -1.800e+02    2.1333452e+04  1.9370270e+02
  -1.700e+02    2.1869468e+04  1.9370270e+02
  -1.600e+02    2.1636418e+04  1.9370270e+02
  -1.500e+02    2.1557181e+04  1.9370270e+02
  -1.400e+02    2.1398706e+04  1.9370270e+02
  -1.300e+02    2.1603791e+04  1.9370270e+02
  -1.200e+02    2.1547858e+04  1.9370270e+02
  -1.100e+02    2.0983876e+04  1.9370270e+02
  -1.000e+02    2.1184300e+04  1.9370270e+02
  -9.000e+01    2.1580486e+04  1.9370270e+02
  -8.000e+01    2.1025825e+04  1.9370270e+02
  -7.000e+01    2.0606334e+04  1.9370270e+02
  -6.000e+01    2.0708876e+04  1.9370270e+02
  -5.000e+01    2.0140233e+04  1.9370270e+02
  -4.000e+01    2.0144894e+04  1.9370270e+02
  -3.000e+01    2.0294046e+04  1.9370270e+02
  -2.000e+01    1.9674132e+04  1.9370270e+02
  -1.000e+01    1.9068200e+04  1.9370270e+02
   0.000e+00    1.8690658e+04  1.9370270e+02
   1.000e+01    1.8373709e+04  1.9370270e+02
   2.000e+01    1.6285576e+04  1.9370270e+02
   3.000e+01    1.4164815e+04  1.9370270e+02
   4.000e+01    1.1391513e+04  1.9370270e+02
   5.000e+01    1.0449989e+04  1.9370270e+02
   6.000e+01    1.1950835e+04  1.9370270e+02
   7.000e+01    1.3423715e+04  1.9370270e+02
   8.000e+01    1.5306763e+04  1.9370270e+02
   9.000e+01    1.6984728e+04  1.9370270e+02
   1.000e+02    1.8056760e+04  1.9370270e+02
   1.100e+02    1.8122015e+04  1.9370270e+02
   1.200e+02    1.8891082e+04  1.9370270e+02
   1.300e+02    1.9557606e+04  1.9370270e+02
   1.400e+02    1.9580911e+04  1.9370270e+02
   1.500e+02    1.9855911e+04  1.9370270e+02
   1.600e+02    1.9958453e+04  1.9370270e+02
   1.700e+02    2.0280063e+04  1.9370270e+02
   1.800e+02    2.0042352e+04  1.9370270e+02
   1.900e+02    2.0252097e+04  1.9370270e+02
   2.000e+02    2.0345317e+04  1.9370270e+02
   2.100e+02    2.0834724e+04  1.9370270e+02
   2.200e+02    2.0377944e+04  1.9370270e+02
   2.300e+02    1.9785996e+04  1.9370270e+02
   2.400e+02    1.9888538e+04  1.9370270e+02
   2.500e+02    1.9562267e+04  1.9370270e+02
   2.600e+02    1.9394471e+04  1.9370270e+02
   2.700e+02    1.8560150e+04  1.9370270e+02
   2.800e+02    1.7371592e+04  1.9370270e+02
   2.900e+02    1.5614390e+04  1.9370270e+02
   3.000e+02    1.4803374e+04  1.9370270e+02
   3.100e+02    1.5441933e+04  1.9370270e+02
   3.200e+02    1.5390662e+04  1.9370270e+02
   3.300e+02    1.5166933e+04  1.9370270e+02
   3.400e+02    1.4062273e+04  1.9370270e+02
   3.500e+02    1.2729224e+04  1.9370270e+02
   3.600e+02    9.8114303e+03  1.9370270e+02
   3.700e+02    5.7050787e+03  1.9370270e+02
   3.800e+02    1.3610155e+03  1.9370270e+02
   3.900e+02   -2.8432173e+02  1.9370270e+02
   4.000e+02    2.0135572e+03  1.9370270e+02
   4.100e+02    6.6466031e+03  1.9370270e+02
   4.200e+02    1.1759733e+04  1.9370270e+02
   4.300e+02    1.4985154e+04  1.9370270e+02
   4.400e+02    1.7329643e+04  1.9370270e+02
   4.500e+02    1.8797861e+04  1.9370270e+02
   4.600e+02    1.9483030e+04  1.9370270e+02
   4.700e+02    1.9851250e+04  1.9370270e+02
   4.800e+02    2.0461843e+04  1.9370270e+02
   4.900e+02    2.0909300e+04  1.9370270e+02
   5.000e+02    2.0718198e+04  1.9370270e+02
   5.100e+02    2.1743621e+04  1.9370270e+02
   5.200e+02    2.1305486e+04  1.9370270e+02
   5.300e+02    2.1212266e+04  1.9370270e+02
   5.400e+02    2.0797436e+04  1.9370270e+02
   5.500e+02    2.0834724e+04  1.9370270e+02
   5.600e+02    2.1240232e+04  1.9370270e+02
   5.700e+02    2.1296164e+04  1.9370270e+02
   5.800e+02    2.1594469e+04  1.9370270e+02
   5.900e+02    2.1846163e+04  1.9370270e+02
   6.000e+02    2.1818197e+04  1.9370270e+02
   6.100e+02    2.1449977e+04  1.9370270e+02
   6.200e+02    2.0769469e+04  1.9370270e+02
   6.300e+02    2.1552519e+04  1.9370270e+02
   6.400e+02    2.0876673e+04  1.9370270e+02
   6.500e+02    2.1841502e+04  1.9370270e+02
   6.600e+02    2.1272859e+04  1.9370270e+02
   6.700e+02    2.1724977e+04  1.9370270e+02
   6.800e+02    2.1394045e+04  1.9370270e+02
   6.900e+02    2.1850824e+04  1.9370270e+02
   7.000e+02    2.1846163e+04  1.9370270e+02
   7.100e+02    2.1972011e+04  1.9370270e+02
   7.200e+02    2.1394045e+04  1.9370270e+02
   7.300e+02    2.1776248e+04  1.9370270e+02
   7.400e+02    2.1575825e+04  1.9370270e+02
   7.500e+02    2.1878790e+04  1.9370270e+02
   7.600e+02    2.2125824e+04  1.9370270e+02
   7.700e+02    2.2139807e+04  1.9370270e+02
   7.800e+02    2.1375401e+04  1.9370270e+02
   7.900e+02    2.1394045e+04  1.9370270e+02
   8.000e+02    2.1589808e+04  1.9370270e+02
   8.100e+02    2.2111841e+04  1.9370270e+02
   8.200e+02    2.1249554e+04  1.9370270e+02
   8.300e+02    2.1305486e+04  1.9370270e+02
   8.400e+02    2.1846163e+04  1.9370270e+02
   8.500e+02    2.1916078e+04  1.9370270e+02
   8.600e+02    2.1449977e+04  1.9370270e+02
   8.700e+02    2.1780909e+04  1.9370270e+02
   8.800e+02    2.1547858e+04  1.9370270e+02
   8.900e+02    2.2004638e+04  1.9370270e+02
   9.000e+02    2.1384723e+04  1.9370270e+02
   9.100e+02    2.1631757e+04  1.9370270e+02
   9.200e+02    2.1631757e+04  1.9370270e+02
   9.300e+02    2.1738960e+04  1.9370270e+02
   9.400e+02    2.1771587e+04  1.9370270e+02
   9.500e+02    2.1780909e+04  1.9370270e+02
   9.600e+02    2.1664384e+04  1.9370270e+02
   9.700e+02    2.1794892e+04  1.9370270e+02
   9.800e+02    2.1645740e+04  1.9370270e+02
   9.900e+02    2.1678367e+04  1.9370270e+02
   1.000e+03    2.1832180e+04  1.9370270e+02
   1.010e+03    2.1930061e+04  1.9370270e+02
   1.020e+03    2.2074553e+04  1.9370270e+02
