#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    7.1043470e+04  1.9367070e+02
  -1.100e+03    3.4235848e+04  1.9367070e+02
  -1.090e+03    3.4647900e+04  1.9367070e+02
  -1.080e+03    3.4775779e+04  1.9367070e+02
  -1.070e+03    3.4626587e+04  1.9367070e+02
  -1.060e+03    3.4818405e+04  1.9367070e+02
  -1.050e+03    3.4448979e+04  1.9367070e+02
  -1.040e+03    3.4782883e+04  1.9367070e+02
  -1.030e+03    3.3994300e+04  1.9367070e+02
  -1.020e+03    3.5095474e+04  1.9367070e+02
  -1.010e+03    3.4065344e+04  1.9367070e+02
  -1.000e+03    3.4107970e+04  1.9367070e+02
  -9.900e+02    3.4953387e+04  1.9367070e+02
  -9.800e+02    3.4036926e+04  1.9367070e+02
  -9.700e+02    3.5052848e+04  1.9367070e+02
  -9.600e+02    3.4882344e+04  1.9367070e+02
  -9.500e+02    3.4477396e+04  1.9367070e+02
  -9.400e+02    3.4129283e+04  1.9367070e+02
  -9.300e+02    3.4498709e+04  1.9367070e+02
  -9.200e+02    3.4285579e+04  1.9367070e+02
  -9.100e+02    3.4932074e+04  1.9367070e+02
  -9.000e+02    3.4235848e+04  1.9367070e+02
  -8.900e+02    3.4448979e+04  1.9367070e+02
  -8.800e+02    3.4505813e+04  1.9367070e+02
  -8.700e+02    3.4385039e+04  1.9367070e+02
  -8.600e+02    3.4278474e+04  1.9367070e+02
  -8.500e+02    3.4512918e+04  1.9367070e+02
  -8.400e+02    3.4782883e+04  1.9367070e+02
  -8.300e+02    3.3980092e+04  1.9367070e+02
  -8.200e+02    3.4896552e+04  1.9367070e+02
  -8.100e+02    3.5003118e+04  1.9367070e+02
  -8.000e+02    3.4470292e+04  1.9367070e+02
  -7.900e+02    3.4861031e+04  1.9367070e+02
  -7.800e+02    3.4264266e+04  1.9367070e+02
  -7.700e+02    3.4605274e+04  1.9367070e+02
  -7.600e+02    3.4811300e+04  1.9367070e+02
  -7.500e+02    3.3894840e+04  1.9367070e+02
  -7.400e+02    3.4996013e+04  1.9367070e+02
  -7.300e+02    3.4271370e+04  1.9367070e+02
  -7.200e+02    3.4562648e+04  1.9367070e+02
  -7.100e+02    3.4441874e+04  1.9367070e+02
  -7.000e+02    3.4853926e+04  1.9367070e+02
  -6.900e+02    3.4583961e+04  1.9367070e+02
  -6.800e+02    3.4868135e+04  1.9367070e+02
  -6.700e+02    3.4157700e+04  1.9367070e+02
  -6.600e+02    3.4797092e+04  1.9367070e+02
  -6.500e+02    3.4619483e+04  1.9367070e+02
  -6.400e+02    3.4619483e+04  1.9367070e+02
  -6.300e+02    3.4711839e+04  1.9367070e+02
  -6.200e+02    3.5116787e+04  1.9367070e+02
  -6.100e+02    3.4356622e+04  1.9367070e+02
  -6.000e+02    3.4313996e+04  1.9367070e+02
  -5.900e+02    3.4477396e+04  1.9367070e+02
  -5.800e+02    3.4001405e+04  1.9367070e+02
  -5.700e+02    3.4377935e+04  1.9367070e+02
  -5.600e+02    3.4285579e+04  1.9367070e+02
  -5.500e+02    3.4235848e+04  1.9367070e+02
  -5.400e+02    3.4242953e+04  1.9367070e+02
  -5.300e+02    3.4214535e+04  1.9367070e+02
  -5.200e+02    3.4257161e+04  1.9367070e+02
  -5.100e+02    3.4136387e+04  1.9367070e+02
  -5.000e+02    3.3972987e+04  1.9367070e+02
  -4.900e+02    3.4555544e+04  1.9367070e+02
  -4.800e+02    3.3951674e+04  1.9367070e+02
  -4.700e+02    3.4662109e+04  1.9367070e+02
  -4.600e+02    3.4150596e+04  1.9367070e+02
  -4.500e+02    3.4456083e+04  1.9367070e+02
  -4.400e+02    3.4534231e+04  1.9367070e+02
  -4.300e+02    3.4278474e+04  1.9367070e+02
  -4.200e+02    3.3923257e+04  1.9367070e+02
  -4.100e+02    3.4100866e+04  1.9367070e+02
  -4.000e+02    3.4448979e+04  1.9367070e+02
  -3.900e+02    3.4086657e+04  1.9367070e+02
  -3.800e+02    3.4058240e+04  1.9367070e+02
  -3.700e+02    3.4292683e+04  1.9367070e+02
  -3.600e+02    3.4079553e+04  1.9367070e+02
  -3.500e+02    3.4576857e+04  1.9367070e+02
  -3.400e+02    3.4761570e+04  1.9367070e+02
  -3.300e+02    3.4598170e+04  1.9367070e+02
  -3.200e+02    3.4733152e+04  1.9367070e+02
  -3.100e+02    3.4292683e+04  1.9367070e+02
  -3.000e+02    3.4498709e+04  1.9367070e+02
  -2.900e+02    3.4370831e+04  1.9367070e+02
  -2.800e+02    3.4882344e+04  1.9367070e+02
  -2.700e+02    3.4250057e+04  1.9367070e+02
  -2.600e+02    3.4321100e+04  1.9367070e+02
  -2.500e+02    3.4861031e+04  1.9367070e+02
  -2.400e+02    3.4321100e+04  1.9367070e+02
  -2.300e+02    3.4562648e+04  1.9367070e+02
  -2.200e+02    3.4115074e+04  1.9367070e+02
  -2.100e+02    3.4662109e+04  1.9367070e+02
  -2.000e+02    3.4122179e+04  1.9367070e+02
  -1.900e+02    3.4740257e+04  1.9367070e+02
  -1.800e+02    3.4044031e+04  1.9367070e+02
  -1.700e+02    3.3496996e+04  1.9367070e+02
  -1.600e+02    3.3227031e+04  1.9367070e+02
  -1.500e+02    3.3241240e+04  1.9367070e+02
  -1.400e+02    3.2580535e+04  1.9367070e+02
  -1.300e+02    3.1102831e+04  1.9367070e+02
  -1.200e+02    3.0008762e+04  1.9367070e+02
  -1.100e+02    2.8062171e+04  1.9367070e+02
  -1.000e+02    2.7337527e+04  1.9367070e+02
  -9.000e+01    2.8694458e+04  1.9367070e+02
  -8.000e+01    2.9717484e+04  1.9367070e+02
  -7.000e+01    2.8055066e+04  1.9367070e+02
  -6.000e+01    2.6669719e+04  1.9367070e+02
  -5.000e+01    2.4069528e+04  1.9367070e+02
  -4.000e+01    1.7377233e+04  1.9367070e+02
  -3.000e+01    7.8360947e+03  1.9367070e+02
  -2.000e+01    5.6408515e+03  1.9367070e+02
  -1.000e+01    3.3248344e+03  1.9367070e+02
