#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    6.9738810e+04  1.9316500e+02
  -1.100e+03    2.8202375e+04  1.9316500e+02
  -1.090e+03    2.8251192e+04  1.9316500e+02
  -1.080e+03    2.7525908e+04  1.9316500e+02
  -1.070e+03    2.8021054e+04  1.9316500e+02
  -1.060e+03    2.8460408e+04  1.9316500e+02
  -1.050e+03    2.8634755e+04  1.9316500e+02
  -1.040e+03    2.8014080e+04  1.9316500e+02
  -1.030e+03    2.8104740e+04  1.9316500e+02
  -1.020e+03    2.8425539e+04  1.9316500e+02
  -1.010e+03    2.7811837e+04  1.9316500e+02
  -1.000e+03    2.8195401e+04  1.9316500e+02
  -9.900e+02    2.8620808e+04  1.9316500e+02
  -9.800e+02    2.7686308e+04  1.9316500e+02
  -9.700e+02    2.8446461e+04  1.9316500e+02
  -9.600e+02    2.8251192e+04  1.9316500e+02
  -9.500e+02    2.8613834e+04  1.9316500e+02
  -9.400e+02    2.8390670e+04  1.9316500e+02
  -9.300e+02    2.8488304e+04  1.9316500e+02
  -9.200e+02    2.8383696e+04  1.9316500e+02
  -9.100e+02    2.8781207e+04  1.9316500e+02
  -9.000e+02    2.8369748e+04  1.9316500e+02
  -8.900e+02    2.8111714e+04  1.9316500e+02
  -8.800e+02    2.8223296e+04  1.9316500e+02
  -8.700e+02    2.8076845e+04  1.9316500e+02
  -8.600e+02    2.8599886e+04  1.9316500e+02
  -8.500e+02    2.8230270e+04  1.9316500e+02
  -8.400e+02    2.8934632e+04  1.9316500e+02
  -8.300e+02    2.7769994e+04  1.9316500e+02
  -8.200e+02    2.8272114e+04  1.9316500e+02
  -8.100e+02    2.7763020e+04  1.9316500e+02
  -8.000e+02    2.8676599e+04  1.9316500e+02
  -7.900e+02    2.8076845e+04  1.9316500e+02
  -7.800e+02    2.8418565e+04  1.9316500e+02
  -7.700e+02    2.8223296e+04  1.9316500e+02
  -7.600e+02    2.8746337e+04  1.9316500e+02
  -7.500e+02    2.8188427e+04  1.9316500e+02
  -7.400e+02    2.8146584e+04  1.9316500e+02
  -7.300e+02    2.8355800e+04  1.9316500e+02
  -7.200e+02    2.7414326e+04  1.9316500e+02
  -7.100e+02    2.8153558e+04  1.9316500e+02
  -7.000e+02    2.8544095e+04  1.9316500e+02
  -6.900e+02    2.8216323e+04  1.9316500e+02
  -6.800e+02    2.8265140e+04  1.9316500e+02
  -6.700e+02    2.8223296e+04  1.9316500e+02
  -6.600e+02    2.8355800e+04  1.9316500e+02
  -6.500e+02    2.8641729e+04  1.9316500e+02
  -6.400e+02    2.8348826e+04  1.9316500e+02
  -6.300e+02    2.8502252e+04  1.9316500e+02
  -6.200e+02    2.8571990e+04  1.9316500e+02
  -6.100e+02    2.7763020e+04  1.9316500e+02
  -6.000e+02    2.8174479e+04  1.9316500e+02
  -5.900e+02    2.8453434e+04  1.9316500e+02
  -5.800e+02    2.8453434e+04  1.9316500e+02
  -5.700e+02    2.8279087e+04  1.9316500e+02
  -5.600e+02    2.8390670e+04  1.9316500e+02
  -5.500e+02    2.8097767e+04  1.9316500e+02
  -5.400e+02    2.7874602e+04  1.9316500e+02
  -5.300e+02    2.7923420e+04  1.9316500e+02
  -5.200e+02    2.8174479e+04  1.9316500e+02
  -5.100e+02    2.7693281e+04  1.9316500e+02
  -5.000e+02    2.8836998e+04  1.9316500e+02
  -4.900e+02    2.8209349e+04  1.9316500e+02
  -4.800e+02    2.7274849e+04  1.9316500e+02
  -4.700e+02    2.8041976e+04  1.9316500e+02
  -4.600e+02    2.8906737e+04  1.9316500e+02
  -4.500e+02    2.7735125e+04  1.9316500e+02
  -4.400e+02    2.7930393e+04  1.9316500e+02
  -4.300e+02    2.8251192e+04  1.9316500e+02
  -4.200e+02    2.7539856e+04  1.9316500e+02
  -4.100e+02    2.7149319e+04  1.9316500e+02
  -4.000e+02    2.7065632e+04  1.9316500e+02
  -3.900e+02    2.6716938e+04  1.9316500e+02
  -3.800e+02    2.6633252e+04  1.9316500e+02
  -3.700e+02    2.4861886e+04  1.9316500e+02
  -3.600e+02    2.4213315e+04  1.9316500e+02
  -3.500e+02    2.4262132e+04  1.9316500e+02
  -3.400e+02    2.3732117e+04  1.9316500e+02
  -3.300e+02    2.2881304e+04  1.9316500e+02
  -3.200e+02    2.3278815e+04  1.9316500e+02
  -3.100e+02    2.3083546e+04  1.9316500e+02
  -3.000e+02    2.2051412e+04  1.9316500e+02
  -2.900e+02    2.0538080e+04  1.9316500e+02
  -2.800e+02    1.9010800e+04  1.9316500e+02
  -2.700e+02    1.7246408e+04  1.9316500e+02
  -2.600e+02    1.6695471e+04  1.9316500e+02
  -2.500e+02    1.8257620e+04  1.9316500e+02
  -2.400e+02    1.9631475e+04  1.9316500e+02
  -2.300e+02    2.2058386e+04  1.9316500e+02
  -2.200e+02    2.2755774e+04  1.9316500e+02
  -2.100e+02    2.3488031e+04  1.9316500e+02
  -2.000e+02    2.4338845e+04  1.9316500e+02
  -1.900e+02    2.5043207e+04  1.9316500e+02
  -1.800e+02    2.5280319e+04  1.9316500e+02
  -1.700e+02    2.5524404e+04  1.9316500e+02
  -1.600e+02    2.6305479e+04  1.9316500e+02
  -1.500e+02    2.5880072e+04  1.9316500e+02
  -1.400e+02    2.5970733e+04  1.9316500e+02
  -1.300e+02    2.5852177e+04  1.9316500e+02
  -1.200e+02    2.6312453e+04  1.9316500e+02
  -1.100e+02    2.6284557e+04  1.9316500e+02
  -1.000e+02    2.6354296e+04  1.9316500e+02
  -9.000e+01    2.5894020e+04  1.9316500e+02
  -8.000e+01    2.5677830e+04  1.9316500e+02
  -7.000e+01    2.5489535e+04  1.9316500e+02
  -6.000e+01    2.5447692e+04  1.9316500e+02
  -5.000e+01    2.4603852e+04  1.9316500e+02
  -4.000e+01    2.3376449e+04  1.9316500e+02
  -3.000e+01    2.0705453e+04  1.9316500e+02
  -2.000e+01    1.8696975e+04  1.9316500e+02
  -1.000e+01    1.7643919e+04  1.9316500e+02
   0.000e+00    1.8278542e+04  1.9316500e+02
   1.000e+01    1.9415285e+04  1.9316500e+02
   2.000e+01    1.9129356e+04  1.9316500e+02
   3.000e+01    1.9122382e+04  1.9316500e+02
   4.000e+01    1.6500202e+04  1.9316500e+02
   5.000e+01    1.3076027e+04  1.9316500e+02
   6.000e+01    7.9432505e+03  1.9316500e+02
   7.000e+01    1.8690001e+03  1.9316500e+02
   8.000e+01   -5.4396272e+02  1.9316500e+02
   9.000e+01    1.2831941e+03  1.9316500e+02
   1.000e+02    6.8204556e+03  1.9316500e+02
   1.100e+02    1.4498699e+04  1.9316500e+02
   1.200e+02    1.9031721e+04  1.9316500e+02
   1.300e+02    2.2121151e+04  1.9316500e+02
   1.400e+02    2.4206341e+04  1.9316500e+02
   1.500e+02    2.4596878e+04  1.9316500e+02
   1.600e+02    2.5859151e+04  1.9316500e+02
   1.700e+02    2.6723912e+04  1.9316500e+02
   1.800e+02    2.6584434e+04  1.9316500e+02
   1.900e+02    2.7114449e+04  1.9316500e+02
   2.000e+02    2.7009841e+04  1.9316500e+02
   2.100e+02    2.7337614e+04  1.9316500e+02
   2.200e+02    2.8139610e+04  1.9316500e+02
   2.300e+02    2.7414326e+04  1.9316500e+02
   2.400e+02    2.7672360e+04  1.9316500e+02
   2.500e+02    2.7825785e+04  1.9316500e+02
   2.600e+02    2.8411591e+04  1.9316500e+02
   2.700e+02    2.7909472e+04  1.9316500e+02
   2.800e+02    2.7665386e+04  1.9316500e+02
   2.900e+02    2.8035002e+04  1.9316500e+02
   3.000e+02    2.8202375e+04  1.9316500e+02
   3.100e+02    2.7742099e+04  1.9316500e+02
   3.200e+02    2.8125662e+04  1.9316500e+02
   3.300e+02    2.8502252e+04  1.9316500e+02
   3.400e+02    2.8153558e+04  1.9316500e+02
   3.500e+02    2.7888550e+04  1.9316500e+02
   3.600e+02    2.8090793e+04  1.9316500e+02
   3.700e+02    2.8537121e+04  1.9316500e+02
   3.800e+02    2.7742099e+04  1.9316500e+02
   3.900e+02    2.8571990e+04  1.9316500e+02
   4.000e+02    2.8230270e+04  1.9316500e+02
   4.100e+02    2.8139610e+04  1.9316500e+02
   4.200e+02    2.8418565e+04  1.9316500e+02
   4.300e+02    2.8076845e+04  1.9316500e+02
   4.400e+02    2.8774233e+04  1.9316500e+02
   4.500e+02    2.8404617e+04  1.9316500e+02
   4.600e+02    2.8425539e+04  1.9316500e+02
   4.700e+02    2.8627782e+04  1.9316500e+02
   4.800e+02    2.7832759e+04  1.9316500e+02
   4.900e+02    2.8320931e+04  1.9316500e+02
   5.000e+02    2.8014080e+04  1.9316500e+02
   5.100e+02    2.7986184e+04  1.9316500e+02
   5.200e+02    2.7846707e+04  1.9316500e+02
   5.300e+02    2.8125662e+04  1.9316500e+02
   5.400e+02    2.8209349e+04  1.9316500e+02
