#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    5.1626670e+04  1.9521120e+02
  -1.100e+03    1.6768342e+04  1.9521120e+02
  -1.090e+03    1.6794156e+04  1.9521120e+02
  -1.080e+03    1.6788993e+04  1.9521120e+02
  -1.070e+03    1.5859713e+04  1.9521120e+02
  -1.060e+03    1.6623788e+04  1.9521120e+02
  -1.050e+03    1.6794156e+04  1.9521120e+02
  -1.040e+03    1.7372374e+04  1.9521120e+02
  -1.030e+03    1.6463745e+04  1.9521120e+02
  -1.020e+03    1.6024918e+04  1.9521120e+02
  -1.010e+03    1.7103916e+04  1.9521120e+02
  -1.000e+03    1.6386305e+04  1.9521120e+02
  -9.900e+02    1.6308865e+04  1.9521120e+02
  -9.800e+02    1.6283052e+04  1.9521120e+02
  -9.700e+02    1.5937153e+04  1.9521120e+02
  -9.600e+02    1.6148822e+04  1.9521120e+02
  -9.500e+02    1.6086870e+04  1.9521120e+02
  -9.400e+02    1.6329516e+04  1.9521120e+02
  -9.300e+02    1.6045569e+04  1.9521120e+02
  -9.200e+02    1.6215937e+04  1.9521120e+02
  -9.100e+02    1.6360492e+04  1.9521120e+02
  -9.000e+02    1.6293377e+04  1.9521120e+02
  -8.900e+02    1.5885526e+04  1.9521120e+02
  -8.800e+02    1.6019756e+04  1.9521120e+02
  -8.700e+02    1.5508652e+04  1.9521120e+02
  -8.600e+02    1.5209217e+04  1.9521120e+02
  -8.500e+02    1.4873644e+04  1.9521120e+02
  -8.400e+02    1.3980502e+04  1.9521120e+02
  -8.300e+02    1.3144150e+04  1.9521120e+02
  -8.200e+02    1.0506027e+04  1.9521120e+02
  -8.100e+02    7.8730672e+03  1.9521120e+02
  -8.000e+02    5.7512110e+03  1.9521120e+02
  -7.900e+02    6.6650031e+03  1.9521120e+02
  -7.800e+02    7.8472538e+03  1.9521120e+02
  -7.700e+02    9.4218673e+03  1.9521120e+02
  -7.600e+02    9.7058140e+03  1.9521120e+02
  -7.500e+02    9.5044699e+03  1.9521120e+02
  -7.400e+02    7.3413125e+03  1.9521120e+02
  -7.300e+02    3.9339523e+03  1.9521120e+02
  -7.200e+02    7.2793605e+02  1.9521120e+02
  -7.100e+02   -2.2199468e+02  1.9521120e+02
  -7.000e+02    1.2183894e+03  1.9521120e+02
  -6.900e+02    5.1213657e+03  1.9521120e+02
  -6.800e+02    8.7403952e+03  1.9521120e+02
  -6.700e+02    1.0877739e+04  1.9521120e+02
  -6.600e+02    1.1626326e+04  1.9521120e+02
  -6.500e+02    1.3391958e+04  1.9521120e+02
  -6.400e+02    1.4259286e+04  1.9521120e+02
  -6.300e+02    1.4708438e+04  1.9521120e+02
  -6.200e+02    1.4930433e+04  1.9521120e+02
  -6.100e+02    1.5090476e+04  1.9521120e+02
  -6.000e+02    1.4894294e+04  1.9521120e+02
  -5.900e+02    1.5395073e+04  1.9521120e+02
  -5.800e+02    1.5839062e+04  1.9521120e+02
  -5.700e+02    1.5488001e+04  1.9521120e+02
  -5.600e+02    1.5823574e+04  1.9521120e+02
  -5.500e+02    1.5482838e+04  1.9521120e+02
  -5.400e+02    1.5787436e+04  1.9521120e+02
  -5.300e+02    1.6086870e+04  1.9521120e+02
  -5.200e+02    1.5596417e+04  1.9521120e+02
  -5.100e+02    1.5198892e+04  1.9521120e+02
  -5.000e+02    1.5462188e+04  1.9521120e+02
  -4.900e+02    1.5658369e+04  1.9521120e+02
  -4.800e+02    1.5395073e+04  1.9521120e+02
  -4.700e+02    1.4987222e+04  1.9521120e+02
  -4.600e+02    1.5126614e+04  1.9521120e+02
  -4.500e+02    1.4579372e+04  1.9521120e+02
  -4.400e+02    1.4517420e+04  1.9521120e+02
  -4.300e+02    1.4130220e+04  1.9521120e+02
  -4.200e+02    1.2725974e+04  1.9521120e+02
  -4.100e+02    1.3113174e+04  1.9521120e+02
  -4.000e+02    1.2189057e+04  1.9521120e+02
  -3.900e+02    1.2529793e+04  1.9521120e+02
  -3.800e+02    1.2240683e+04  1.9521120e+02
  -3.700e+02    1.2658859e+04  1.9521120e+02
  -3.600e+02    1.1899947e+04  1.9521120e+02
  -3.500e+02    1.2199382e+04  1.9521120e+02
  -3.400e+02    1.1306241e+04  1.9521120e+02
  -3.300e+02    1.1424982e+04  1.9521120e+02
  -3.200e+02    1.0635094e+04  1.9521120e+02
  -3.100e+02    1.0624769e+04  1.9521120e+02
  -3.000e+02    1.1388843e+04  1.9521120e+02
  -2.900e+02    1.2880854e+04  1.9521120e+02
  -2.800e+02    1.3959852e+04  1.9521120e+02
  -2.700e+02    1.4739414e+04  1.9521120e+02
  -2.600e+02    1.4909782e+04  1.9521120e+02
  -2.500e+02    1.5627393e+04  1.9521120e+02
  -2.400e+02    1.6112684e+04  1.9521120e+02
  -2.300e+02    1.6283052e+04  1.9521120e+02
  -2.200e+02    1.6092033e+04  1.9521120e+02
  -2.100e+02    1.6613462e+04  1.9521120e+02
  -2.000e+02    1.5962966e+04  1.9521120e+02
  -1.900e+02    1.6711553e+04  1.9521120e+02
  -1.800e+02    1.6117846e+04  1.9521120e+02
  -1.700e+02    1.5854550e+04  1.9521120e+02
  -1.600e+02    1.6169473e+04  1.9521120e+02
  -1.500e+02    1.6148822e+04  1.9521120e+02
  -1.400e+02    1.6659926e+04  1.9521120e+02
  -1.300e+02    1.6639276e+04  1.9521120e+02
  -1.200e+02    1.6319190e+04  1.9521120e+02
  -1.100e+02    1.6391468e+04  1.9521120e+02
  -1.000e+02    1.6386305e+04  1.9521120e+02
  -9.000e+01    1.7067777e+04  1.9521120e+02
  -8.000e+01    1.6215937e+04  1.9521120e+02
  -7.000e+01    1.6861270e+04  1.9521120e+02
  -6.000e+01    1.6680577e+04  1.9521120e+02
  -5.000e+01    1.6887084e+04  1.9521120e+02
  -4.000e+01    1.6551510e+04  1.9521120e+02
  -3.000e+01    1.6489558e+04  1.9521120e+02
  -2.000e+01    1.6350166e+04  1.9521120e+02
  -1.000e+01    1.7346561e+04  1.9521120e+02
   0.000e+00    1.6876758e+04  1.9521120e+02
   1.000e+01    1.6458582e+04  1.9521120e+02
   2.000e+01    1.6381142e+04  1.9521120e+02
   3.000e+01    1.6582486e+04  1.9521120e+02
   4.000e+01    1.6556673e+04  1.9521120e+02
   5.000e+01    1.6257238e+04  1.9521120e+02
   6.000e+01    1.6861270e+04  1.9521120e+02
   7.000e+01    1.6458582e+04  1.9521120e+02
   8.000e+01    1.6355329e+04  1.9521120e+02
   9.000e+01    1.6412118e+04  1.9521120e+02
   1.000e+02    1.6825132e+04  1.9521120e+02
   1.100e+02    1.6468908e+04  1.9521120e+02
   1.200e+02    1.6980012e+04  1.9521120e+02
   1.300e+02    1.6866433e+04  1.9521120e+02
   1.400e+02    1.6711553e+04  1.9521120e+02
   1.500e+02    1.6990337e+04  1.9521120e+02
   1.600e+02    1.6763180e+04  1.9521120e+02
   1.700e+02    1.6597974e+04  1.9521120e+02
   1.800e+02    1.6479233e+04  1.9521120e+02
   1.900e+02    1.6830294e+04  1.9521120e+02
   2.000e+02    1.6530860e+04  1.9521120e+02
   2.100e+02    1.6179798e+04  1.9521120e+02
   2.200e+02    1.6597974e+04  1.9521120e+02
   2.300e+02    1.6618625e+04  1.9521120e+02
   2.400e+02    1.6608300e+04  1.9521120e+02
   2.500e+02    1.6365654e+04  1.9521120e+02
   2.600e+02    1.6406956e+04  1.9521120e+02
   2.700e+02    1.6603137e+04  1.9521120e+02
   2.800e+02    1.6525697e+04  1.9521120e+02
   2.900e+02    1.7088428e+04  1.9521120e+02
   3.000e+02    1.6706390e+04  1.9521120e+02
   3.100e+02    1.6778668e+04  1.9521120e+02
   3.200e+02    1.6639276e+04  1.9521120e+02
   3.300e+02    1.7377537e+04  1.9521120e+02
   3.400e+02    1.7026476e+04  1.9521120e+02
   3.500e+02    1.6076545e+04  1.9521120e+02
   3.600e+02    1.6923222e+04  1.9521120e+02
   3.700e+02    1.6510209e+04  1.9521120e+02
   3.800e+02    1.6386305e+04  1.9521120e+02
   3.900e+02    1.6706390e+04  1.9521120e+02
   4.000e+02    1.6964524e+04  1.9521120e+02
   4.100e+02    1.6887084e+04  1.9521120e+02
   4.200e+02    1.7016150e+04  1.9521120e+02
   4.300e+02    1.5906177e+04  1.9521120e+02
   4.400e+02    1.6417281e+04  1.9521120e+02
   4.500e+02    1.6969686e+04  1.9521120e+02
   4.600e+02    1.6339841e+04  1.9521120e+02
   4.700e+02    1.6355329e+04  1.9521120e+02
   4.800e+02    1.6458582e+04  1.9521120e+02
   4.900e+02    1.6949036e+04  1.9521120e+02
   5.000e+02    1.6654764e+04  1.9521120e+02
   5.100e+02    1.7083265e+04  1.9521120e+02
   5.200e+02    1.6938710e+04  1.9521120e+02
   5.300e+02    1.7072940e+04  1.9521120e+02
   5.400e+02    1.6773505e+04  1.9521120e+02
   5.500e+02    1.6840620e+04  1.9521120e+02
   5.600e+02    1.6696065e+04  1.9521120e+02
   5.700e+02    1.6825132e+04  1.9521120e+02
   5.800e+02    1.6918060e+04  1.9521120e+02
