#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    7.5586010e+04  1.9536530e+02
  -1.100e+03    4.0272226e+04  1.9536530e+02
  -1.090e+03    4.0075703e+04  1.9536530e+02
  -1.080e+03    3.9947206e+04  1.9536530e+02
  -1.070e+03    4.0241992e+04  1.9536530e+02
  -1.060e+03    4.0892031e+04  1.9536530e+02
  -1.050e+03    3.9969882e+04  1.9536530e+02
  -1.040e+03    4.0234433e+04  1.9536530e+02
  -1.030e+03    4.0030351e+04  1.9536530e+02
  -1.020e+03    4.0128613e+04  1.9536530e+02
  -1.010e+03    4.0241992e+04  1.9536530e+02
  -1.000e+03    3.9833827e+04  1.9536530e+02
  -9.900e+02    4.0241992e+04  1.9536530e+02
  -9.800e+02    3.9161112e+04  1.9536530e+02
  -9.700e+02    4.0332695e+04  1.9536530e+02
  -9.600e+02    3.9312284e+04  1.9536530e+02
  -9.500e+02    4.0362929e+04  1.9536530e+02
  -9.400e+02    4.1421133e+04  1.9536530e+02
  -9.300e+02    4.0589687e+04  1.9536530e+02
  -9.200e+02    4.0536777e+04  1.9536530e+02
  -9.100e+02    4.0370488e+04  1.9536530e+02
  -9.000e+02    3.9607069e+04  1.9536530e+02
  -8.900e+02    3.9523925e+04  1.9536530e+02
  -8.800e+02    3.9697772e+04  1.9536530e+02
  -8.700e+02    4.0438515e+04  1.9536530e+02
  -8.600e+02    4.0362929e+04  1.9536530e+02
  -8.500e+02    3.9939648e+04  1.9536530e+02
  -8.400e+02    4.0597246e+04  1.9536530e+02
  -8.300e+02    4.0060585e+04  1.9536530e+02
  -8.200e+02    3.9554159e+04  1.9536530e+02
  -8.100e+02    3.9871620e+04  1.9536530e+02
  -8.000e+02    4.0446074e+04  1.9536530e+02
  -7.900e+02    4.0393164e+04  1.9536530e+02
  -7.800e+02    4.0846680e+04  1.9536530e+02
  -7.700e+02    4.0226875e+04  1.9536530e+02
  -7.600e+02    4.0574570e+04  1.9536530e+02
  -7.500e+02    4.0340254e+04  1.9536530e+02
  -7.400e+02    4.0257109e+04  1.9536530e+02
  -7.300e+02    3.9818710e+04  1.9536530e+02
  -7.200e+02    4.0400722e+04  1.9536530e+02
  -7.100e+02    3.9894296e+04  1.9536530e+02
  -7.000e+02    4.0393164e+04  1.9536530e+02
  -6.900e+02    4.0347812e+04  1.9536530e+02
  -6.800e+02    4.0181523e+04  1.9536530e+02
  -6.700e+02    3.9365194e+04  1.9536530e+02
  -6.600e+02    4.0030351e+04  1.9536530e+02
  -6.500e+02    3.9319842e+04  1.9536530e+02
  -6.400e+02    4.0567012e+04  1.9536530e+02
  -6.300e+02    4.0430957e+04  1.9536530e+02
  -6.200e+02    4.0226875e+04  1.9536530e+02
  -6.100e+02    4.0219316e+04  1.9536530e+02
  -6.000e+02    3.9826269e+04  1.9536530e+02
  -5.900e+02    4.0060585e+04  1.9536530e+02
  -5.800e+02    4.0960059e+04  1.9536530e+02
  -5.700e+02    4.0294902e+04  1.9536530e+02
  -5.600e+02    3.9554159e+04  1.9536530e+02
  -5.500e+02    4.0514101e+04  1.9536530e+02
  -5.400e+02    3.9848944e+04  1.9536530e+02
  -5.300e+02    4.0015234e+04  1.9536530e+02
  -5.200e+02    4.0400722e+04  1.9536530e+02
  -5.100e+02    4.0325136e+04  1.9536530e+02
  -5.000e+02    4.0105937e+04  1.9536530e+02
  -4.900e+02    3.9848944e+04  1.9536530e+02
  -4.800e+02    4.0241992e+04  1.9536530e+02
