#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    8.5143890e+04  1.9317000e+02
  -1.100e+03    4.8489445e+04  1.9317000e+02
  -1.090e+03    4.8165899e+04  1.9317000e+02
  -1.080e+03    4.9042881e+04  1.9317000e+02
  -1.070e+03    4.8566075e+04  1.9317000e+02
  -1.060e+03    4.8685276e+04  1.9317000e+02
  -1.050e+03    4.8923679e+04  1.9317000e+02
  -1.040e+03    4.8693791e+04  1.9317000e+02
  -1.030e+03    4.8634190e+04  1.9317000e+02
  -1.020e+03    4.8685276e+04  1.9317000e+02
  -1.010e+03    4.9272769e+04  1.9317000e+02
  -1.000e+03    4.8940708e+04  1.9317000e+02
  -9.900e+02    4.8685276e+04  1.9317000e+02
  -9.800e+02    4.9017337e+04  1.9317000e+02
  -9.700e+02    4.8830021e+04  1.9317000e+02
  -9.600e+02    4.8898136e+04  1.9317000e+02
  -9.500e+02    4.8983280e+04  1.9317000e+02
  -9.400e+02    4.8625676e+04  1.9317000e+02
  -9.300e+02    4.9017337e+04  1.9317000e+02
  -9.200e+02    4.8276586e+04  1.9317000e+02
  -9.100e+02    4.9587802e+04  1.9317000e+02
  -9.000e+02    4.8506474e+04  1.9317000e+02
  -8.900e+02    4.8514989e+04  1.9317000e+02
  -8.800e+02    4.9042881e+04  1.9317000e+02
  -8.700e+02    4.8991794e+04  1.9317000e+02
  -8.600e+02    4.8140355e+04  1.9317000e+02
  -8.500e+02    4.8702305e+04  1.9317000e+02
  -8.400e+02    4.9451571e+04  1.9317000e+02
  -8.300e+02    4.8966251e+04  1.9317000e+02
  -8.200e+02    4.9204654e+04  1.9317000e+02
  -8.100e+02    4.9017337e+04  1.9317000e+02
  -8.000e+02    4.9426028e+04  1.9317000e+02
  -7.900e+02    4.8949222e+04  1.9317000e+02
  -7.800e+02    4.9204654e+04  1.9317000e+02
  -7.700e+02    4.9000309e+04  1.9317000e+02
  -7.600e+02    4.8370244e+04  1.9317000e+02
  -7.500e+02    4.9110996e+04  1.9317000e+02
  -7.400e+02    4.8148870e+04  1.9317000e+02
  -7.300e+02    4.8736363e+04  1.9317000e+02
  -7.200e+02    4.9153568e+04  1.9317000e+02
  -7.100e+02    4.9315341e+04  1.9317000e+02
  -7.000e+02    4.9042881e+04  1.9317000e+02
  -6.900e+02    4.9000309e+04  1.9317000e+02
  -6.800e+02    4.9187625e+04  1.9317000e+02
  -6.700e+02    4.9000309e+04  1.9317000e+02
  -6.600e+02    4.8395787e+04  1.9317000e+02
  -6.500e+02    4.9170596e+04  1.9317000e+02
  -6.400e+02    4.9162082e+04  1.9317000e+02
  -6.300e+02    4.8600132e+04  1.9317000e+02
  -6.200e+02    4.8617161e+04  1.9317000e+02
  -6.100e+02    4.9042881e+04  1.9317000e+02
  -6.000e+02    4.8659733e+04  1.9317000e+02
  -5.900e+02    4.8642704e+04  1.9317000e+02
  -5.800e+02    4.8268071e+04  1.9317000e+02
  -5.700e+02    4.9196140e+04  1.9317000e+02
  -5.600e+02    4.8353215e+04  1.9317000e+02
  -5.500e+02    4.8761906e+04  1.9317000e+02
  -5.400e+02    4.8651219e+04  1.9317000e+02
  -5.300e+02    4.8685276e+04  1.9317000e+02
  -5.200e+02    4.9110996e+04  1.9317000e+02
  -5.100e+02    4.9528201e+04  1.9317000e+02
  -5.000e+02    4.8353215e+04  1.9317000e+02
  -4.900e+02    4.8591618e+04  1.9317000e+02
  -4.800e+02    4.8830021e+04  1.9317000e+02
  -4.700e+02    4.9034366e+04  1.9317000e+02
  -4.600e+02    4.8693791e+04  1.9317000e+02
  -4.500e+02    4.8540532e+04  1.9317000e+02
  -4.400e+02    4.9128025e+04  1.9317000e+02
  -4.300e+02    4.9204654e+04  1.9317000e+02
  -4.200e+02    4.8583104e+04  1.9317000e+02
  -4.100e+02    4.9051395e+04  1.9317000e+02
  -4.000e+02    4.8889622e+04  1.9317000e+02
  -3.900e+02    4.8455388e+04  1.9317000e+02
  -3.800e+02    4.9153568e+04  1.9317000e+02
  -3.700e+02    4.8378758e+04  1.9317000e+02
  -3.600e+02    4.9230197e+04  1.9317000e+02
  -3.500e+02    4.9153568e+04  1.9317000e+02
  -3.400e+02    4.9145053e+04  1.9317000e+02
  -3.300e+02    4.9408999e+04  1.9317000e+02
  -3.200e+02    4.8770420e+04  1.9317000e+02
  -3.100e+02    4.8719334e+04  1.9317000e+02
  -3.000e+02    4.8693791e+04  1.9317000e+02
  -2.900e+02    4.9460086e+04  1.9317000e+02
  -2.800e+02    4.8225499e+04  1.9317000e+02
  -2.700e+02    4.8625676e+04  1.9317000e+02
  -2.600e+02    4.8855564e+04  1.9317000e+02
  -2.500e+02    4.8702305e+04  1.9317000e+02
  -2.400e+02    4.8344701e+04  1.9317000e+02
  -2.300e+02    4.9247226e+04  1.9317000e+02
  -2.200e+02    4.8361730e+04  1.9317000e+02
  -2.100e+02    4.8506474e+04  1.9317000e+02
  -2.000e+02    4.9034366e+04  1.9317000e+02
  -1.900e+02    4.8463902e+04  1.9317000e+02
  -1.800e+02    4.8693791e+04  1.9317000e+02
  -1.700e+02    4.8693791e+04  1.9317000e+02
  -1.600e+02    4.8404301e+04  1.9317000e+02
  -1.500e+02    4.8225499e+04  1.9317000e+02
  -1.400e+02    4.9017337e+04  1.9317000e+02
  -1.300e+02    4.7936010e+04  1.9317000e+02
  -1.200e+02    4.8004125e+04  1.9317000e+02
  -1.100e+02    4.7910467e+04  1.9317000e+02
  -1.000e+02    4.8455388e+04  1.9317000e+02
  -9.000e+01    4.8029668e+04  1.9317000e+02
  -8.000e+01    4.7374060e+04  1.9317000e+02
  -7.000e+01    4.7459204e+04  1.9317000e+02
  -6.000e+01    4.5645639e+04  1.9317000e+02
  -5.000e+01    4.4572826e+04  1.9317000e+02
  -4.000e+01    4.4061963e+04  1.9317000e+02
  -3.000e+01    4.4044934e+04  1.9317000e+02
  -2.000e+01    4.3508528e+04  1.9317000e+02
