#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.8274950e+01  6.5016383e+01
  -1.025e+03    4.8065376e+00  1.7107370e+01
  -1.000e+03    5.0625531e+00  1.8018375e+01
  -9.750e+02    5.2053730e+00  1.8525202e+01
  -9.500e+02    5.0299278e+00  1.7900112e+01
  -9.250e+02    5.0977212e+00  1.8144936e+01
  -9.000e+02    5.1717884e+00  1.8405990e+01
  -8.750e+02    5.5801005e+00  1.9857246e+01
  -8.500e+02    5.4022528e+00  1.9225143e+01
  -8.250e+02    5.2149388e+00  1.8557165e+01
  -8.000e+02    6.2349287e+00  2.2184234e+01
  -7.750e+02    5.0116975e+00  1.7836075e+01
  -7.500e+02    5.5111876e+00  1.9612437e+01
  -7.250e+02    4.9899959e+00  1.7756769e+01
  -7.000e+02    5.8793230e+00  2.0919464e+01
  -6.750e+02    5.3481000e+00  1.9032442e+01
  -6.500e+02    4.9848463e+00  1.7742184e+01
  -6.250e+02    5.1260670e+00  1.8244632e+01
  -6.000e+02    5.4375560e+00  1.9349075e+01
  -5.750e+02    5.7217430e+00  2.0360356e+01
  -5.500e+02    5.3741324e+00  1.9126383e+01
  -5.250e+02    4.8444581e+00  1.7241333e+01
  -5.000e+02    5.3788630e+00  1.9139916e+01
  -4.750e+02    5.3417231e+00  1.9010050e+01
  -4.500e+02    4.8115527e+00  1.7124838e+01
  -4.250e+02    5.0059193e+00  1.7814472e+01
  -4.000e+02    5.6557193e+00  2.0125026e+01
  -3.750e+02    5.1933828e+00  1.8481383e+01
  -3.500e+02    4.9886645e+00  1.7755171e+01
  -3.250e+02    4.9132113e+00  1.7484938e+01
  -3.000e+02    4.5489342e+00  1.6190923e+01
  -2.750e+02    3.4148963e+00  1.2158933e+01
  -2.500e+02    3.8645741e+00  1.3751830e+01
  -2.250e+02    2.3226874e+00  8.2675710e+00
  -2.000e+02    2.7110617e+00  9.6502464e+00
  -1.750e+02    1.7507773e+00  6.2356209e+00
  -1.500e+02    2.1320172e+00  7.5911643e+00
  -1.250e+02    2.1200801e+00  7.5455086e+00
  -1.000e+02    2.6166994e+00  9.3106944e+00
  -7.500e+01    2.9589170e+00  1.0530514e+01
  -5.000e+01    3.7084610e+00  1.3197801e+01
  -2.500e+01    3.2618703e+00  1.1613286e+01
   0.000e+00    4.3630091e+00  1.5525826e+01
   2.500e+01    2.9616880e+00  1.0546781e+01
   5.000e+01    3.7828411e+00  1.3465481e+01
   7.500e+01    4.3386880e+00  1.5442938e+01
   1.000e+02    4.4342773e+00  1.5779611e+01
   1.250e+02    4.9120768e+00  1.7481241e+01
   1.500e+02    5.1837327e+00  1.8447335e+01
   1.750e+02    5.4310310e+00  1.9324615e+01
   2.000e+02    5.6101600e+00  1.9964952e+01
   2.250e+02    5.4258666e+00  1.9311696e+01
   2.500e+02    5.2385011e+00  1.8644037e+01
   2.750e+02    5.4408972e+00  1.9364248e+01
   3.000e+02    4.8026168e+00  1.7094531e+01
   3.250e+02    5.1447928e+00  1.8308857e+01
   3.500e+02    5.8908168e+00  2.0962307e+01
   3.750e+02    5.3469294e+00  1.9027792e+01
   4.000e+02    4.8507126e+00  1.7263905e+01
   4.250e+02    5.6188197e+00  1.9994813e+01
   4.500e+02    5.5953199e+00  1.9910256e+01
   4.750e+02    4.8305877e+00  1.7193402e+01
   5.000e+02    5.8942354e+00  2.0973056e+01
   5.250e+02    5.2917877e+00  1.8830983e+01
   5.500e+02    5.2604660e+00  1.8719048e+01
   5.750e+02    6.0084679e+00  2.1379573e+01
   6.000e+02    5.4086903e+00  1.9248655e+01
   6.250e+02    5.7035859e+00  2.0294460e+01
   6.500e+02    6.2827973e+00  2.2353127e+01
   6.750e+02    5.7666571e+00  2.0519074e+01
   7.000e+02    4.8699253e+00  1.7333009e+01
   7.250e+02    5.8773552e+00  2.0913447e+01
   7.500e+02    5.2985969e+00  1.8855530e+01
   7.750e+02    6.0512379e+00  2.1532543e+01
   8.000e+02    5.2622946e+00  1.8726368e+01
   8.250e+02    5.8717947e+00  2.0894507e+01
   8.500e+02    5.3134258e+00  1.8908458e+01
   8.750e+02    5.7292482e+00  2.0387871e+01
   9.000e+02    5.4657312e+00  1.9448128e+01
   9.250e+02    5.8262443e+00  2.0733651e+01
   9.500e+02    5.7799164e+00  2.0568116e+01
   9.750e+02    4.5161525e+00  1.6075653e+01
   1.000e+03    6.0022845e+00  2.1356943e+01
   1.025e+03    5.1207403e+00  1.8224025e+01
