#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.9828137e+03  8.4358654e+00
  -1.025e+03    8.6800456e+02  4.6735351e+00
  -1.000e+03    8.7533742e+02  4.6847941e+00
  -9.750e+02    8.7231065e+02  4.6676794e+00
  -9.500e+02    8.6135477e+02  4.6789419e+00
  -9.250e+02    8.7662306e+02  4.6775180e+00
  -9.000e+02    8.6789452e+02  4.6534475e+00
  -8.750e+02    8.7859533e+02  4.6742229e+00
  -8.500e+02    8.7816728e+02  4.6817338e+00
  -8.250e+02    8.8059360e+02  4.6712830e+00
  -8.000e+02    8.7332366e+02  4.6795801e+00
  -7.750e+02    8.6383253e+02  4.6805397e+00
  -7.500e+02    8.6495058e+02  4.6640862e+00
  -7.250e+02    8.7213656e+02  4.6827180e+00
  -7.000e+02    8.7229639e+02  4.6488663e+00
  -6.750e+02    8.7003683e+02  4.6563336e+00
  -6.500e+02    8.6103444e+02  4.6651097e+00
  -6.250e+02    8.7370466e+02  4.6729123e+00
  -6.000e+02    8.7427626e+02  4.6608928e+00
  -5.750e+02    8.7316465e+02  4.6593587e+00
  -5.500e+02    8.7253348e+02  4.6724430e+00
  -5.250e+02    8.7288248e+02  4.6923976e+00
  -5.000e+02    8.6835380e+02  4.6724705e+00
  -4.750e+02    8.6939368e+02  4.6497084e+00
  -4.500e+02    8.7435498e+02  4.6711144e+00
  -4.250e+02    8.7307635e+02  4.6561817e+00
  -4.000e+02    8.7106147e+02  4.6750262e+00
  -3.750e+02    8.8262644e+02  4.6786401e+00
  -3.500e+02    8.7260926e+02  4.6722443e+00
  -3.250e+02    8.6498346e+02  4.6574469e+00
  -3.000e+02    8.7449356e+02  4.6614089e+00
  -2.750e+02    8.6999641e+02  4.6604983e+00
  -2.500e+02    8.6815593e+02  4.6632854e+00
  -2.250e+02    8.7452249e+02  4.6462993e+00
  -2.000e+02    8.6474645e+02  4.6547587e+00
  -1.750e+02    8.5791919e+02  4.6177511e+00
  -1.500e+02    8.5440827e+02  4.5825250e+00
  -1.250e+02    8.3810763e+02  4.5202585e+00
  -1.000e+02    8.0776437e+02  4.4259481e+00
  -7.500e+01    8.0889039e+02  4.3672062e+00
  -5.000e+01    8.0530776e+02  4.3710679e+00
  -2.500e+01    7.9491673e+02  4.3404509e+00
   0.000e+00    7.7051747e+02  4.2769737e+00
   2.500e+01    7.1111287e+02  4.1933159e+00
   5.000e+01    6.5006340e+02  4.1757497e+00
   7.500e+01    6.1378190e+02  4.1129907e+00
   1.000e+02    5.6680966e+02  3.9892373e+00
   1.250e+02    4.2964950e+02  3.7454727e+00
   1.500e+02    2.7901940e+02  3.6000980e+00
   1.750e+02    2.8440975e+02  3.6115007e+00
   2.000e+02    4.3330708e+02  3.7569453e+00
   2.250e+02    4.1345243e+02  3.7063384e+00
   2.500e+02    4.5069446e+02  3.7460074e+00
   2.750e+02    5.3413760e+02  3.9388816e+00
   3.000e+02    6.8764203e+02  4.2424492e+00
   3.250e+02    7.7915193e+02  4.4621233e+00
   3.500e+02    8.1424271e+02  4.5267929e+00
   3.750e+02    8.2991720e+02  4.5608976e+00
   4.000e+02    8.4959194e+02  4.6234816e+00
   4.250e+02    8.4784558e+02  4.6234301e+00
   4.500e+02    8.5140032e+02  4.6160902e+00
   4.750e+02    8.4745444e+02  4.6358333e+00
   5.000e+02    8.5983976e+02  4.6258861e+00
   5.250e+02    8.6492649e+02  4.6355863e+00
   5.500e+02    8.6021603e+02  4.6468746e+00
   5.750e+02    8.6921371e+02  4.6561640e+00
   6.000e+02    8.7819925e+02  4.6819944e+00
   6.250e+02    8.7614588e+02  4.6580109e+00
   6.500e+02    8.7068878e+02  4.6692693e+00
   6.750e+02    8.6794932e+02  4.6736080e+00
   7.000e+02    8.6425832e+02  4.6673187e+00
   7.250e+02    8.7174147e+02  4.6701037e+00
   7.500e+02    8.5980019e+02  4.6608741e+00
   7.750e+02    8.7520077e+02  4.6767882e+00
   8.000e+02    8.7077832e+02  4.6730660e+00
   8.250e+02    8.7258278e+02  4.6890276e+00
   8.500e+02    8.7729597e+02  4.6571129e+00
   8.750e+02    8.6642728e+02  4.6582603e+00
   9.000e+02    8.6845421e+02  4.6987562e+00
   9.250e+02    8.6447663e+02  4.6727073e+00
   9.500e+02    8.7921869e+02  4.6684622e+00
   9.750e+02    8.6785909e+02  4.6644448e+00
   1.000e+03    8.6467252e+02  4.6536944e+00
   1.025e+03    8.7187427e+02  4.6757989e+00
