#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.5551770e+03  3.0011557e+00
  -1.025e+03    7.1243820e+02  2.5358790e+00
  -1.000e+03    7.1779061e+02  2.5378823e+00
  -9.750e+02    7.2184764e+02  2.5393993e+00
  -9.500e+02    7.2461006e+02  2.5404614e+00
  -9.250e+02    7.2434297e+02  2.5404446e+00
  -9.000e+02    7.2118449e+02  2.5392349e+00
  -8.750e+02    7.2143471e+02  2.5392715e+00
  -8.500e+02    7.2188395e+02  2.5394720e+00
  -8.250e+02    7.1637739e+02  2.5373785e+00
  -8.000e+02    7.2341925e+02  2.5400577e+00
  -7.750e+02    7.2406180e+02  2.5403237e+00
  -7.500e+02    7.1004353e+02  2.5350394e+00
  -7.250e+02    7.2243307e+02  2.5396917e+00
  -7.000e+02    7.2574746e+02  2.5409353e+00
  -6.750e+02    7.1409672e+02  2.5364638e+00
  -6.500e+02    7.1924816e+02  2.5384876e+00
  -6.250e+02    7.1516216e+02  2.5369317e+00
  -6.000e+02    7.1664235e+02  2.5374561e+00
  -5.750e+02    7.2886410e+02  2.5421161e+00
  -5.500e+02    7.1814401e+02  2.5380669e+00
  -5.250e+02    7.2700392e+02  2.5413816e+00
  -5.000e+02    7.1758619e+02  2.5377965e+00
  -4.750e+02    7.1478199e+02  2.5368528e+00
  -4.500e+02    7.1622447e+02  2.5373534e+00
  -4.250e+02    7.1938891e+02  2.5385140e+00
  -4.000e+02    7.2028432e+02  2.5388604e+00
  -3.750e+02    7.1467594e+02  2.5367160e+00
  -3.500e+02    7.0699384e+02  2.5338216e+00
  -3.250e+02    7.1999427e+02  2.5387635e+00
  -3.000e+02    7.1411729e+02  2.5365244e+00
  -2.750e+02    7.1363744e+02  2.5363176e+00
  -2.500e+02    7.1039458e+02  2.5351207e+00
  -2.250e+02    7.1163024e+02  2.5355764e+00
  -2.000e+02    6.9654405e+02  2.5299723e+00
  -1.750e+02    6.9963609e+02  2.5310688e+00
  -1.500e+02    6.8655191e+02  2.5262457e+00
  -1.250e+02    6.5522669e+02  2.5149690e+00
  -1.000e+02    6.0810450e+02  2.4990727e+00
  -7.500e+01    5.6977247e+02  2.4869580e+00
  -5.000e+01    5.7028007e+02  2.4870970e+00
  -2.500e+01    5.7359379e+02  2.4880711e+00
   0.000e+00    5.4452389e+02  2.4793710e+00
   2.500e+01    5.4113630e+02  2.4783199e+00
   5.000e+01    5.7838320e+02  2.4896552e+00
   7.500e+01    6.0208781e+02  2.4971854e+00
   1.000e+02    6.1102832e+02  2.5000562e+00
   1.250e+02    6.0314068e+02  2.4974983e+00
   1.500e+02    5.6085673e+02  2.4842680e+00
   1.750e+02    4.5789043e+02  2.4556632e+00
   2.000e+02    3.5192358e+02  2.4320791e+00
   2.250e+02    3.5944669e+02  2.4335476e+00
   2.500e+02    4.6201625e+02  2.4566106e+00
   2.750e+02    4.0751309e+02  2.4436778e+00
   3.000e+02    3.9993537e+02  2.4419867e+00
   3.250e+02    4.6451714e+02  2.4572875e+00
   3.500e+02    6.1094116e+02  2.4998126e+00
   3.750e+02    6.6425138e+02  2.5180766e+00
   4.000e+02    6.8932630e+02  2.5272527e+00
   4.250e+02    7.0278572e+02  2.5322259e+00
   4.500e+02    7.0550030e+02  2.5332735e+00
   4.750e+02    7.0022139e+02  2.5313224e+00
   5.000e+02    7.1634870e+02  2.5373885e+00
   5.250e+02    7.1569227e+02  2.5371363e+00
   5.500e+02    7.1426156e+02  2.5365852e+00
   5.750e+02    7.1875468e+02  2.5382469e+00
   6.000e+02    7.1455231e+02  2.5367372e+00
   6.250e+02    7.1603713e+02  2.5372799e+00
   6.500e+02    7.1957124e+02  2.5386080e+00
   6.750e+02    7.1633978e+02  2.5373635e+00
   7.000e+02    7.2172179e+02  2.5393946e+00
   7.250e+02    7.1873509e+02  2.5382337e+00
   7.500e+02    7.1803722e+02  2.5379889e+00
   7.750e+02    7.2493178e+02  2.5406493e+00
   8.000e+02    7.1580244e+02  2.5371453e+00
   8.250e+02    7.2413997e+02  2.5403804e+00
   8.500e+02    7.2042651e+02  2.5389889e+00
   8.750e+02    7.1852800e+02  2.5382053e+00
   9.000e+02    7.2033442e+02  2.5388994e+00
   9.250e+02    7.2210087e+02  2.5395896e+00
   9.500e+02    7.1464688e+02  2.5367846e+00
   9.750e+02    7.1889021e+02  2.5383443e+00
   1.000e+03    7.2042270e+02  2.5389509e+00
   1.025e+03    7.1694720e+02  2.5376259e+00
