#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.3152658e+03  3.5091898e+00
  -1.025e+03    4.4699961e+02  2.5664542e+00
  -1.000e+03    4.5122908e+02  2.5691907e+00
  -9.750e+02    4.6118340e+02  2.5758285e+00
  -9.500e+02    4.6045239e+02  2.5752899e+00
  -9.250e+02    4.5641596e+02  2.5726135e+00
  -9.000e+02    4.5280622e+02  2.5701970e+00
  -8.750e+02    4.4808687e+02  2.5671099e+00
  -8.500e+02    4.5871414e+02  2.5741120e+00
  -8.250e+02    4.5299222e+02  2.5703834e+00
  -8.000e+02    4.5125742e+02  2.5691431e+00
  -7.750e+02    4.5700426e+02  2.5729002e+00
  -7.500e+02    4.6179564e+02  2.5759687e+00
  -7.250e+02    4.4683288e+02  2.5659806e+00
  -7.000e+02    4.4537146e+02  2.5647897e+00
  -6.750e+02    4.5612620e+02  2.5718077e+00
  -6.500e+02    4.5349018e+02  2.5702801e+00
  -6.250e+02    4.5208151e+02  2.5693758e+00
  -6.000e+02    4.4996308e+02  2.5677521e+00
  -5.750e+02    4.5577547e+02  2.5718539e+00
  -5.500e+02    4.5855494e+02  2.5739289e+00
  -5.250e+02    4.4999358e+02  2.5682961e+00
  -5.000e+02    4.5393863e+02  2.5708686e+00
  -4.750e+02    4.4375645e+02  2.5642196e+00
  -4.500e+02    4.5340430e+02  2.5704563e+00
  -4.250e+02    4.4517747e+02  2.5649507e+00
  -4.000e+02    4.4151605e+02  2.5624041e+00
  -3.750e+02    4.4186312e+02  2.5624316e+00
  -3.500e+02    4.2373343e+02  2.5509589e+00
  -3.250e+02    3.8635400e+02  2.5286400e+00
  -3.000e+02    2.9893551e+02  2.4840006e+00
  -2.750e+02    2.6071436e+02  2.4675649e+00
  -2.500e+02    2.8294954e+02  2.4765365e+00
  -2.250e+02    2.8944843e+02  2.4796440e+00
  -2.000e+02    2.0399017e+02  2.4479065e+00
  -1.750e+02    2.0592835e+02  2.4483643e+00
  -1.500e+02    2.9971468e+02  2.4842089e+00
  -1.250e+02    3.4595875e+02  2.5070429e+00
  -1.000e+02    3.5745348e+02  2.5133174e+00
  -7.500e+01    3.5366494e+02  2.5114191e+00
  -5.000e+01    3.6106293e+02  2.5154541e+00
  -2.500e+01    3.7482112e+02  2.5230118e+00
   0.000e+00    3.8044375e+02  2.5261367e+00
   2.500e+01    3.7522224e+02  2.5232502e+00
   5.000e+01    3.9159075e+02  2.5325089e+00
   7.500e+01    4.2134473e+02  2.5502770e+00
   1.000e+02    4.3148199e+02  2.5565641e+00
   1.250e+02    4.4479570e+02  2.5650086e+00
   1.500e+02    4.3460209e+02  2.5585315e+00
   1.750e+02    4.4755813e+02  2.5668464e+00
   2.000e+02    4.5513316e+02  2.5717992e+00
   2.250e+02    4.5220700e+02  2.5699538e+00
   2.500e+02    4.5569186e+02  2.5721623e+00
   2.750e+02    4.6051409e+02  2.5753647e+00
   3.000e+02    4.5170735e+02  2.5695806e+00
   3.250e+02    4.5212893e+02  2.5697796e+00
   3.500e+02    4.5117703e+02  2.5692256e+00
   3.750e+02    4.5303303e+02  2.5704127e+00
   4.000e+02    4.5628091e+02  2.5725334e+00
   4.250e+02    4.5321379e+02  2.5705118e+00
   4.500e+02    4.5958423e+02  2.5747117e+00
   4.750e+02    4.6067832e+02  2.5754408e+00
   5.000e+02    4.5686790e+02  2.5729391e+00
   5.250e+02    4.4979184e+02  2.5682963e+00
   5.500e+02    4.4942478e+02  2.5680688e+00
   5.750e+02    4.6078242e+02  2.5755440e+00
   6.000e+02    4.6144413e+02  2.5759766e+00
   6.250e+02    4.5160013e+02  2.5694666e+00
   6.500e+02    4.5130472e+02  2.5692885e+00
   6.750e+02    4.4913493e+02  2.5678622e+00
   7.000e+02    4.5748380e+02  2.5733265e+00
   7.250e+02    4.5603987e+02  2.5723556e+00
   7.500e+02    4.5674519e+02  2.5728216e+00
   7.750e+02    4.5713907e+02  2.5731061e+00
   8.000e+02    4.5249659e+02  2.5700904e+00
   8.250e+02    4.5510680e+02  2.5717881e+00
   8.500e+02    4.5233164e+02  2.5699409e+00
   8.750e+02    4.5621305e+02  2.5724957e+00
   9.000e+02    4.5087705e+02  2.5689747e+00
   9.250e+02    4.5349631e+02  2.5707504e+00
   9.500e+02    4.5868694e+02  2.5741546e+00
   9.750e+02    4.5742825e+02  2.5732889e+00
   1.000e+03    4.5656121e+02  2.5727345e+00
   1.025e+03    4.5793279e+02  2.5736787e+00
