#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    7.4483764e+02  1.0111969e+01
  -1.025e+03    3.7265760e+02  6.6015842e+00
  -1.000e+03    3.6877397e+02  6.5806106e+00
  -9.750e+02    3.6477433e+02  6.5939052e+00
  -9.500e+02    3.5823236e+02  6.5387988e+00
  -9.250e+02    3.6598497e+02  6.5631604e+00
  -9.000e+02    3.6252392e+02  6.5878926e+00
  -8.750e+02    3.5673045e+02  6.5654837e+00
  -8.500e+02    3.6530348e+02  6.5552339e+00
  -8.250e+02    3.6048062e+02  6.5775520e+00
  -8.000e+02    3.6067978e+02  6.5811960e+00
  -7.750e+02    3.7527172e+02  6.6039265e+00
  -7.500e+02    3.6231666e+02  6.5721406e+00
  -7.250e+02    3.6692475e+02  6.6148138e+00
  -7.000e+02    3.6634404e+02  6.5831464e+00
  -6.750e+02    3.7253282e+02  6.5913830e+00
  -6.500e+02    3.6910476e+02  6.5741020e+00
  -6.250e+02    3.7813801e+02  6.6077773e+00
  -6.000e+02    3.7064884e+02  6.5746641e+00
  -5.750e+02    3.6196309e+02  6.5768405e+00
  -5.500e+02    3.7614297e+02  6.5798733e+00
  -5.250e+02    3.5956585e+02  6.5738347e+00
  -5.000e+02    3.7222648e+02  6.6010579e+00
  -4.750e+02    3.7067072e+02  6.6177499e+00
  -4.500e+02    3.7051990e+02  6.5880294e+00
  -4.250e+02    3.5819347e+02  6.5537736e+00
  -4.000e+02    3.5904791e+02  6.5360850e+00
  -3.750e+02    3.6635332e+02  6.6041822e+00
  -3.500e+02    3.6579677e+02  6.5919696e+00
  -3.250e+02    3.5743293e+02  6.5292628e+00
  -3.000e+02    3.6667099e+02  6.5430569e+00
  -2.750e+02    3.6194694e+02  6.5594790e+00
  -2.500e+02    3.6056843e+02  6.5061488e+00
  -2.250e+02    3.4591623e+02  6.4645867e+00
  -2.000e+02    3.3113710e+02  6.3906340e+00
  -1.750e+02    3.1917249e+02  6.2897660e+00
  -1.500e+02    2.6367421e+02  5.9405757e+00
  -1.250e+02    2.0315810e+02  5.6202640e+00
  -1.000e+02    1.9466849e+02  5.5602666e+00
  -7.500e+01    1.8704846e+02  5.5430787e+00
  -5.000e+01    1.4836940e+02  5.4467470e+00
  -2.500e+01    1.4446379e+02  5.3893361e+00
   0.000e+00    1.7827253e+02  5.4961832e+00
   2.500e+01    2.3350842e+02  5.7413656e+00
   5.000e+01    2.6418485e+02  5.9531836e+00
   7.500e+01    3.2135378e+02  6.2442248e+00
   1.000e+02    3.4247696e+02  6.3803301e+00
   1.250e+02    3.5174488e+02  6.4891340e+00
   1.500e+02    3.5901143e+02  6.5115600e+00
   1.750e+02    3.5823725e+02  6.5477259e+00
   2.000e+02    3.6401584e+02  6.5479744e+00
   2.250e+02    3.5885245e+02  6.5096253e+00
   2.500e+02    3.6871073e+02  6.5792512e+00
   2.750e+02    3.6447138e+02  6.5466695e+00
   3.000e+02    3.6007613e+02  6.5253179e+00
   3.250e+02    3.6011009e+02  6.5553201e+00
   3.500e+02    3.6506996e+02  6.5677469e+00
   3.750e+02    3.7125757e+02  6.5798978e+00
   4.000e+02    3.7225067e+02  6.6091247e+00
   4.250e+02    3.7466742e+02  6.6228109e+00
   4.500e+02    3.7759608e+02  6.6036260e+00
   4.750e+02    3.6312652e+02  6.5292395e+00
   5.000e+02    3.7332493e+02  6.5837828e+00
   5.250e+02    3.6378928e+02  6.5818167e+00
   5.500e+02    3.7162167e+02  6.5899335e+00
   5.750e+02    3.6611115e+02  6.5831595e+00
   6.000e+02    3.6487938e+02  6.5954582e+00
   6.250e+02    3.5404114e+02  6.5625926e+00
   6.500e+02    3.6734300e+02  6.6006341e+00
   6.750e+02    3.6089007e+02  6.5780121e+00
   7.000e+02    3.7032638e+02  6.5769157e+00
   7.250e+02    3.6616885e+02  6.5952855e+00
   7.500e+02    3.6618371e+02  6.5894382e+00
   7.750e+02    3.6711375e+02  6.5842875e+00
   8.000e+02    3.6320946e+02  6.5870057e+00
   8.250e+02    3.5983838e+02  6.5573058e+00
   8.500e+02    3.6821668e+02  6.5818788e+00
   8.750e+02    3.6461200e+02  6.5920611e+00
   9.000e+02    3.5824618e+02  6.5715436e+00
   9.250e+02    3.6646017e+02  6.5937158e+00
   9.500e+02    3.6868387e+02  6.5661182e+00
   9.750e+02    3.7580355e+02  6.5950803e+00
   1.000e+03    3.7702164e+02  6.6132143e+00
   1.025e+03    3.6096371e+02  6.5685612e+00
