#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0058887e+03  4.4683162e+00
  -1.025e+03    4.2564950e+01  1.4620438e+00
  -1.000e+03    3.9954663e+01  1.4607489e+00
  -9.750e+02    4.5654432e+01  1.4636539e+00
  -9.500e+02    3.8865925e+01  1.4602117e+00
  -9.250e+02    4.7514269e+01  1.4647268e+00
  -9.000e+02    4.5105373e+01  1.4633742e+00
  -8.750e+02    3.5522159e+01  1.4586808e+00
  -8.500e+02    4.0643809e+01  1.4610696e+00
  -8.250e+02    3.9812260e+01  1.4606681e+00
  -8.000e+02    3.7592872e+01  1.4596187e+00
  -7.750e+02    4.8515089e+01  1.4653024e+00
  -7.500e+02    4.6042270e+01  1.4638648e+00
  -7.250e+02    4.6083126e+01  1.4639157e+00
  -7.000e+02    3.9427001e+01  1.4604760e+00
  -6.750e+02    4.2415941e+01  1.4619581e+00
  -6.500e+02    4.4349395e+01  1.4629742e+00
  -6.250e+02    4.2009450e+01  1.4617825e+00
  -6.000e+02    3.8789655e+01  1.4601657e+00
  -5.750e+02    3.5669085e+01  1.4587742e+00
  -5.500e+02    3.9523108e+01  1.4605204e+00
  -5.250e+02    3.2330207e+01  1.4574039e+00
  -5.000e+02    4.2256638e+01  1.4618816e+00
  -4.750e+02    5.0307653e+01  1.4663622e+00
  -4.500e+02    4.2248676e+01  1.4618862e+00
  -4.250e+02    3.9092152e+01  1.4603325e+00
  -4.000e+02    4.6313060e+01  1.4640630e+00
  -3.750e+02    4.4236619e+01  1.4629160e+00
  -3.500e+02    4.4938062e+01  1.4632691e+00
  -3.250e+02    3.8532508e+01  1.4600686e+00
  -3.000e+02    4.0798253e+01  1.4611358e+00
  -2.750e+02    4.7084215e+01  1.4644686e+00
  -2.500e+02    4.5015841e+01  1.4633328e+00
  -2.250e+02    4.7705431e+01  1.4648488e+00
  -2.000e+02    5.1281259e+01  1.4669557e+00
  -1.750e+02    4.9489495e+01  1.4658762e+00
  -1.500e+02    3.2504727e+01  1.4574639e+00
  -1.250e+02    3.9999355e+01  1.4607519e+00
  -1.000e+02    3.0961525e+01  1.4569109e+00
  -7.500e+01    4.2736272e+01  1.4621272e+00
  -5.000e+01    4.6629158e+01  1.4642182e+00
  -2.500e+01    3.4293564e+01  1.4581893e+00
   0.000e+00    4.2848769e+01  1.4621822e+00
   2.500e+01    4.1229027e+01  1.4613753e+00
   5.000e+01    3.9682620e+01  1.4606137e+00
   7.500e+01    3.1151795e+01  1.4569506e+00
   1.000e+02    3.0008519e+01  1.4565401e+00
   1.250e+02    4.2855431e+01  1.4621866e+00
   1.500e+02    3.5983249e+01  1.4589144e+00
   1.750e+02    3.5449887e+01  1.4586733e+00
   2.000e+02    4.2346497e+01  1.4619109e+00
   2.250e+02    3.9868982e+01  1.4606947e+00
   2.500e+02    4.5477617e+01  1.4635695e+00
   2.750e+02    3.9361639e+01  1.4604606e+00
   3.000e+02    3.6463683e+01  1.4591146e+00
   3.250e+02    4.4434172e+01  1.4630377e+00
   3.500e+02    4.0772377e+01  1.4611372e+00
   3.750e+02    4.2576863e+01  1.4620638e+00
   4.000e+02    4.3607029e+01  1.4625651e+00
   4.250e+02    3.8501207e+01  1.4600479e+00
   4.500e+02    4.3311421e+01  1.4624049e+00
   4.750e+02    4.4721654e+01  1.4631719e+00
   5.000e+02    3.7527567e+01  1.4596172e+00
   5.250e+02    4.4856474e+01  1.4632208e+00
   5.500e+02    4.1623541e+01  1.4615644e+00
   5.750e+02    3.8027429e+01  1.4598444e+00
   6.000e+02    3.4236871e+01  1.4581844e+00
   6.250e+02    3.1607213e+01  1.4571195e+00
   6.500e+02    1.2179616e+01  1.4519660e+00
   6.750e+02    1.4188569e+01  1.4522848e+00
   7.000e+02    2.6704153e+01  1.4553994e+00
   7.250e+02    1.8423780e+01  1.4531254e+00
   7.500e+02    1.6821378e+01  1.4527854e+00
   7.750e+02    2.3401623e+01  1.4543844e+00
   8.000e+02    2.8635728e+01  1.4560300e+00
   8.250e+02    3.1399723e+01  1.4570483e+00
   8.500e+02    5.1145531e+01  1.4668721e+00
   8.750e+02    3.7614746e+01  1.4596360e+00
   9.000e+02    3.6215552e+01  1.4590142e+00
   9.250e+02    4.2971168e+01  1.4622307e+00
   9.500e+02    4.0611779e+01  1.4610647e+00
   9.750e+02    4.0676740e+01  1.4610672e+00
   1.000e+03    4.3313897e+01  1.4623976e+00
   1.025e+03    4.8566549e+01  1.4653379e+00
