#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    5.7997165e+02  4.4826450e+00
  -1.025e+03    2.2201827e+02  2.3126275e+00
  -1.000e+03    2.2418152e+02  2.3261020e+00
  -9.750e+02    2.1849486e+02  2.3113802e+00
  -9.500e+02    2.2856981e+02  2.3039464e+00
  -9.250e+02    2.2164214e+02  2.3084388e+00
  -9.000e+02    2.2460333e+02  2.3408036e+00
  -8.750e+02    2.2020991e+02  2.2972268e+00
  -8.500e+02    2.2886901e+02  2.3049966e+00
  -8.250e+02    2.2272890e+02  2.3735452e+00
  -8.000e+02    2.2757420e+02  2.3318072e+00
  -7.750e+02    2.1642679e+02  2.3170593e+00
  -7.500e+02    2.3150138e+02  2.3278041e+00
  -7.250e+02    2.2503012e+02  2.3758458e+00
  -7.000e+02    2.2449473e+02  2.2811092e+00
  -6.750e+02    2.3110148e+02  2.3130407e+00
  -6.500e+02    2.1923228e+02  2.3024123e+00
  -6.250e+02    2.1789540e+02  2.3616906e+00
  -6.000e+02    2.2628326e+02  2.3108998e+00
  -5.750e+02    2.2825236e+02  2.3099639e+00
  -5.500e+02    2.1241589e+02  2.3388713e+00
  -5.250e+02    2.2146168e+02  2.3567562e+00
  -5.000e+02    2.2297460e+02  2.3159408e+00
  -4.750e+02    2.3108954e+02  2.3130648e+00
  -4.500e+02    2.2756681e+02  2.3304601e+00
  -4.250e+02    2.1488735e+02  2.3476367e+00
  -4.000e+02    2.2117668e+02  2.3079645e+00
  -3.750e+02    2.2359793e+02  2.3953854e+00
  -3.500e+02    2.2053741e+02  2.3235703e+00
  -3.250e+02    2.2608455e+02  2.3616242e+00
  -3.000e+02    2.2576112e+02  2.2970805e+00
  -2.750e+02    2.3046084e+02  2.3258707e+00
  -2.500e+02    2.1681764e+02  2.3164656e+00
  -2.250e+02    2.0646109e+02  2.2616929e+00
  -2.000e+02    2.1729537e+02  2.2913603e+00
  -1.750e+02    1.9763335e+02  2.3018469e+00
  -1.500e+02    1.9962103e+02  2.2389349e+00
  -1.250e+02    1.6627542e+02  2.2093132e+00
  -1.000e+02    1.8564114e+02  2.2192367e+00
  -7.500e+01    1.7520592e+02  2.2371498e+00
  -5.000e+01    1.7737171e+02  2.2047852e+00
  -2.500e+01    1.7274198e+02  2.1762610e+00
   0.000e+00    1.8306604e+02  2.2518410e+00
   2.500e+01    1.8503192e+02  2.2377535e+00
   5.000e+01    1.9793950e+02  2.2697449e+00
   7.500e+01    2.1129615e+02  2.3334363e+00
   1.000e+02    2.1055521e+02  2.2676139e+00
   1.250e+02    2.0420417e+02  2.2557192e+00
   1.500e+02    2.0205530e+02  2.2445869e+00
   1.750e+02    2.1050517e+02  2.2681964e+00
   2.000e+02    2.0777527e+02  2.2281448e+00
   2.250e+02    1.7188490e+02  2.1753923e+00
   2.500e+02    1.4582686e+02  2.1191948e+00
   2.750e+02    1.0255037e+02  2.0962084e+00
   3.000e+02    8.8022327e+01  2.0570003e+00
   3.250e+02    9.0188986e+01  2.0770416e+00
   3.500e+02    1.0685883e+02  2.0946038e+00
   3.750e+02    1.0638024e+02  2.0788058e+00
   4.000e+02    1.1000392e+02  2.1090335e+00
   4.250e+02    1.4056611e+02  2.1456597e+00
   4.500e+02    1.7416639e+02  2.2301262e+00
   4.750e+02    2.0156317e+02  2.2431399e+00
   5.000e+02    2.0952944e+02  2.3042702e+00
   5.250e+02    2.0430316e+02  2.3360327e+00
   5.500e+02    2.1510062e+02  2.2796896e+00
   5.750e+02    2.1110855e+02  2.3133447e+00
   6.000e+02    2.1140758e+02  2.3284194e+00
   6.250e+02    2.1359860e+02  2.3324121e+00
   6.500e+02    2.2984267e+02  2.2915973e+00
   6.750e+02    2.1538602e+02  2.3415080e+00
   7.000e+02    2.2957325e+02  2.4034156e+00
   7.250e+02    2.1819580e+02  2.3205950e+00
   7.500e+02    2.2668415e+02  2.2986875e+00
   7.750e+02    2.2643387e+02  2.3063048e+00
   8.000e+02    2.2539304e+02  2.3160472e+00
   8.250e+02    2.2438454e+02  2.3569659e+00
   8.500e+02    2.3100379e+02  2.3062051e+00
   8.750e+02    2.2486254e+02  2.2871670e+00
   9.000e+02    2.2618690e+02  2.3262662e+00
   9.250e+02    2.2188523e+02  2.3386102e+00
   9.500e+02    2.3684401e+02  2.3621178e+00
   9.750e+02    2.1730718e+02  2.3215587e+00
   1.000e+03    2.1552996e+02  2.3125476e+00
   1.025e+03    2.3061563e+02  2.3331933e+00
