#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.2579511e+03  2.3277932e+00
  -1.025e+03    5.8436735e+02  1.9795785e+00
  -1.000e+03    5.8728994e+02  1.9806136e+00
  -9.750e+02    5.8799246e+02  1.9808600e+00
  -9.500e+02    5.7815908e+02  1.9773587e+00
  -9.250e+02    5.8076185e+02  1.9782681e+00
  -9.000e+02    5.8496217e+02  1.9797767e+00
  -8.750e+02    5.8278612e+02  1.9790070e+00
  -8.500e+02    5.7963257e+02  1.9778797e+00
  -8.250e+02    5.8291166e+02  1.9790391e+00
  -8.000e+02    5.8371875e+02  1.9793547e+00
  -7.750e+02    5.8665438e+02  1.9803982e+00
  -7.500e+02    5.8443780e+02  1.9795955e+00
  -7.250e+02    5.8111550e+02  1.9784237e+00
  -7.000e+02    5.8381455e+02  1.9793620e+00
  -6.750e+02    5.8712937e+02  1.9805562e+00
  -6.500e+02    5.9016992e+02  1.9816642e+00
  -6.250e+02    5.8731906e+02  1.9806121e+00
  -6.000e+02    5.9240660e+02  1.9824726e+00
  -5.750e+02    5.8633779e+02  1.9802728e+00
  -5.500e+02    5.8638016e+02  1.9802726e+00
  -5.250e+02    5.7925056e+02  1.9777638e+00
  -5.000e+02    5.8375141e+02  1.9793541e+00
  -4.750e+02    5.8640065e+02  1.9802843e+00
  -4.500e+02    5.8914304e+02  1.9812829e+00
  -4.250e+02    5.8812663e+02  1.9809182e+00
  -4.000e+02    5.8836009e+02  1.9809963e+00
  -3.750e+02    5.7783229e+02  1.9772418e+00
  -3.500e+02    5.8022199e+02  1.9780891e+00
  -3.250e+02    5.8160654e+02  1.9785847e+00
  -3.000e+02    5.8710148e+02  1.9805519e+00
  -2.750e+02    5.8590265e+02  1.9801277e+00
  -2.500e+02    5.8207196e+02  1.9787471e+00
  -2.250e+02    5.7757803e+02  1.9771749e+00
  -2.000e+02    5.8316505e+02  1.9791309e+00
  -1.750e+02    5.7626535e+02  1.9766913e+00
  -1.500e+02    5.6908614e+02  1.9742009e+00
  -1.250e+02    5.7410946e+02  1.9759360e+00
  -1.000e+02    5.6301810e+02  1.9720767e+00
  -7.500e+01    5.6237975e+02  1.9718487e+00
  -5.000e+01    5.5975256e+02  1.9709746e+00
  -2.500e+01    5.4047609e+02  1.9644463e+00
   0.000e+00    5.2476255e+02  1.9592849e+00
   2.500e+01    4.8996496e+02  1.9483659e+00
   5.000e+01    4.6112938e+02  1.9398546e+00
   7.500e+01    4.6673338e+02  1.9414600e+00
   1.000e+02    4.7876247e+02  1.9450327e+00
   1.250e+02    4.3800860e+02  1.9333640e+00
   1.500e+02    4.4511790e+02  1.9353253e+00
   1.750e+02    4.7995808e+02  1.9453613e+00
   2.000e+02    5.0388669e+02  1.9526433e+00
   2.250e+02    5.1995875e+02  1.9577505e+00
   2.500e+02    5.1928061e+02  1.9575181e+00
   2.750e+02    5.1728362e+02  1.9568746e+00
   3.000e+02    5.0328103e+02  1.9524609e+00
   3.250e+02    4.7057255e+02  1.9425836e+00
   3.500e+02    3.8681672e+02  1.9201028e+00
   3.750e+02    2.7577226e+02  1.8968300e+00
   4.000e+02    2.5731157e+02  1.8936983e+00
   4.250e+02    3.4246624e+02  1.9099136e+00
   4.500e+02    3.1375308e+02  1.9039416e+00
   4.750e+02    2.9351223e+02  1.9000416e+00
   5.000e+02    3.4978377e+02  1.9115227e+00
   5.250e+02    4.7167775e+02  1.9429078e+00
   5.500e+02    5.1833238e+02  1.9572225e+00
   5.750e+02    5.5290586e+02  1.9686221e+00
   6.000e+02    5.5449592e+02  1.9691690e+00
   6.250e+02    5.6079431e+02  1.9713022e+00
   6.500e+02    5.6904091e+02  1.9741697e+00
   6.750e+02    5.7138531e+02  1.9749701e+00
   7.000e+02    5.7632142e+02  1.9767117e+00
   7.250e+02    5.8168506e+02  1.9786290e+00
   7.500e+02    5.8169383e+02  1.9785990e+00
   7.750e+02    5.8164682e+02  1.9785996e+00
   8.000e+02    5.7577947e+02  1.9765076e+00
   8.250e+02    5.7587258e+02  1.9765563e+00
   8.500e+02    5.8577400e+02  1.9800831e+00
   8.750e+02    5.8212759e+02  1.9787864e+00
   9.000e+02    5.8318252e+02  1.9791441e+00
   9.250e+02    5.7821287e+02  1.9773634e+00
   9.500e+02    5.8469634e+02  1.9796670e+00
   9.750e+02    5.8375962e+02  1.9793687e+00
   1.000e+03    5.9033075e+02  1.9817039e+00
   1.025e+03    5.7542516e+02  1.9763939e+00
