#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    5.1554824e+02  1.2895440e+01
  -1.020e+03    2.0055344e+00  2.7644745e+00
  -9.900e+02    1.7730334e+01  2.7977909e+00
  -9.600e+02   -2.1548270e+00  2.7648195e+00
  -9.300e+02    1.9354709e+01  2.8041260e+00
  -9.000e+02    3.2276466e+00  2.7654514e+00
  -8.700e+02    2.0750889e+01  2.8083321e+00
  -8.400e+02    2.4192310e+01  2.8257076e+00
  -8.100e+02    1.9350643e+01  2.8020832e+00
  -7.800e+02    4.5290584e+00  2.7669546e+00
  -7.500e+02    1.5134672e+01  2.7924226e+00
  -7.200e+02    1.8593846e+01  2.8034610e+00
  -6.900e+02    1.4510915e+01  2.7841010e+00
  -6.600e+02    1.5523921e+01  2.7873068e+00
  -6.300e+02    8.6597907e+00  2.7715379e+00
  -6.000e+02    1.8964964e+01  2.7991733e+00
  -5.700e+02    2.3032363e+01  2.8161594e+00
  -5.400e+02    1.9940486e+00  2.7653711e+00
  -5.100e+02   -1.5610680e+01  2.7885823e+00
  -4.800e+02    1.8644730e+01  2.7976244e+00
  -4.500e+02    7.0436924e+00  2.7702895e+00
  -4.200e+02    5.5372119e+00  2.7678115e+00
  -3.900e+02    8.5670996e+00  2.7725827e+00
  -3.600e+02   -1.1783594e+00  2.7643164e+00
  -3.300e+02    1.5170809e+01  2.7891391e+00
  -3.000e+02    2.3302401e+01  2.8186535e+00
  -2.700e+02    1.7135318e+01  2.7968340e+00
  -2.400e+02    4.5338280e+00  2.7675278e+00
  -2.100e+02    1.7532209e+01  2.7912577e+00
  -1.800e+02    2.4251882e+01  2.8290642e+00
  -1.500e+02   -4.3227117e+00  2.7656612e+00
  -1.200e+02    3.2113901e+00  2.7657771e+00
  -9.000e+01    1.4080217e+01  2.7850236e+00
  -6.000e+01    1.8557710e+01  2.8024337e+00
  -3.000e+01    1.5779905e+01  2.7931170e+00
   0.000e+00    7.8434059e-01  2.7644351e+00
   3.000e+01   -3.9639001e+00  2.7653370e+00
   6.000e+01   -6.6557102e+00  2.7678770e+00
   9.000e+01   -1.0085383e+01  2.7745882e+00
   1.200e+02   -3.3722363e+00  2.7652381e+00
   1.500e+02   -3.3532945e+00  2.7650755e+00
   1.800e+02   -1.0209842e+01  2.7734618e+00
   2.100e+02    1.0305101e+01  2.7728474e+00
   2.400e+02   -1.4271865e+01  2.7858212e+00
   2.700e+02   -1.3145760e+00  2.7642759e+00
   3.000e+02   -2.9768435e+00  2.7648796e+00
   3.300e+02    5.7118999e+00  2.7669422e+00
   3.600e+02    8.9442648e+00  2.7717857e+00
   3.900e+02    9.6675521e+00  2.7735395e+00
   4.200e+02   -2.3448152e-01  2.7644587e+00
   4.500e+02    2.3661242e+01  2.8211621e+00
   4.800e+02    9.7162222e+00  2.7749824e+00
   5.100e+02    6.6634129e+00  2.7692248e+00
   5.400e+02    9.0389013e+00  2.7724387e+00
   5.700e+02    1.7044628e+01  2.7963825e+00
   6.000e+02    8.2437118e+00  2.7714008e+00
   6.300e+02    2.5259381e+01  2.8312557e+00
   6.600e+02    2.1382496e+01  2.8117142e+00
   6.900e+02    9.5584930e+00  2.7733645e+00
   7.200e+02    1.0858161e+01  2.7767288e+00
   7.500e+02    6.7319250e+00  2.7693567e+00
   7.800e+02    8.3896913e+00  2.7718038e+00
   8.100e+02    1.0117455e+01  2.7744204e+00
   8.400e+02    1.5636081e+01  2.7880391e+00
   8.700e+02   -1.4014393e+01  2.7823130e+00
   9.000e+02    2.0688814e+00  2.7645097e+00
   9.300e+02    5.0430742e+00  2.7669540e+00
   9.600e+02    1.2998291e+01  2.7809655e+00
   9.900e+02    1.5356630e+01  2.7944061e+00
   1.020e+03    2.0899731e+01  2.8066681e+00
