#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.2752626e+03  2.8912844e+00
  -1.020e+03    3.6365205e+02  1.8542496e+00
  -9.900e+02    3.6637241e+02  1.8560009e+00
  -9.600e+02    3.6719449e+02  1.8565425e+00
  -9.300e+02    3.6182701e+02  1.8529877e+00
  -9.000e+02    3.7095456e+02  1.8589440e+00
  -8.700e+02    3.6514397e+02  1.8551313e+00
  -8.400e+02    3.5932943e+02  1.8514962e+00
  -8.100e+02    3.5421389e+02  1.8481850e+00
  -7.800e+02    3.4852244e+02  1.8446655e+00
  -7.500e+02    3.4107373e+02  1.8401533e+00
  -7.200e+02    3.2419496e+02  1.8299978e+00
  -6.900e+02    3.0090825e+02  1.8168371e+00
  -6.600e+02    2.4059879e+02  1.7870666e+00
  -6.300e+02    1.6597680e+02  1.7588717e+00
  -6.000e+02    1.3360709e+02  1.7497192e+00
  -5.700e+02    1.2765649e+02  1.7482568e+00
  -5.400e+02    1.3411158e+02  1.7498648e+00
  -5.100e+02    1.4411018e+02  1.7524587e+00
  -4.800e+02    2.1855425e+02  1.7776468e+00
  -4.500e+02    2.7633433e+02  1.8039744e+00
  -4.200e+02    3.1503816e+02  1.8247658e+00
  -3.900e+02    3.2217066e+02  1.8288174e+00
  -3.600e+02    3.3340267e+02  1.8354599e+00
  -3.300e+02    3.3551525e+02  1.8366899e+00
  -3.000e+02    3.5087696e+02  1.8461432e+00
  -2.700e+02    3.5049149e+02  1.8459415e+00
  -2.400e+02    3.5548071e+02  1.8490396e+00
  -2.100e+02    3.4984745e+02  1.8455031e+00
  -1.800e+02    3.5351599e+02  1.8478002e+00
  -1.500e+02    3.4792933e+02  1.8442962e+00
  -1.200e+02    3.4610727e+02  1.8431123e+00
  -9.000e+01    3.4586399e+02  1.8430545e+00
  -6.000e+01    3.3454774e+02  1.8360875e+00
  -3.000e+01    3.2985454e+02  1.8334478e+00
   0.000e+00    2.9687060e+02  1.8147066e+00
   3.000e+01    2.7877081e+02  1.8052209e+00
   6.000e+01    2.5675043e+02  1.7943583e+00
   9.000e+01    2.6064692e+02  1.7963349e+00
   1.200e+02    2.5488134e+02  1.7934856e+00
   1.500e+02    2.7160575e+02  1.8015884e+00
   1.800e+02    2.7825728e+02  1.8049414e+00
   2.100e+02    3.1753870e+02  1.8261794e+00
   2.400e+02    3.4558286e+02  1.8429012e+00
   2.700e+02    3.5185564e+02  1.8467174e+00
   3.000e+02    3.5614452e+02  1.8493747e+00
   3.300e+02    3.6707872e+02  1.8564645e+00
   3.600e+02    3.5932630e+02  1.8513952e+00
   3.900e+02    3.6623121e+02  1.8559427e+00
   4.200e+02    3.6971327e+02  1.8583506e+00
   4.500e+02    3.7245997e+02  1.8600110e+00
   4.800e+02    3.7418989e+02  1.8611731e+00
   5.100e+02    3.7515229e+02  1.8617913e+00
   5.400e+02    3.5842858e+02  1.8508306e+00
   5.700e+02    3.6735378e+02  1.8566082e+00
   6.000e+02    3.6762687e+02  1.8568033e+00
   6.300e+02    3.6825238e+02  1.8572803e+00
   6.600e+02    3.6693773e+02  1.8563539e+00
   6.900e+02    3.7692173e+02  1.8629410e+00
   7.200e+02    3.7869238e+02  1.8641527e+00
   7.500e+02    3.7631334e+02  1.8625767e+00
   7.800e+02    3.6875470e+02  1.8575140e+00
   8.100e+02    3.6697555e+02  1.8563659e+00
   8.400e+02    3.7373330e+02  1.8608321e+00
   8.700e+02    3.6938157e+02  1.8578927e+00
   9.000e+02    3.7000555e+02  1.8583319e+00
   9.300e+02    3.7607680e+02  1.8624045e+00
   9.600e+02    3.7461858e+02  1.8615130e+00
   9.900e+02    3.7838507e+02  1.8639590e+00
   1.020e+03    3.7379167e+02  1.8608245e+00
