#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    4.8841482e+02  1.1301765e+00
  -1.020e+03    1.9395838e+02  8.0605401e-01
  -9.800e+02    1.9638394e+02  8.0792431e-01
  -9.400e+02    1.9225848e+02  8.0478463e-01
  -9.000e+02    1.9344137e+02  8.0569566e-01
  -8.600e+02    1.9433544e+02  8.0637740e-01
  -8.200e+02    1.9301076e+02  8.0535026e-01
  -7.800e+02    1.8991828e+02  8.0304922e-01
  -7.400e+02    1.9070848e+02  8.0362837e-01
  -7.000e+02    1.9210044e+02  8.0465578e-01
  -6.600e+02    1.9057827e+02  8.0355859e-01
  -6.200e+02    1.8876216e+02  8.0218428e-01
  -5.800e+02    1.9365092e+02  8.0580496e-01
  -5.400e+02    1.9064988e+02  8.0363078e-01
  -5.000e+02    1.9017207e+02  8.0326347e-01
  -4.600e+02    1.8637708e+02  8.0047723e-01
  -4.200e+02    1.8269411e+02  7.9779003e-01
  -3.800e+02    1.8312295e+02  7.9811379e-01
  -3.400e+02    1.7930205e+02  7.9538663e-01
  -3.000e+02    1.6747539e+02  7.8731054e-01
  -2.600e+02    1.5544860e+02  7.7955080e-01
  -2.200e+02    1.2779521e+02  7.6371214e-01
  -1.800e+02    9.1282744e+01  7.4719684e-01
  -1.400e+02    6.0350328e+01  7.3735655e-01
  -1.000e+02    2.9792051e+01  7.3149295e-01
  -6.000e+01    1.8807675e+01  7.3036216e-01
  -2.000e+01    2.4273751e+01  7.3086591e-01
   2.000e+01    4.0113718e+01  7.3304060e-01
   6.000e+01    5.9434010e+01  7.3711858e-01
   1.000e+02    8.8372109e+01  7.4611818e-01
   1.400e+02    1.0671369e+02  7.5355800e-01
   1.800e+02    1.3953373e+02  7.7010694e-01
   2.200e+02    1.5634876e+02  7.8010216e-01
   2.600e+02    1.7035834e+02  7.8923788e-01
   3.000e+02    1.7959975e+02  7.9558233e-01
   3.400e+02    1.8555694e+02  7.9992315e-01
   3.800e+02    1.8374861e+02  7.9854953e-01
   4.200e+02    1.8732989e+02  8.0116899e-01
   4.600e+02    1.9050481e+02  8.0350744e-01
   5.000e+02    1.8704433e+02  8.0094548e-01
   5.400e+02    1.8888061e+02  8.0225190e-01
   5.800e+02    1.9067354e+02  8.0362955e-01
   6.200e+02    1.8838509e+02  8.0191742e-01
   6.600e+02    1.8797985e+02  8.0161629e-01
   7.000e+02    1.9112871e+02  8.0397894e-01
   7.400e+02    1.9891426e+02  8.0985266e-01
   7.800e+02    1.9201659e+02  8.0460815e-01
   8.200e+02    1.9339008e+02  8.0562245e-01
   8.600e+02    1.9115847e+02  8.0395424e-01
   9.000e+02    1.9328409e+02  8.0561094e-01
   9.400e+02    1.9700943e+02  8.0833952e-01
   9.800e+02    1.9043921e+02  8.0343652e-01
   1.020e+03    1.9577902e+02  8.0743798e-01
