#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    5.4453589e+02  1.2495727e+00
  -1.020e+03    2.8657950e+02  1.0328017e+00
  -9.800e+02    2.9319860e+02  1.0370854e+00
  -9.400e+02    2.9189854e+02  1.0362428e+00
  -9.000e+02    2.9111348e+02  1.0357354e+00
  -8.600e+02    2.8480278e+02  1.0316615e+00
  -8.200e+02    2.8700782e+02  1.0330810e+00
  -7.800e+02    2.8396443e+02  1.0311451e+00
  -7.400e+02    2.7774831e+02  1.0272159e+00
  -7.000e+02    2.7566182e+02  1.0259175e+00
  -6.600e+02    2.6358889e+02  1.0185810e+00
  -6.200e+02    2.3845960e+02  1.0041715e+00
  -5.800e+02    1.8704533e+02  9.7872276e-01
  -5.400e+02    1.2568253e+02  9.5582990e-01
  -5.000e+02    7.4837759e+01  9.4343873e-01
  -4.600e+02    5.0907978e+01  9.3975166e-01
  -4.200e+02    7.7347433e+01  9.4390541e-01
  -3.800e+02    1.1298792e+02  9.5216220e-01
  -3.400e+02    1.5910691e+02  9.6725027e-01
  -3.000e+02    1.7745553e+02  9.7458924e-01
  -2.600e+02    1.7378245e+02  9.7305599e-01
  -2.200e+02    1.5631853e+02  9.6619973e-01
  -1.800e+02    1.2782078e+02  9.5648556e-01
  -1.400e+02    1.1093103e+02  9.5160520e-01
  -1.000e+02    1.1856964e+02  9.5373050e-01
  -6.000e+01    1.4286404e+02  9.6138388e-01
  -2.000e+01    1.9339655e+02  9.8156896e-01
   2.000e+01    2.3509297e+02  1.0023629e+00
   6.000e+01    2.6251990e+02  1.0179473e+00
   1.000e+02    2.7183933e+02  1.0235663e+00
   1.400e+02    2.8085358e+02  1.0291627e+00
   1.800e+02    2.8811819e+02  1.0337974e+00
   2.200e+02    2.8536487e+02  1.0320323e+00
   2.600e+02    2.9189997e+02  1.0362380e+00
   3.000e+02    2.8967244e+02  1.0347978e+00
   3.400e+02    2.9190066e+02  1.0362366e+00
   3.800e+02    2.9340946e+02  1.0372195e+00
   4.200e+02    2.9276071e+02  1.0367911e+00
   4.600e+02    2.9153015e+02  1.0359973e+00
   5.000e+02    2.9537056e+02  1.0385030e+00
   5.400e+02    2.9343920e+02  1.0372430e+00
   5.800e+02    2.9314441e+02  1.0370434e+00
   6.200e+02    2.9467602e+02  1.0380411e+00
   6.600e+02    2.9325102e+02  1.0371249e+00
   7.000e+02    2.8922804e+02  1.0345045e+00
   7.400e+02    2.9710065e+02  1.0396496e+00
   7.800e+02    2.9350553e+02  1.0372930e+00
   8.200e+02    2.9717394e+02  1.0396963e+00
   8.600e+02    2.8997805e+02  1.0349874e+00
   9.000e+02    2.9443722e+02  1.0378952e+00
   9.400e+02    2.9426833e+02  1.0377800e+00
   9.800e+02    2.9334613e+02  1.0371804e+00
   1.020e+03    2.9751731e+02  1.0399160e+00
