#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    5.6994597e+02  1.3315555e+00
  -1.020e+03    2.4829245e+02  1.0054595e+00
  -9.800e+02    2.4794770e+02  1.0052229e+00
  -9.400e+02    2.5068717e+02  1.0071934e+00
  -9.000e+02    2.4581622e+02  1.0037090e+00
  -8.600e+02    2.4276374e+02  1.0015612e+00
  -8.200e+02    2.3579540e+02  9.9670427e-01
  -7.800e+02    2.3613815e+02  9.9697263e-01
  -7.400e+02    2.1931711e+02  9.8576131e-01
  -7.000e+02    2.0611627e+02  9.7748827e-01
  -6.600e+02    1.6693089e+02  9.5559355e-01
  -6.200e+02    1.0856748e+02  9.3092446e-01
  -5.800e+02    7.7352715e+01  9.2185619e-01
  -5.400e+02    4.8301952e+01  9.1610652e-01
  -5.000e+02    6.9718467e+01  9.2009598e-01
  -4.600e+02    1.0655260e+02  9.3024990e-01
  -4.200e+02    1.5541272e+02  9.4995499e-01
  -3.800e+02    1.8230943e+02  9.6369803e-01
  -3.400e+02    1.9526544e+02  9.7101090e-01
  -3.000e+02    2.0387112e+02  9.7612876e-01
  -2.600e+02    2.1026751e+02  9.8004325e-01
  -2.200e+02    2.0887326e+02  9.7917613e-01
  -1.800e+02    2.0376210e+02  9.7604985e-01
  -1.400e+02    1.8886104e+02  9.6734220e-01
  -1.000e+02    1.6898821e+02  9.5665568e-01
  -6.000e+01    1.3365489e+02  9.4032482e-01
  -2.000e+01    1.1583989e+02  9.3346095e-01
   2.000e+01    1.2139020e+02  9.3550260e-01
   6.000e+01    1.3256709e+02  9.3987789e-01
   1.000e+02    1.7015745e+02  9.5724130e-01
   1.400e+02    2.0728424e+02  9.7822674e-01
   1.800e+02    2.2767761e+02  9.9124518e-01
   2.200e+02    2.3813913e+02  9.9834474e-01
   2.600e+02    2.4021230e+02  9.9976188e-01
   3.000e+02    2.4724466e+02  1.0047237e+00
   3.400e+02    2.4951260e+02  1.0063489e+00
   3.800e+02    2.5208753e+02  1.0082134e+00
   4.200e+02    2.5063831e+02  1.0071579e+00
   4.600e+02    2.4895151e+02  1.0059531e+00
   5.000e+02    2.5306922e+02  1.0089242e+00
   5.400e+02    2.5179193e+02  1.0079851e+00
   5.800e+02    2.4814928e+02  1.0053591e+00
   6.200e+02    2.5688166e+02  1.0117021e+00
   6.600e+02    2.5645573e+02  1.0113897e+00
   7.000e+02    2.4768776e+02  1.0050245e+00
   7.400e+02    2.5764883e+02  1.0122631e+00
   7.800e+02    2.5317122e+02  1.0089815e+00
   8.200e+02    2.5733988e+02  1.0120362e+00
   8.600e+02    2.5235221e+02  1.0083966e+00
   9.000e+02    2.5199919e+02  1.0081343e+00
   9.400e+02    2.5308425e+02  1.0089087e+00
   9.800e+02    2.5289966e+02  1.0087875e+00
   1.020e+03    2.5362642e+02  1.0093174e+00
