#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.9433783e+03  1.3236637e+01
  -1.025e+03    8.9536050e+02  7.9688319e+00
  -9.750e+02    8.9498777e+02  7.9880222e+00
  -9.250e+02    8.7749439e+02  7.9127858e+00
  -8.750e+02    8.9509577e+02  7.9433912e+00
  -8.250e+02    8.7406955e+02  7.9096271e+00
  -7.750e+02    8.8052969e+02  7.9177236e+00
  -7.250e+02    8.8440058e+02  7.8883590e+00
  -6.750e+02    8.8017945e+02  7.8820868e+00
  -6.250e+02    8.7836393e+02  7.8711963e+00
  -5.750e+02    8.7695534e+02  7.8537243e+00
  -5.250e+02    8.7078958e+02  7.8194131e+00
  -4.750e+02    8.7601570e+02  7.7891215e+00
  -4.250e+02    8.6641449e+02  7.7333102e+00
  -3.750e+02    8.4910484e+02  7.6236564e+00
  -3.250e+02    7.9314720e+02  7.4550410e+00
  -2.750e+02    7.8753073e+02  7.3222854e+00
  -2.250e+02    7.0366657e+02  6.9368458e+00
  -1.750e+02    5.7161404e+02  6.3919508e+00
  -1.250e+02    3.8017698e+02  5.6548295e+00
  -7.500e+01    1.9750880e+02  5.0703582e+00
  -2.500e+01    6.5091924e+01  4.9224602e+00
   2.500e+01    9.9287937e+01  5.0886787e+00
   7.500e+01    2.3557715e+02  5.5413043e+00
   1.250e+02    4.0275121e+02  6.1553777e+00
   1.750e+02    5.8165523e+02  6.7821516e+00
   2.250e+02    6.9501776e+02  7.1810161e+00
   2.750e+02    7.7069390e+02  7.4543364e+00
   3.250e+02    8.1001529e+02  7.6027234e+00
   3.750e+02    8.3996485e+02  7.6962727e+00
   4.250e+02    8.4963188e+02  7.7485171e+00
   4.750e+02    8.6588070e+02  7.8177284e+00
   5.250e+02    8.6595810e+02  7.8055212e+00
   5.750e+02    8.7038780e+02  7.8757796e+00
   6.250e+02    8.8766403e+02  7.9033652e+00
   6.750e+02    8.8769778e+02  7.9378393e+00
   7.250e+02    8.8294814e+02  7.9249132e+00
   7.750e+02    8.8020399e+02  7.9301863e+00
   8.250e+02    8.8574267e+02  7.9306927e+00
   8.750e+02    8.8536215e+02  7.9459222e+00
   9.250e+02    9.0174903e+02  7.9574385e+00
   9.750e+02    8.9960647e+02  7.9522731e+00
   1.025e+03    9.0141849e+02  7.9508166e+00
