#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.8974617e+03  5.7265574e+00
  -1.025e+03    8.2605641e+02  4.2593773e+00
  -9.750e+02    8.1582637e+02  4.2494864e+00
  -9.250e+02    8.2318640e+02  4.2565752e+00
  -8.750e+02    8.2550480e+02  4.2588882e+00
  -8.250e+02    8.1598913e+02  4.2496376e+00
  -7.750e+02    8.1499070e+02  4.2486496e+00
  -7.250e+02    8.1921652e+02  4.2527789e+00
  -6.750e+02    8.1534010e+02  4.2490229e+00
  -6.250e+02    8.1403875e+02  4.2477810e+00
  -5.750e+02    7.9621160e+02  4.2307464e+00
  -5.250e+02    7.9904924e+02  4.2334565e+00
  -4.750e+02    7.8901249e+02  4.2239835e+00
  -4.250e+02    7.7415361e+02  4.2101880e+00
  -3.750e+02    7.4692743e+02  4.1853935e+00
  -3.250e+02    7.0775524e+02  4.1510263e+00
  -2.750e+02    6.3573173e+02  4.0921220e+00
  -2.250e+02    4.9709991e+02  3.9946561e+00
  -1.750e+02    2.8688420e+02  3.8897071e+00
  -1.250e+02    1.4705693e+02  3.8503550e+00
  -7.500e+01    4.5086717e+01  3.8375486e+00
  -2.500e+01    9.3857793e+01  3.8419813e+00
   2.500e+01    2.3824353e+02  3.8731792e+00
   7.500e+01    3.9162211e+02  3.9352799e+00
   1.250e+02    5.4565161e+02  4.0263183e+00
   1.750e+02    6.5106281e+02  4.1042445e+00
   2.250e+02    7.1510381e+02  4.1574021e+00
   2.750e+02    7.5211842e+02  4.1900640e+00
   3.250e+02    7.7403913e+02  4.2100396e+00
   3.750e+02    7.9058946e+02  4.2254772e+00
   4.250e+02    8.0607207e+02  4.2401459e+00
   4.750e+02    8.0380832e+02  4.2379070e+00
   5.250e+02    8.1476974e+02  4.2484889e+00
   5.750e+02    8.0910548e+02  4.2430479e+00
   6.250e+02    8.1902739e+02  4.2526138e+00
   6.750e+02    8.1639684e+02  4.2500595e+00
   7.250e+02    8.1903994e+02  4.2525834e+00
   7.750e+02    8.1780809e+02  4.2513707e+00
   8.250e+02    8.2466042e+02  4.2580306e+00
   8.750e+02    8.2713937e+02  4.2604518e+00
   9.250e+02    8.3185576e+02  4.2650863e+00
   9.750e+02    8.2362429e+02  4.2570341e+00
   1.025e+03    8.2765190e+02  4.2609685e+00
