#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    8.1450420e+06  2.3752950e+04
   3.825e+03   -3.7304292e+05  2.3752950e+04
   3.795e+03   -4.1784065e+05  2.3752950e+04
   3.765e+03   -3.8770400e+05  2.3752950e+04
   3.735e+03   -3.2905970e+05  2.3752950e+04
   3.705e+03   -3.2987420e+05  2.3752950e+04
   3.675e+03   -3.5349482e+05  2.3752950e+04
   3.645e+03   -3.6163986e+05  2.3752950e+04
   3.615e+03   -3.4127726e+05  2.3752950e+04
   3.585e+03   -3.4616429e+05  2.3752950e+04
   3.555e+03   -3.9096202e+05  2.3752950e+04
   3.525e+03   -3.6652689e+05  2.3752950e+04
   3.495e+03   -4.1702615e+05  2.3752950e+04
   3.465e+03   -4.2354218e+05  2.3752950e+04
   3.435e+03   -3.4290627e+05  2.3752950e+04
   3.405e+03   -3.0869709e+05  2.3752950e+04
   3.375e+03   -3.5919635e+05  2.3752950e+04
   3.345e+03   -3.5349482e+05  2.3752950e+04
   3.315e+03   -3.7630094e+05  2.3752950e+04
   3.285e+03   -3.6815590e+05  2.3752950e+04
   3.255e+03   -3.4942230e+05  2.3752950e+04
   3.225e+03   -3.4697879e+05  2.3752950e+04
   3.195e+03   -2.6634287e+05  2.3752950e+04
   3.165e+03   -3.1847114e+05  2.3752950e+04
   3.135e+03   -2.2724667e+05  2.3752950e+04
   3.105e+03   -1.2136113e+05  2.3752950e+04
   3.075e+03   -1.2217563e+04  2.3752950e+04
   3.045e+03    6.1087815e+04  2.3752950e+04
   3.015e+03   -6.8418353e+04  2.3752950e+04
   2.985e+03   -2.8100395e+05  2.3752950e+04
   2.955e+03   -5.5956439e+05  2.3752950e+04
   2.925e+03   -6.7848200e+05  2.3752950e+04
   2.895e+03   -4.5123533e+05  2.3752950e+04
   2.865e+03   -3.8281697e+05  2.3752950e+04
   2.835e+03   -3.2824519e+05  2.3752950e+04
   2.805e+03   -2.6878639e+05  2.3752950e+04
   2.775e+03   -1.9466650e+05  2.3752950e+04
   2.745e+03   -1.6452985e+05  2.3752950e+04
   2.715e+03    8.1450420e+02  2.3752950e+04
   2.685e+03    1.5312679e+05  2.3752950e+04
   2.655e+03    3.6978491e+05  2.3752950e+04
   2.625e+03    7.8436754e+05  2.3752950e+04
   2.595e+03    1.3194968e+06  2.3752950e+04
   2.565e+03    1.9784307e+06  2.3752950e+04
   2.535e+03    2.6748318e+06  2.3752950e+04
   2.505e+03    2.7041539e+06  2.3752950e+04
   2.475e+03    1.1297173e+06  2.3752950e+04
   2.445e+03   -1.2861021e+06  2.3752950e+04
   2.415e+03   -3.0323991e+06  2.3752950e+04
   2.385e+03   -2.9615373e+06  2.3752950e+04
   2.355e+03   -2.1584361e+06  2.3752950e+04
   2.325e+03   -1.3251983e+06  2.3752950e+04
   2.295e+03   -9.5948595e+05  2.3752950e+04
   2.265e+03   -7.4771486e+05  2.3752950e+04
   2.235e+03   -6.0599112e+05  2.3752950e+04
   2.205e+03   -5.3838728e+05  2.3752950e+04
   2.175e+03   -4.3087272e+05  2.3752950e+04
   2.145e+03   -4.1865516e+05  2.3752950e+04
   2.115e+03   -3.9340553e+05  2.3752950e+04
   2.085e+03   -3.8281697e+05  2.3752950e+04
   2.055e+03   -3.9096202e+05  2.3752950e+04
   2.025e+03   -4.0399408e+05  2.3752950e+04
   1.995e+03   -3.8363148e+05  2.3752950e+04
   1.965e+03   -3.8281697e+05  2.3752950e+04
   1.935e+03   -3.7792995e+05  2.3752950e+04
   1.905e+03   -3.3964825e+05  2.3752950e+04
   1.875e+03   -3.3313222e+05  2.3752950e+04
   1.845e+03   -3.4616429e+05  2.3752950e+04
   1.815e+03   -4.3087272e+05  2.3752950e+04
   1.785e+03   -3.6163986e+05  2.3752950e+04
   1.755e+03   -3.8363148e+05  2.3752950e+04
   1.725e+03   -3.3394672e+05  2.3752950e+04
   1.695e+03   -3.9829255e+05  2.3752950e+04
   1.665e+03   -3.6978491e+05  2.3752950e+04
   1.635e+03   -3.9992156e+05  2.3752950e+04
   1.605e+03   -3.1276961e+05  2.3752950e+04
   1.575e+03   -3.7304292e+05  2.3752950e+04
   1.545e+03   -3.2905970e+05  2.3752950e+04
   1.515e+03   -3.7792995e+05  2.3752950e+04
   1.485e+03   -4.0399408e+05  2.3752950e+04
   1.455e+03   -3.7059941e+05  2.3752950e+04
   1.425e+03   -3.6326887e+05  2.3752950e+04
   1.395e+03   -3.6163986e+05  2.3752950e+04
   1.365e+03   -4.2924371e+05  2.3752950e+04
   1.335e+03   -4.1132462e+05  2.3752950e+04
   1.305e+03   -3.8118797e+05  2.3752950e+04
   1.275e+03   -3.8363148e+05  2.3752950e+04
   1.245e+03   -3.6326887e+05  2.3752950e+04
