#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.0000000e+04  1.0000000e+02
  -1.620e+03   -2.7120436e+01  1.0000000e+02
  -1.590e+03   -8.8509689e+00  1.0000000e+02
  -1.560e+03    2.2822507e+01  1.0000000e+02
  -1.530e+03   -3.7602180e+00  1.0000000e+02
  -1.500e+03   -3.9596411e+01  1.0000000e+02
  -1.470e+03    1.9723844e+00  1.0000000e+02
  -1.440e+03    2.9781502e+01  1.0000000e+02
  -1.410e+03    4.7892656e+01  1.0000000e+02
  -1.380e+03   -1.1283424e+00  1.0000000e+02
  -1.350e+03   -2.4677319e+01  1.0000000e+02
  -1.320e+03   -5.4189286e+00  1.0000000e+02
  -1.290e+03   -2.2729918e+01  1.0000000e+02
  -1.260e+03   -9.8434723e+00  1.0000000e+02
  -1.230e+03   -3.7409031e+01  1.0000000e+02
  -1.200e+03   -2.4169425e+01  1.0000000e+02
  -1.170e+03   -7.7560244e+00  1.0000000e+02
  -1.140e+03   -5.2008988e+01  1.0000000e+02
  -1.110e+03   -2.8715748e+01  1.0000000e+02
  -1.080e+03   -4.4158492e+01  1.0000000e+02
  -1.050e+03   -2.6762258e+01  1.0000000e+02
  -1.020e+03   -3.1229424e+01  1.0000000e+02
  -9.900e+02   -6.8176320e+01  1.0000000e+02
  -9.600e+02   -6.8298100e+01  1.0000000e+02
  -9.300e+02   -4.4980504e+01  1.0000000e+02
  -9.000e+02   -7.8008242e+01  1.0000000e+02
  -8.700e+02   -1.5292140e+02  1.0000000e+02
  -8.400e+02   -1.3170343e+02  1.0000000e+02
  -8.100e+02   -1.5067313e+02  1.0000000e+02
  -7.800e+02   -2.2960287e+02  1.0000000e+02
  -7.500e+02   -1.5046360e+02  1.0000000e+02
  -7.200e+02   -2.3679683e+02  1.0000000e+02
  -6.900e+02   -2.6164527e+02  1.0000000e+02
  -6.600e+02   -2.6857740e+02  1.0000000e+02
  -6.300e+02   -3.2261357e+02  1.0000000e+02
  -6.000e+02   -4.2352849e+02  1.0000000e+02
  -5.700e+02   -4.8569525e+02  1.0000000e+02
  -5.400e+02   -5.5007733e+02  1.0000000e+02
  -5.100e+02   -5.6458953e+02  1.0000000e+02
  -4.800e+02   -7.0896334e+02  1.0000000e+02
  -4.500e+02   -7.8516128e+02  1.0000000e+02
  -4.200e+02   -9.1896138e+02  1.0000000e+02
  -3.900e+02   -1.1664045e+03  1.0000000e+02
  -3.600e+02   -1.3757754e+03  1.0000000e+02
  -3.300e+02   -1.7053135e+03  1.0000000e+02
  -3.000e+02   -2.1777372e+03  1.0000000e+02
  -2.700e+02   -2.8448369e+03  1.0000000e+02
  -2.400e+02   -3.5018708e+03  1.0000000e+02
  -2.100e+02   -3.7057562e+03  1.0000000e+02
  -1.800e+02   -2.6870630e+03  1.0000000e+02
  -1.500e+02   -1.0340686e+03  1.0000000e+02
  -1.200e+02    9.3704773e+02  1.0000000e+02
  -9.000e+01    2.4364732e+03  1.0000000e+02
  -6.000e+01    2.8507492e+03  1.0000000e+02
  -3.000e+01    2.5688091e+03  1.0000000e+02
   0.000e+00    2.1113550e+03  1.0000000e+02
   3.000e+01    1.7208808e+03  1.0000000e+02
   6.000e+01    1.5104999e+03  1.0000000e+02
   9.000e+01    1.2947116e+03  1.0000000e+02
   1.200e+02    1.1002691e+03  1.0000000e+02
   1.500e+02    9.1949494e+02  1.0000000e+02
   1.800e+02    8.3957126e+02  1.0000000e+02
   2.100e+02    7.1051697e+02  1.0000000e+02
   2.400e+02    5.7712948e+02  1.0000000e+02
   2.700e+02    4.8856374e+02  1.0000000e+02
   3.000e+02    3.9156296e+02  1.0000000e+02
   3.300e+02    3.4573760e+02  1.0000000e+02
   3.600e+02    3.5393266e+02  1.0000000e+02
   3.900e+02    2.9984276e+02  1.0000000e+02
   4.200e+02    2.1288343e+02  1.0000000e+02
   4.500e+02    2.4334018e+02  1.0000000e+02
   4.800e+02    2.2875598e+02  1.0000000e+02
   5.100e+02    1.9283203e+02  1.0000000e+02
   5.400e+02    1.4230813e+02  1.0000000e+02
   5.700e+02    1.4173326e+02  1.0000000e+02
   6.000e+02    1.5640019e+02  1.0000000e+02
   6.300e+02    1.3731838e+02  1.0000000e+02
   6.600e+02    8.0331200e+01  1.0000000e+02
   6.900e+02    1.0609549e+02  1.0000000e+02
   7.200e+02    1.4506895e+02  1.0000000e+02
   7.500e+02    9.1182489e+01  1.0000000e+02
   7.800e+02    7.5904147e+01  1.0000000e+02
   8.100e+02    1.1177687e+02  1.0000000e+02
   8.400e+02    1.4002793e+01  1.0000000e+02
   8.700e+02    5.8964586e+01  1.0000000e+02
   9.000e+02    7.4364707e+01  1.0000000e+02
   9.300e+02    7.4504754e+01  1.0000000e+02
   9.600e+02   -2.4526166e+01  1.0000000e+02
   9.900e+02    5.0925332e+01  1.0000000e+02
   1.020e+03    7.7715082e+01  1.0000000e+02
   1.050e+03    4.0847343e+01  1.0000000e+02
   1.080e+03    8.6992907e+01  1.0000000e+02
   1.110e+03    1.9635463e+01  1.0000000e+02
   1.140e+03    3.7202189e+01  1.0000000e+02
   1.170e+03    1.1876302e+01  1.0000000e+02
   1.200e+03    2.7434737e+01  1.0000000e+02
   1.230e+03    2.9662231e+01  1.0000000e+02
   1.260e+03    8.9938900e+01  1.0000000e+02
   1.290e+03    7.0619620e+01  1.0000000e+02
   1.320e+03    3.5051342e+01  1.0000000e+02
   1.350e+03    4.1051860e+01  1.0000000e+02
   1.380e+03    2.1854359e+01  1.0000000e+02
   1.410e+03    3.0912980e+01  1.0000000e+02
   1.440e+03   -1.4388802e+00  1.0000000e+02
