#Offset (Hz)        Intensity    Uncertainty
  -1.200e+04    1.2693400e+07  1.2693400e+05
   3.700e+03   -1.5866750e+05  1.2693400e+05
   3.670e+03   -8.3776440e+04  1.2693400e+05
   3.640e+03   -1.0535522e+05  1.2693400e+05
   3.610e+03   -5.9658980e+04  1.2693400e+05
   3.580e+03   -4.9504260e+04  1.2693400e+05
   3.550e+03    7.6160400e+03  1.2693400e+05
   3.520e+03    1.2693400e+03  1.2693400e+05
   3.490e+03    2.9194820e+04  1.2693400e+05
   3.460e+03    4.4426900e+04  1.2693400e+05
   3.430e+03    5.3312280e+04  1.2693400e+05
   3.400e+03   -1.3962740e+04  1.2693400e+05
   3.370e+03    2.1578780e+04  1.2693400e+05
   3.340e+03   -1.7770760e+04  1.2693400e+05
   3.310e+03    1.1424060e+04  1.2693400e+05
   3.280e+03   -2.1578780e+04  1.2693400e+05
   3.250e+03    2.5386800e+03  1.2693400e+05
   3.220e+03    2.6656140e+04  1.2693400e+05
   3.190e+03    2.7925480e+04  1.2693400e+05
   3.160e+03    4.9504260e+04  1.2693400e+05
   3.130e+03    6.0928320e+04  1.2693400e+05
   3.100e+03    2.5386800e+04  1.2693400e+05
   3.070e+03    5.0773600e+04  1.2693400e+05
   3.040e+03    4.6965580e+04  1.2693400e+05
   3.010e+03    4.3157560e+04  1.2693400e+05
   2.980e+03    3.8080200e+04  1.2693400e+05
   2.950e+03    7.3621720e+04  1.2693400e+05
   2.920e+03    1.0535522e+05  1.2693400e+05
   2.890e+03    2.2975054e+05  1.2693400e+05
   2.860e+03    3.1606566e+05  1.2693400e+05
   2.830e+03    5.8770442e+05  1.2693400e+05
   2.800e+03    1.1322513e+06  1.2693400e+05
   2.770e+03    2.5831069e+06  1.2693400e+05
   2.740e+03    5.6701418e+06  1.2693400e+05
   2.710e+03    5.7361475e+06  1.2693400e+05
   2.680e+03    1.0903631e+06  1.2693400e+05
   2.650e+03   -4.1786673e+06  1.2693400e+05
   2.620e+03   -6.2248434e+06  1.2693400e+05
   2.590e+03   -3.1365391e+06  1.2693400e+05
   2.560e+03   -1.3442311e+06  1.2693400e+05
   2.530e+03   -6.8544360e+05  1.2693400e+05
   2.500e+03   -3.2368170e+05  1.2693400e+05
   2.470e+03   -2.1959582e+05  1.2693400e+05
   2.440e+03   -1.4978212e+05  1.2693400e+05
