#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    5.9270019e+04  9.0131128e+01
   2.600e+01    4.2016341e+04  7.6999435e+01
   1.000e+00    2.9199546e+04  6.9156402e+01
   2.200e+01    4.0004880e+04  7.5642031e+01
   2.000e+00    3.0494544e+04  6.9854786e+01
   1.800e+01    3.9863950e+04  7.5548534e+01
   3.000e+00    3.0425938e+04  6.9817206e+01
   1.600e+01    3.9178768e+04  7.5097037e+01
   4.000e+00    3.0402980e+04  6.9804645e+01
   1.400e+01    3.7883466e+04  7.4257697e+01
   5.000e+00    3.1661567e+04  7.0503822e+01
   1.200e+01    3.6645023e+04  7.3473055e+01
   6.000e+00    3.1873307e+04  7.0623537e+01
   1.000e+01    3.5475271e+04  7.2748480e+01
   8.000e+00    3.3191727e+04  7.1382183e+01
   2.200e+01    4.0254837e+04  7.5808386e+01
   4.000e+00    3.1499556e+04  7.0412625e+01
