#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    3.6764960e+08  8.6158060e+04
   1.000e+00    2.7566400e+08  8.6158060e+04
   2.000e+00    3.0551700e+08  8.6158060e+04
   2.000e+00    3.0540700e+08  8.6158060e+04
   3.000e+00    3.2312700e+08  8.6158060e+04
   4.000e+00    3.3158300e+08  8.6158060e+04
   5.000e+00    3.3886300e+08  8.6158060e+04
   6.000e+00    3.3923000e+08  8.6158060e+04
   7.000e+00    3.4235500e+08  8.6158060e+04
   8.000e+00    3.4621600e+08  8.6158060e+04
   9.000e+00    3.4628900e+08  8.6158060e+04
   1.000e+01    3.4720800e+08  8.6158060e+04
   1.100e+01    3.4566400e+08  8.6158060e+04
   1.200e+01    3.4695100e+08  8.6158060e+04
   1.400e+01    3.4845800e+08  8.6158060e+04
   1.600e+01    3.4838500e+08  8.6158060e+04
   1.800e+01    3.4923000e+08  8.6158060e+04
   2.000e+01    3.4919400e+08  8.6158060e+04
   2.200e+01    3.4985500e+08  8.6158060e+04
   2.200e+01    3.4937700e+08  8.6158060e+04
   2.400e+01    3.4996600e+08  8.6158060e+04
   2.600e+01    3.4989200e+08  8.6158060e+04
   2.800e+01    3.4981900e+08  8.6158060e+04
   3.200e+01    3.5077400e+08  8.6158060e+04
   3.600e+01    3.5088500e+08  8.6158060e+04
   4.000e+01    3.5000200e+08  8.6158060e+04
