#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.4954090e+08  8.5730300e+04
   1.000e+00    1.5299400e+08  8.5730300e+04
   2.000e+00    1.7627600e+08  8.5730300e+04
   2.000e+00    1.7662500e+08  8.5730300e+04
   3.000e+00    1.9354400e+08  8.5730300e+04
   4.000e+00    2.0464800e+08  8.5730300e+04
   5.000e+00    2.1183500e+08  8.5730300e+04
   6.000e+00    2.1398100e+08  8.5730300e+04
   7.000e+00    2.1672600e+08  8.5730300e+04
   8.000e+00    2.1907200e+08  8.5730300e+04
   9.000e+00    2.2056900e+08  8.5730300e+04
   1.000e+01    2.2156700e+08  8.5730300e+04
   1.100e+01    2.2161700e+08  8.5730300e+04
   1.200e+01    2.2171700e+08  8.5730300e+04
   1.400e+01    2.2299000e+08  8.5730300e+04
   1.600e+01    2.2368800e+08  8.5730300e+04
   1.800e+01    2.2436200e+08  8.5730300e+04
   2.000e+01    2.2473700e+08  8.5730300e+04
   2.200e+01    2.2463700e+08  8.5730300e+04
   2.200e+01    2.2481100e+08  8.5730300e+04
   2.400e+01    2.2493600e+08  8.5730300e+04
   2.600e+01    2.2518600e+08  8.5730300e+04
   2.800e+01    2.2543500e+08  8.5730300e+04
   3.200e+01    2.2548500e+08  8.5730300e+04
   3.600e+01    2.2576000e+08  8.5730300e+04
   4.000e+01    2.2578500e+08  8.5730300e+04
