#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.2362630e+07  9.8017630e+03
   4.000e+01    9.9160655e+06  9.8017630e+03
   1.000e+00    6.7722487e+06  9.8017630e+03
   3.600e+01    9.8604337e+06  9.8017630e+03
   2.000e+00    6.9477981e+06  9.8017630e+03
   3.200e+01    9.7825491e+06  9.8017630e+03
   3.000e+00    6.7339246e+06  9.8017630e+03
   3.000e+01    9.7157909e+06  9.8017630e+03
   4.000e+00    6.7017817e+06  9.8017630e+03
   2.800e+01    9.7293898e+06  9.8017630e+03
   5.000e+00    6.7858476e+06  9.8017630e+03
   2.600e+01    9.6379063e+06  9.8017630e+03
   6.000e+00    7.0244464e+06  9.8017630e+03
   2.400e+01    9.5983459e+06  9.8017630e+03
   7.000e+00    7.2865341e+06  9.8017630e+03
   2.200e+01    9.5192251e+06  9.8017630e+03
   8.000e+00    7.5857098e+06  9.8017630e+03
   2.000e+01    9.4623570e+06  9.8017630e+03
   9.000e+00    7.9046656e+06  9.8017630e+03
   1.800e+01    9.2917527e+06  9.8017630e+03
   1.000e+01    8.1296655e+06  9.8017630e+03
   1.600e+01    9.1359836e+06  9.8017630e+03
   1.100e+01    8.3682642e+06  9.8017630e+03
   1.400e+01    8.8936760e+06  9.8017630e+03
   1.200e+01    8.5907916e+06  9.8017630e+03
   1.000e+00    6.7994465e+06  9.8017630e+03
   4.000e+01    9.8653787e+06  9.8017630e+03
   2.000e+00    6.9515068e+06  9.8017630e+03
   3.600e+01    9.8505436e+06  9.8017630e+03
