#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.2857890e+07  9.8597160e+03
   4.000e+01    1.0187306e+07  9.8597160e+03
   1.000e+00    6.9214022e+06  9.8597160e+03
   3.600e+01    1.0143589e+07  9.8597160e+03
   2.000e+00    6.9278311e+06  9.8597160e+03
   3.200e+01    1.0155162e+07  9.8597160e+03
   3.000e+00    6.9329743e+06  9.8597160e+03
   3.000e+01    1.0097301e+07  9.8597160e+03
   4.000e+00    7.1695595e+06  9.8597160e+03
   2.800e+01    1.0057442e+07  9.8597160e+03
   5.000e+00    7.5758688e+06  9.8597160e+03
   2.600e+01    1.0042012e+07  9.8597160e+03
   6.000e+00    8.0053223e+06  9.8597160e+03
   2.400e+01    1.0022725e+07  9.8597160e+03
   7.000e+00    8.3704864e+06  9.8597160e+03
   2.200e+01    9.9532926e+06  9.8597160e+03
   8.000e+00    8.6623605e+06  9.8597160e+03
   2.000e+01    9.9327200e+06  9.8597160e+03
   9.000e+00    8.9400909e+06  9.8597160e+03
   1.800e+01    9.8594301e+06  9.8597160e+03
   1.000e+01    9.1573893e+06  9.8597160e+03
   1.600e+01    9.7475664e+06  9.8597160e+03
   1.100e+01    9.3116839e+06  9.8597160e+03
   1.400e+01    9.6459891e+06  9.8597160e+03
   1.200e+01    9.4312623e+06  9.8597160e+03
   1.000e+00    6.9278311e+06  9.8597160e+03
   4.000e+01    1.0179592e+07  9.8597160e+03
   2.000e+00    6.9471180e+06  9.8597160e+03
   3.600e+01    1.0117874e+07  9.8597160e+03
