#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.3333200e+07  9.7663900e+03
   4.000e+01    1.0218564e+07  9.7663900e+03
   1.000e+00    7.2519275e+06  9.7663900e+03
   3.600e+01    1.0191898e+07  9.7663900e+03
   2.000e+00    7.4092592e+06  9.7663900e+03
   3.200e+01    1.0105232e+07  9.7663900e+03
   3.000e+00    7.1919281e+06  9.7663900e+03
   3.000e+01    1.0133232e+07  9.7663900e+03
   4.000e+00    7.1319287e+06  9.7663900e+03
   2.800e+01    1.0093232e+07  9.7663900e+03
   5.000e+00    7.2572608e+06  9.7663900e+03
   2.600e+01    1.0013233e+07  9.7663900e+03
   6.000e+00    7.4585921e+06  9.7663900e+03
   2.400e+01    9.9559004e+06  9.7663900e+03
   7.000e+00    7.7119229e+06  9.7663900e+03
   2.200e+01    9.9025676e+06  9.7663900e+03
   8.000e+00    8.0372530e+06  9.7663900e+03
   2.000e+01    9.7679023e+06  9.7663900e+03
   9.000e+00    8.3052503e+06  9.7663900e+03
   1.800e+01    9.6785699e+06  9.7663900e+03
   1.000e+01    8.5372480e+06  9.7663900e+03
   1.600e+01    9.4812385e+06  9.7663900e+03
   1.100e+01    8.7452459e+06  9.7663900e+03
   1.400e+01    9.2572408e+06  9.7663900e+03
   1.200e+01    8.9279107e+06  9.7663900e+03
   1.000e+00    7.2492608e+06  9.7663900e+03
   4.000e+01    1.0274564e+07  9.7663900e+03
   2.000e+00    7.3999260e+06  9.7663900e+03
   3.600e+01    1.0178565e+07  9.7663900e+03
