#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.0711940e+07  9.8642870e+03
   4.000e+01    1.7041784e+07  9.8642870e+03
   1.000e+00    1.2516225e+07  9.8642870e+03
   3.600e+01    1.7060425e+07  9.8642870e+03
   2.000e+00    1.4624701e+07  9.8642870e+03
   3.200e+01    1.6971364e+07  9.8642870e+03
   3.000e+00    1.5707935e+07  9.8642870e+03
   3.000e+01    1.7166056e+07  9.8642870e+03
   4.000e+00    1.6209164e+07  9.8642870e+03
   2.800e+01    1.7120490e+07  9.8642870e+03
   5.000e+00    1.6544698e+07  9.8642870e+03
   2.600e+01    1.6952723e+07  9.8642870e+03
   6.000e+00    1.6706251e+07  9.8642870e+03
   2.400e+01    1.7170198e+07  9.8642870e+03
   7.000e+00    1.6818095e+07  9.8642870e+03
   2.200e+01    1.7097706e+07  9.8642870e+03
   8.000e+00    1.6880231e+07  9.8642870e+03
   2.000e+01    1.6975506e+07  9.8642870e+03
   9.000e+00    1.6890587e+07  9.8642870e+03
   1.800e+01    1.7081137e+07  9.8642870e+03
   1.000e+01    1.6917513e+07  9.8642870e+03
   1.600e+01    1.7271687e+07  9.8642870e+03
   1.100e+01    1.6907157e+07  9.8642870e+03
   1.400e+01    1.6938225e+07  9.8642870e+03
   1.200e+01    1.6896801e+07  9.8642870e+03
   1.000e+00    1.2617714e+07  9.8642870e+03
   4.000e+01    1.6977577e+07  9.8642870e+03
   2.000e+00    1.4601918e+07  9.8642870e+03
   3.600e+01    1.6996218e+07  9.8642870e+03
