#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.4702920e+07  9.8352520e+03
   4.000e+01    1.2190191e+07  9.8352520e+03
   1.000e+00    8.4394761e+06  9.8352520e+03
   3.600e+01    1.2129909e+07  9.8352520e+03
   2.000e+00    9.5024972e+06  9.8352520e+03
   3.200e+01    1.2146082e+07  9.8352520e+03
   3.000e+00    1.0525820e+07  9.8352520e+03
   3.000e+01    1.2131379e+07  9.8352520e+03
   4.000e+00    1.1084531e+07  9.8352520e+03
   2.800e+01    1.2141671e+07  9.8352520e+03
   5.000e+00    1.1391822e+07  9.8352520e+03
   2.600e+01    1.2144612e+07  9.8352520e+03
   6.000e+00    1.1671178e+07  9.8352520e+03
   2.400e+01    1.2159315e+07  9.8352520e+03
   7.000e+00    1.1732930e+07  9.8352520e+03
   2.200e+01    1.2085800e+07  9.8352520e+03
   8.000e+00    1.1869667e+07  9.8352520e+03
   2.000e+01    1.2126968e+07  9.8352520e+03
   9.000e+00    1.1902014e+07  9.8352520e+03
   1.800e+01    1.2088741e+07  9.8352520e+03
   1.000e+01    1.1978469e+07  9.8352520e+03
   1.600e+01    1.2065216e+07  9.8352520e+03
   1.100e+01    1.1975528e+07  9.8352520e+03
   1.400e+01    1.2066686e+07  9.8352520e+03
   1.200e+01    1.2007875e+07  9.8352520e+03
   1.000e+00    8.4659413e+06  9.8352520e+03
   4.000e+01    1.2122558e+07  9.8352520e+03
   2.000e+00    9.5039675e+06  9.8352520e+03
   3.600e+01    1.2151963e+07  9.8352520e+03
