#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.1779580e+06  1.1050060e+04
   4.000e+01    5.8047146e+06  1.1050060e+04
   1.000e+00    4.5232286e+06  1.1050060e+04
   3.600e+01    5.7262062e+06  1.1050060e+04
   2.000e+00    4.5273175e+06  1.1050060e+04
   3.200e+01    5.7008545e+06  1.1050060e+04
   3.000e+00    4.6581649e+06  1.1050060e+04
   3.000e+01    5.6746851e+06  1.1050060e+04
   4.000e+00    4.6001014e+06  1.1050060e+04
   2.800e+01    5.6141682e+06  1.1050060e+04
   5.000e+00    4.5763853e+06  1.1050060e+04
   2.600e+01    5.5773674e+06  1.1050060e+04
   6.000e+00    4.6033726e+06  1.1050060e+04
   2.400e+01    5.5282996e+06  1.1050060e+04
   7.000e+00    4.5837455e+06  1.1050060e+04
   2.200e+01    5.4816852e+06  1.1050060e+04
   8.000e+00    4.6156395e+06  1.1050060e+04
   2.000e+01    5.3876387e+06  1.1050060e+04
   9.000e+00    4.6516225e+06  1.1050060e+04
   1.800e+01    5.2984990e+06  1.1050060e+04
   1.000e+01    4.7505758e+06  1.1050060e+04
   1.600e+01    5.2167194e+06  1.1050060e+04
   1.100e+01    4.8446223e+06  1.1050060e+04
   1.400e+01    5.0678806e+06  1.1050060e+04
   1.200e+01    4.9067748e+06  1.1050060e+04
   1.000e+00    4.5142328e+06  1.1050060e+04
   4.000e+01    5.8137103e+06  1.1050060e+04
   2.000e+00    4.5420379e+06  1.1050060e+04
   3.600e+01    5.7352019e+06  1.1050060e+04
