#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.8919420e+07  1.1061000e+04
   4.000e+01    2.5720932e+07  1.1061000e+04
   1.000e+00    1.8094881e+07  1.1061000e+04
   3.600e+01    2.5772987e+07  1.1061000e+04
   2.000e+00    1.8569160e+07  1.1061000e+04
   3.200e+01    2.5697797e+07  1.1061000e+04
   3.000e+00    2.0492301e+07  1.1061000e+04
   3.000e+01    2.5694905e+07  1.1061000e+04
   4.000e+00    2.2033706e+07  1.1061000e+04
   2.800e+01    2.5741176e+07  1.1061000e+04
   5.000e+00    2.3147104e+07  1.1061000e+04
   2.600e+01    2.5700689e+07  1.1061000e+04
   6.000e+00    2.3904793e+07  1.1061000e+04
   2.400e+01    2.5715148e+07  1.1061000e+04
   7.000e+00    2.4327016e+07  1.1061000e+04
   2.200e+01    2.5689121e+07  1.1061000e+04
   8.000e+00    2.4604643e+07  1.1061000e+04
   2.000e+01    2.5611038e+07  1.1061000e+04
   9.000e+00    2.4827322e+07  1.1061000e+04
   1.800e+01    2.5587903e+07  1.1061000e+04
   1.000e+01    2.5052894e+07  1.1061000e+04
   1.600e+01    2.5509820e+07  1.1061000e+04
   1.100e+01    2.5177247e+07  1.1061000e+04
   1.400e+01    2.5454873e+07  1.1061000e+04
   1.200e+01    2.5246654e+07  1.1061000e+04
   1.000e+00    1.8071746e+07  1.1061000e+04
   4.000e+01    2.5718040e+07  1.1061000e+04
   2.000e+00    1.8566268e+07  1.1061000e+04
   3.600e+01    2.5810582e+07  1.1061000e+04
