#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.4422620e+07  1.1029150e+04
   4.000e+01    1.0798216e+07  1.1029150e+04
   1.000e+00    7.5545684e+06  1.1029150e+04
   3.600e+01    1.0756390e+07  1.1029150e+04
   2.000e+00    7.3555362e+06  1.1029150e+04
   3.200e+01    1.0711680e+07  1.1029150e+04
   3.000e+00    7.8372517e+06  1.1029150e+04
   3.000e+01    1.0739083e+07  1.1029150e+04
   4.000e+00    8.4747315e+06  1.1029150e+04
   2.800e+01    1.0749179e+07  1.1029150e+04
   5.000e+00    9.0213488e+06  1.1029150e+04
   2.600e+01    1.0720333e+07  1.1029150e+04
   6.000e+00    9.4323935e+06  1.1029150e+04
   2.400e+01    1.0704469e+07  1.1029150e+04
   7.000e+00    9.7093078e+06  1.1029150e+04
   2.200e+01    1.0639567e+07  1.1029150e+04
   8.000e+00    9.9155512e+06  1.1029150e+04
   2.000e+01    1.0659758e+07  1.1029150e+04
   9.000e+00    1.0059777e+07  1.1029150e+04
   1.800e+01    1.0600626e+07  1.1029150e+04
   1.000e+01    1.0147755e+07  1.1029150e+04
   1.600e+01    1.0535724e+07  1.1029150e+04
   1.100e+01    1.0277559e+07  1.1029150e+04
   1.400e+01    1.0491014e+07  1.1029150e+04
   1.200e+01    1.0353999e+07  1.1029150e+04
   1.000e+00    7.6079320e+06  1.1029150e+04
   4.000e+01    1.0760717e+07  1.1029150e+04
   2.000e+00    7.4262070e+06  1.1029150e+04
   3.600e+01    1.0776582e+07  1.1029150e+04
