#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.1291870e+07  1.1194990e+04
   4.000e+01    1.6486295e+07  1.1194990e+04
   1.000e+00    1.1186748e+07  1.1194990e+04
   3.600e+01    1.6416032e+07  1.1194990e+04
   2.000e+00    1.2370576e+07  1.1194990e+04
   3.200e+01    1.6347898e+07  1.1194990e+04
   3.000e+00    1.3803519e+07  1.1194990e+04
   3.000e+01    1.6454357e+07  1.1194990e+04
   4.000e+00    1.4655194e+07  1.1194990e+04
   2.800e+01    1.6360673e+07  1.1194990e+04
   5.000e+00    1.5232204e+07  1.1194990e+04
   2.600e+01    1.6373448e+07  1.1194990e+04
   6.000e+00    1.5585649e+07  1.1194990e+04
   2.400e+01    1.6384094e+07  1.1194990e+04
   7.000e+00    1.5717658e+07  1.1194990e+04
   2.200e+01    1.6320218e+07  1.1194990e+04
   8.000e+00    1.5892252e+07  1.1194990e+04
   2.000e+01    1.6301056e+07  1.1194990e+04
   9.000e+00    1.5968902e+07  1.1194990e+04
   1.800e+01    1.6350027e+07  1.1194990e+04
   1.000e+01    1.6149883e+07  1.1194990e+04
   1.600e+01    1.6275505e+07  1.1194990e+04
   1.100e+01    1.6117946e+07  1.1194990e+04
   1.400e+01    1.6186080e+07  1.1194990e+04
   1.200e+01    1.6241438e+07  1.1194990e+04
   1.000e+00    1.1254882e+07  1.1194990e+04
   4.000e+01    1.6362802e+07  1.1194990e+04
   2.000e+00    1.2400385e+07  1.1194990e+04
   3.600e+01    1.6424549e+07  1.1194990e+04
