#
#       Peak Name  Conv_flg Overlap_flg
#          14N-HN         1           3
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   115.030     6.952
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1503890e+02  1.5627989e-04
# w1(Hz)        1.5625732e+01  2.6803866e-02
# g1            5.0720996e-01  7.6687459e-03
# f02(ppm)      6.9497524e+00  1.7001449e-05
# w2(Hz)        1.6432217e+01  2.5596391e-02
# g2            6.1487909e-01  6.4026126e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    3.7652385e+04  1.8976974e+02
   3.000e+01    3.4650776e+04  1.8417589e+02
   1.000e+00    2.6501321e+04  1.7067924e+02
   2.700e+01    3.4599757e+04  1.8408891e+02
   2.000e+00    2.9384915e+04  1.7515892e+02
   2.400e+01    3.4674815e+04  1.8422391e+02
   3.000e+00    3.0738070e+04  1.7737759e+02
   2.100e+01    3.4842753e+04  1.8452483e+02
   4.000e+00    3.2447651e+04  1.8027576e+02
   1.800e+01    3.4668147e+04  1.8420884e+02
   5.000e+00    3.2990614e+04  1.8122797e+02
   1.500e+01    3.4621087e+04  1.8411654e+02
   6.000e+00    3.3538900e+04  1.8219752e+02
   1.200e+01    3.4308383e+04  1.8355547e+02
   7.000e+00    3.3781106e+04  1.8261867e+02
   1.000e+01    3.4296972e+04  1.8353524e+02
   8.000e+00    3.4171356e+04  1.8330513e+02
   4.000e+00    3.2269522e+04  1.7997813e+02
   1.000e+00    2.6411953e+04  1.7054659e+02
   2.700e+01    3.4388747e+04  1.8370384e+02
