#
#       Peak Name  Conv_flg Overlap_flg
#         228N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   115.165     7.460
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1515695e+02  6.7410718e-04
# w1(Hz)        2.4348558e+01  1.9639595e-01
# g1            3.2100978e-01  2.5322574e-02
# f02(ppm)      7.4583077e+00  4.2498064e-05
# w2(Hz)        1.5996890e+01  1.0228073e-01
# g2            6.7016377e-01  2.3213627e-02
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    1.1620971e+04  2.3785083e+02
   3.000e+01    1.0844386e+04  2.3368458e+02
   1.000e+00    9.1657555e+03  2.2544647e+02
   2.700e+01    1.0705725e+04  2.3296348e+02
   2.000e+00    9.9705224e+03  2.2926024e+02
   2.400e+01    1.0200084e+04  2.3039457e+02
   3.000e+00    1.0320660e+04  2.3099844e+02
   2.100e+01    1.0462557e+04  2.3171612e+02
   4.000e+00    1.0158129e+04  2.3018578e+02
   1.800e+01    1.0491157e+04  2.3186170e+02
   5.000e+00    1.0481456e+04  2.3181229e+02
   1.500e+01    1.0795180e+04  2.3342787e+02
   6.000e+00    1.0255444e+04  2.3067115e+02
   1.200e+01    1.1136156e+04  2.3522466e+02
   7.000e+00    1.0853463e+04  2.3373204e+02
   1.000e+01    1.0932387e+04  2.3414584e+02
   8.000e+00    1.0257499e+04  2.3068146e+02
   4.000e+00    1.0498223e+04  2.3189771e+02
   1.000e+00    9.1659298e+03  2.2544726e+02
   2.700e+01    1.0390366e+04  2.3135007e+02
