#
#       Peak Name  Conv_flg Overlap_flg
#          43N-HN         1          -1
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.270     9.166
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1423749e+02  6.5025750e-05
# w1(Hz)        1.4297679e+01  1.5665378e-02
# g1            7.5130874e-01  4.3911127e-03
# f02(ppm)      9.1689349e+00  8.6636501e-06
# w2(Hz)        1.7871138e+01  2.2838108e-02
# g2            4.1298506e-01  3.5494899e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    1.1406080e+05  3.9762949e+02
   3.000e+01    1.0331395e+05  3.8923795e+02
   1.000e+00    1.0289543e+05  3.8892447e+02
   2.700e+01    1.0303799e+05  3.8903114e+02
   2.000e+00    1.0268520e+05  3.8876739e+02
   2.400e+01    1.0322807e+05  3.8917355e+02
   3.000e+00    1.0271961e+05  3.8879309e+02
   2.100e+01    1.0306053e+05  3.8904802e+02
   4.000e+00    1.0302455e+05  3.8902108e+02
   1.800e+01    1.0303692e+05  3.8903034e+02
   5.000e+00    1.0303760e+05  3.8903085e+02
   1.500e+01    1.0296804e+05  3.8897879e+02
   6.000e+00    1.0247771e+05  3.8861262e+02
   1.200e+01    1.0272182e+05  3.8879474e+02
   7.000e+00    1.0262784e+05  3.8872458e+02
   1.000e+01    1.0343854e+05  3.8933147e+02
   8.000e+00    1.0258223e+05  3.8869055e+02
   4.000e+00    1.0282172e+05  3.8886937e+02
   1.000e+00    1.0287736e+05  3.8891096e+02
   2.700e+01    1.0305887e+05  3.8904677e+02
