#
#       Peak Name  Conv_flg Overlap_flg
#           8N-HN         1           0
#
# Input frequencies:
#     Omega1    Omega2    Omega3
#      0.000   114.470     7.344
#
# --------- Results of the fit -------------
#
# Parameter        Value           Esd
# f01(ppm)      1.1449397e+02  1.1415277e-04
# w1(Hz)        1.8364670e+01  2.9553365e-02
# g1            5.6477191e-01  5.6968130e-03
# f02(ppm)      7.3406862e+00  1.2229242e-05
# w2(Hz)        1.8820642e+01  3.2836300e-02
# g2            3.7366372e-01  4.6850076e-03
############################################
# RelaxDelay        Intensity      Esd(Int.)
   0.000e+00    6.8024537e+04  3.0253189e+02
   3.000e+01    6.3094308e+04  2.9716069e+02
   1.000e+00    4.5001840e+04  2.8028512e+02
   2.700e+01    6.2502149e+04  2.9653651e+02
   2.000e+00    4.9536653e+04  2.8407026e+02
   2.400e+01    6.2740125e+04  2.9678680e+02
   3.000e+00    5.4023745e+04  2.8811677e+02
   2.100e+01    6.2856847e+04  2.9690983e+02
   4.000e+00    5.6596758e+04  2.9056751e+02
   1.800e+01    6.2845235e+04  2.9689759e+02
   5.000e+00    5.8695798e+04  2.9263510e+02
   1.500e+01    6.3045869e+04  2.9710946e+02
   6.000e+00    5.9310015e+04  2.9325151e+02
   1.200e+01    6.2033840e+04  2.9604613e+02
   7.000e+00    6.0260803e+04  2.9421575e+02
   1.000e+01    6.2144323e+04  2.9616156e+02
   8.000e+00    6.0876771e+04  2.9484690e+02
   4.000e+00    5.6149695e+04  2.9013502e+02
   1.000e+00    4.5352463e+04  2.8056658e+02
   2.700e+01    6.2921466e+04  2.9697803e+02
