#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0596040e+07  1.0090280e+04
   4.000e+01    9.5279592e+06  1.0090280e+04
   1.000e+00    7.1809363e+06  1.0090280e+04
   3.600e+01    9.5459724e+06  1.0090280e+04
   2.000e+00    8.0953746e+06  1.0090280e+04
   3.200e+01    9.4855750e+06  1.0090280e+04
   3.000e+00    8.6654415e+06  1.0090280e+04
   3.000e+01    9.5120651e+06  1.0090280e+04
   4.000e+00    8.9525942e+06  1.0090280e+04
   2.800e+01    9.5120651e+06  1.0090280e+04
   5.000e+00    9.1348461e+06  1.0090280e+04
   2.600e+01    9.4961710e+06  1.0090280e+04
   6.000e+00    9.3181576e+06  1.0090280e+04
   2.400e+01    9.5396148e+06  1.0090280e+04
   7.000e+00    9.3372304e+06  1.0090280e+04
   2.200e+01    9.5184227e+06  1.0090280e+04
   8.000e+00    9.3891510e+06  1.0090280e+04
   2.000e+01    9.4908730e+06  1.0090280e+04
   9.000e+00    9.4092835e+06  1.0090280e+04
   1.800e+01    9.5194823e+06  1.0090280e+04
   1.000e+01    9.4431908e+06  1.0090280e+04
   1.600e+01    9.5502109e+06  1.0090280e+04
   1.100e+01    9.4866346e+06  1.0090280e+04
   1.400e+01    9.4919326e+06  1.0090280e+04
   1.200e+01    9.4792174e+06  1.0090280e+04
   1.000e+00    7.1608038e+06  1.0090280e+04
   4.000e+01    9.5152439e+06  1.0090280e+04
   2.000e+00    8.1250435e+06  1.0090280e+04
   3.600e+01    9.4781578e+06  1.0090280e+04
