#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.4807280e+06  1.0117170e+04
   4.000e+01    5.7197646e+06  1.0117170e+04
   1.000e+00    4.0515623e+06  1.0117170e+04
   3.600e+01    5.7130320e+06  1.0117170e+04
   2.000e+00    3.9371071e+06  1.0117170e+04
   3.200e+01    5.6973224e+06  1.0117170e+04
   3.000e+00    4.2460612e+06  1.0117170e+04
   3.000e+01    5.6935821e+06  1.0117170e+04
   4.000e+00    4.6148611e+06  1.0117170e+04
   2.800e+01    5.7062993e+06  1.0117170e+04
   5.000e+00    4.9006249e+06  1.0117170e+04
   2.600e+01    5.6935821e+06  1.0117170e+04
   6.000e+00    5.1108334e+06  1.0117170e+04
   2.400e+01    5.7571683e+06  1.0117170e+04
   7.000e+00    5.2522191e+06  1.0117170e+04
   2.200e+01    5.7122839e+06  1.0117170e+04
   8.000e+00    5.3322629e+06  1.0117170e+04
   2.000e+01    5.6599188e+06  1.0117170e+04
   9.000e+00    5.4392373e+06  1.0117170e+04
   1.800e+01    5.6756283e+06  1.0117170e+04
   1.000e+01    5.4803813e+06  1.0117170e+04
   1.600e+01    5.6352324e+06  1.0117170e+04
   1.100e+01    5.5364868e+06  1.0117170e+04
   1.400e+01    5.6008211e+06  1.0117170e+04
   1.200e+01    5.5858596e+06  1.0117170e+04
   1.000e+00    4.0238836e+06  1.0117170e+04
   4.000e+01    5.7474433e+06  1.0117170e+04
   2.000e+00    3.9221457e+06  1.0117170e+04
   3.600e+01    5.7354742e+06  1.0117170e+04
