#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    8.6918970e+06  1.0177000e+04
   4.000e+01    7.6853753e+06  1.0177000e+04
   1.000e+00    5.5610757e+06  1.0177000e+04
   3.600e+01    7.6245320e+06  1.0177000e+04
   2.000e+00    5.7010152e+06  1.0177000e+04
   3.200e+01    7.6036715e+06  1.0177000e+04
   3.000e+00    5.4793719e+06  1.0177000e+04
   3.000e+01    7.5775958e+06  1.0177000e+04
   4.000e+00    5.5132703e+06  1.0177000e+04
   2.800e+01    7.5602120e+06  1.0177000e+04
   5.000e+00    5.6019276e+06  1.0177000e+04
   2.600e+01    7.5002379e+06  1.0177000e+04
   6.000e+00    5.7688120e+06  1.0177000e+04
   2.400e+01    7.4845925e+06  1.0177000e+04
   7.000e+00    5.9826327e+06  1.0177000e+04
   2.200e+01    7.4385255e+06  1.0177000e+04
   8.000e+00    6.1738544e+06  1.0177000e+04
   2.000e+01    7.3429146e+06  1.0177000e+04
   9.000e+00    6.3841983e+06  1.0177000e+04
   1.800e+01    7.2907632e+06  1.0177000e+04
   1.000e+01    6.5719433e+06  1.0177000e+04
   1.600e+01    7.1803761e+06  1.0177000e+04
   1.100e+01    6.6797228e+06  1.0177000e+04
   1.400e+01    6.9978463e+06  1.0177000e+04
   1.200e+01    6.8196624e+06  1.0177000e+04
   1.000e+00    5.5801979e+06  1.0177000e+04
   4.000e+01    7.6488694e+06  1.0177000e+04
   2.000e+00    5.6879774e+06  1.0177000e+04
   3.600e+01    7.6662532e+06  1.0177000e+04
