#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.5920230e+07  1.0109420e+04
   4.000e+01    1.3587916e+07  1.0109420e+04
   1.000e+00    1.2279273e+07  1.0109420e+04
   3.600e+01    1.3600652e+07  1.0109420e+04
   2.000e+00    1.2755288e+07  1.0109420e+04
   3.200e+01    1.3594284e+07  1.0109420e+04
   3.000e+00    1.3146926e+07  1.0109420e+04
   3.000e+01    1.3599060e+07  1.0109420e+04
   4.000e+00    1.3228119e+07  1.0109420e+04
   2.800e+01    1.3587916e+07  1.0109420e+04
   5.000e+00    1.3361849e+07  1.0109420e+04
   2.600e+01    1.3610205e+07  1.0109420e+04
   6.000e+00    1.3384137e+07  1.0109420e+04
   2.400e+01    1.3600652e+07  1.0109420e+04
   7.000e+00    1.3454186e+07  1.0109420e+04
   2.200e+01    1.3632493e+07  1.0109420e+04
   8.000e+00    1.3517867e+07  1.0109420e+04
   2.000e+01    1.3613389e+07  1.0109420e+04
   9.000e+00    1.3514683e+07  1.0109420e+04
   1.800e+01    1.3579956e+07  1.0109420e+04
   1.000e+01    1.3481251e+07  1.0109420e+04
   1.600e+01    1.3557668e+07  1.0109420e+04
   1.100e+01    1.3532196e+07  1.0109420e+04
   1.400e+01    1.3549708e+07  1.0109420e+04
   1.200e+01    1.3559260e+07  1.0109420e+04
   1.000e+00    1.2280865e+07  1.0109420e+04
   4.000e+01    1.3600652e+07  1.0109420e+04
   2.000e+00    1.2796681e+07  1.0109420e+04
   3.600e+01    1.3626125e+07  1.0109420e+04
