#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.9508950e+06  1.0100140e+04
   4.000e+01    8.8861492e+06  1.0100140e+04
   1.000e+00    6.2033879e+06  1.0100140e+04
   3.600e+01    8.9468497e+06  1.0100140e+04
   2.000e+00    6.5029099e+06  1.0100140e+04
   3.200e+01    8.9040608e+06  1.0100140e+04
   3.000e+00    7.1328015e+06  1.0100140e+04
   3.000e+01    8.9398841e+06  1.0100140e+04
   4.000e+00    7.6323365e+06  1.0100140e+04
   2.800e+01    8.9359037e+06  1.0100140e+04
   5.000e+00    7.9975343e+06  1.0100140e+04
   2.600e+01    8.9438644e+06  1.0100140e+04
   6.000e+00    8.1776455e+06  1.0100140e+04
   2.400e+01    8.9000805e+06  1.0100140e+04
   7.000e+00    8.3527813e+06  1.0100140e+04
   2.200e+01    8.8841591e+06  1.0100140e+04
   8.000e+00    8.4970692e+06  1.0100140e+04
   2.000e+01    8.8692327e+06  1.0100140e+04
   9.000e+00    8.5647353e+06  1.0100140e+04
   1.800e+01    8.8393800e+06  1.0100140e+04
   1.000e+01    8.6393670e+06  1.0100140e+04
   1.600e+01    8.8035568e+06  1.0100140e+04
   1.100e+01    8.6741952e+06  1.0100140e+04
   1.400e+01    8.8204733e+06  1.0100140e+04
   1.200e+01    8.7229546e+06  1.0100140e+04
   1.000e+00    6.1974174e+06  1.0100140e+04
   4.000e+01    8.9737171e+06  1.0100140e+04
   2.000e+00    6.5068902e+06  1.0100140e+04
   3.600e+01    8.9150068e+06  1.0100140e+04
