#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    9.0868890e+06  1.0160280e+04
   4.000e+01    7.7901899e+06  1.0160280e+04
   1.000e+00    5.8819432e+06  1.0160280e+04
   3.600e+01    7.8465287e+06  1.0160280e+04
   2.000e+00    5.9600905e+06  1.0160280e+04
   3.200e+01    7.7811031e+06  1.0160280e+04
   3.000e+00    5.8519565e+06  1.0160280e+04
   3.000e+01    7.7492989e+06  1.0160280e+04
   4.000e+00    5.8655868e+06  1.0160280e+04
   2.800e+01    7.7974595e+06  1.0160280e+04
   5.000e+00    5.9719035e+06  1.0160280e+04
   2.600e+01    7.7393034e+06  1.0160280e+04
   6.000e+00    6.1336501e+06  1.0160280e+04
   2.400e+01    7.6393476e+06  1.0160280e+04
   7.000e+00    6.3635484e+06  1.0160280e+04
   2.200e+01    7.6284433e+06  1.0160280e+04
   8.000e+00    6.5325645e+06  1.0160280e+04
   2.000e+01    7.6220825e+06  1.0160280e+04
   9.000e+00    6.7079415e+06  1.0160280e+04
   1.800e+01    7.4975921e+06  1.0160280e+04
   1.000e+01    6.8578751e+06  1.0160280e+04
   1.600e+01    7.4676054e+06  1.0160280e+04
   1.100e+01    6.9587396e+06  1.0160280e+04
   1.400e+01    7.2758720e+06  1.0160280e+04
   1.200e+01    7.1050385e+06  1.0160280e+04
   1.000e+00    5.9064779e+06  1.0160280e+04
   4.000e+01    7.8274462e+06  1.0160280e+04
   2.000e+00    6.0118858e+06  1.0160280e+04
   3.600e+01    7.7892813e+06  1.0160280e+04
