# Name:       3N-H
# y_ppm:  117.40748    0.00002
# yw_hz:   12.58583    0.01596
# y_eta:    0.00000    0.00000
# x_ppm:  119.25923    0.00002
# xw_hz:   18.80496    0.02372
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
           0    2.781820e+05    6.000000e+02
          40    1.981034e+05    6.000000e+02
           1    1.572453e+05    6.000000e+02
          36    1.967310e+05    6.000000e+02
           2    1.635617e+05    6.000000e+02
          33    1.976925e+05    6.000000e+02
           4    1.719331e+05    6.000000e+02
          30    1.974661e+05    6.000000e+02
           6    1.819766e+05    6.000000e+02
          27    1.975523e+05    6.000000e+02
           8    1.875735e+05    6.000000e+02
          24    1.965173e+05    6.000000e+02
          10    1.907179e+05    6.000000e+02
          21    1.972277e+05    6.000000e+02
          12    1.920442e+05    6.000000e+02
          18    1.951855e+05    6.000000e+02
          15    1.948787e+05    6.000000e+02
          40    1.978912e+05    6.000000e+02
           1    1.564460e+05    6.000000e+02
          12    1.929744e+05    6.000000e+02
