#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    7.1283390e+04  6.0000000e+02
   4.000e+01    4.7525970e+04  6.0000000e+02
   1.000e+00    2.4133620e+04  6.0000000e+02
   3.600e+01    4.7093870e+04  6.0000000e+02
   2.000e+00    2.4879740e+04  6.0000000e+02
   3.300e+01    4.7411780e+04  6.0000000e+02
   4.000e+00    2.6580540e+04  6.0000000e+02
   3.000e+01    4.6909930e+04  6.0000000e+02
   6.000e+00    2.9187110e+04  6.0000000e+02
   2.700e+01    4.5974390e+04  6.0000000e+02
   8.000e+00    3.2251270e+04  6.0000000e+02
   2.400e+01    4.5006750e+04  6.0000000e+02
   1.000e+01    3.6362990e+04  6.0000000e+02
   2.100e+01    4.4068310e+04  6.0000000e+02
   1.200e+01    3.8449040e+04  6.0000000e+02
   1.800e+01    4.3698000e+04  6.0000000e+02
   1.500e+01    4.1819660e+04  6.0000000e+02
   4.000e+01    4.7959650e+04  6.0000000e+02
   1.000e+00    2.3862690e+04  6.0000000e+02
   1.200e+01    3.8710210e+04  6.0000000e+02
