# Name:     103N-H
# y_ppm:  120.42680    0.00032
# yw_hz:   33.38168    0.46447
# y_eta:    0.00000    0.00000
# x_ppm:  113.83290    0.00022
# xw_hz:   30.50906    0.42318
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
           0    1.886922e+06    2.500000e+04
          40    1.120194e+06    2.500000e+04
           1    5.290637e+05    2.500000e+04
          36    1.109088e+06    2.500000e+04
           2    5.195789e+05    2.500000e+04
          33    1.067170e+06    2.500000e+04
           4    5.252957e+05    2.500000e+04
          30    1.068694e+06    2.500000e+04
           6    5.561135e+05    2.500000e+04
          27    1.008400e+06    2.500000e+04
           8    5.880895e+05    2.500000e+04
          24    9.988619e+05    2.500000e+04
          10    6.166980e+05    2.500000e+04
          21    9.487549e+05    2.500000e+04
          12    6.957071e+05    2.500000e+04
          18    8.779763e+05    2.500000e+04
          15    7.983423e+05    2.500000e+04
          40    1.120338e+06    2.500000e+04
           1    4.980713e+05    2.500000e+04
          12    6.948787e+05    2.500000e+04
