# Name:      75N-H
# y_ppm:  119.93510    0.00021
# yw_hz:   20.36052    0.26080
# y_eta:    0.00000    0.00000
# x_ppm:  118.00446    0.00016
# xw_hz:   22.22534    0.25683
# x_eta:    0.00000    0.00000
#---------------------------------------------
#          Z               I           I_err
           0    2.808470e+06    2.500000e+04
          40    1.501168e+06    2.500000e+04
           1    6.991096e+05    2.500000e+04
          36    1.458012e+06    2.500000e+04
           2    7.223038e+05    2.500000e+04
          33    1.447895e+06    2.500000e+04
           4    7.452587e+05    2.500000e+04
          30    1.426294e+06    2.500000e+04
           6    7.099978e+05    2.500000e+04
          27    1.398856e+06    2.500000e+04
           8    8.573709e+05    2.500000e+04
          24    1.368825e+06    2.500000e+04
          10    9.670375e+05    2.500000e+04
          21    1.319162e+06    2.500000e+04
          12    1.053396e+06    2.500000e+04
          18    1.256732e+06    2.500000e+04
          15    1.201909e+06    2.500000e+04
          40    1.495271e+06    2.500000e+04
           1    7.393095e+05    2.500000e+04
          12    1.076924e+06    2.500000e+04
