#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    1.0315280e+07  1.0315280e+05
   2.000e+01    4.2870304e+06  4.2870304e+04
   1.000e+00    3.8537886e+06  3.8537886e+04
   1.900e+01    4.2942511e+06  4.2942511e+04
   2.000e+00    3.9094911e+06  3.9094911e+04
   1.800e+01    4.2612422e+06  4.2612422e+04
   3.000e+00    4.0425582e+06  4.0425582e+04
   1.700e+01    4.3035348e+06  4.3035348e+04
   4.000e+00    4.0590627e+06  4.0590627e+04
   1.600e+01    4.3025033e+06  4.3025033e+04
   5.000e+00    4.1085760e+06  4.1085760e+04
   1.500e+01    4.2849673e+06  4.2849673e+04
   6.000e+00    4.2034766e+06  4.2034766e+04
   1.400e+01    4.2437062e+06  4.2437062e+04
   7.000e+00    4.1859406e+06  4.1859406e+04
   1.300e+01    4.2581476e+06  4.2581476e+04
   8.000e+00    4.2241072e+06  4.2241072e+04
   1.200e+01    4.2829043e+06  4.2829043e+04
   9.000e+00    4.2385486e+06  4.2385486e+04
   1.100e+01    4.2468008e+06  4.2468008e+04
   1.000e+01    4.2137919e+06  4.2137919e+04
   1.000e+00    3.8630724e+06  3.8630724e+04
   2.000e+01    4.3035348e+06  4.3035348e+04
