#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.0253350e+07  2.0253350e+05
   2.000e+00    1.5234570e+07  1.5234570e+05
   4.000e+00    1.5123176e+07  1.5123176e+05
   6.000e+00    1.5127227e+07  1.5127227e+05
   8.000e+00    1.5096847e+07  1.5096847e+05
   1.000e+01    1.5082670e+07  1.5082670e+05
   1.200e+01    1.5046214e+07  1.5046214e+05
   1.400e+01    1.5027986e+07  1.5027986e+05
   1.600e+01    1.4999631e+07  1.4999631e+05
   1.800e+01    1.5090771e+07  1.5090771e+05
   2.000e+01    1.5005707e+07  1.5005707e+05
   2.400e+01    1.5080644e+07  1.5080644e+05
   2.800e+01    1.5076594e+07  1.5076594e+05
   3.200e+01    1.5092796e+07  1.5092796e+05
   3.600e+01    1.5117100e+07  1.5117100e+05
   4.000e+01    1.5113050e+07  1.5113050e+05
   4.400e+01    1.5113050e+07  1.5113050e+05
   4.800e+01    1.5090771e+07  1.5090771e+05
   5.200e+01    1.5054315e+07  1.5054315e+05
   5.600e+01    1.5131278e+07  1.5131278e+05
   5.600e+01    1.5145455e+07  1.5145455e+05
