#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    4.7043100e+07  4.7043100e+05
   2.000e+00    3.1321296e+07  3.1321296e+05
   4.000e+00    3.1895222e+07  3.1895222e+05
   6.000e+00    3.2506782e+07  3.2506782e+05
   8.000e+00    3.3052482e+07  3.3052482e+05
   1.000e+01    3.3541730e+07  3.3541730e+05
   1.200e+01    3.3762833e+07  3.3762833e+05
   1.400e+01    3.4087430e+07  3.4087430e+05
   1.600e+01    3.4143882e+07  3.4143882e+05
   1.800e+01    3.4369689e+07  3.4369689e+05
   2.000e+01    3.4322646e+07  3.4322646e+05
   2.400e+01    3.4595496e+07  3.4595496e+05
   2.800e+01    3.4068613e+07  3.4068613e+05
   3.200e+01    3.4990658e+07  3.4990658e+05
   3.600e+01    3.4962432e+07  3.4962432e+05
   4.000e+01    3.4957728e+07  3.4957728e+05
   4.400e+01    3.5155309e+07  3.5155309e+05
   4.800e+01    3.5042405e+07  3.5042405e+05
   5.200e+01    3.5056518e+07  3.5056518e+05
   5.600e+01    3.5080040e+07  3.5080040e+05
   5.600e+01    3.5070631e+07  3.5070631e+05
