#    ncyc_cp        Intensity      Esd(Int.)
   0.000e+00    2.1430650e+07  2.1430650e+05
   2.000e+00    1.3220568e+07  1.3220568e+05
   4.000e+00    1.3415587e+07  1.3415587e+05
   6.000e+00    1.3662039e+07  1.3662039e+05
   8.000e+00    1.3908492e+07  1.3908492e+05
   1.000e+01    1.4122798e+07  1.4122798e+05
   1.200e+01    1.4255668e+07  1.4255668e+05
   1.400e+01    1.4347820e+07  1.4347820e+05
   1.600e+01    1.4439972e+07  1.4439972e+05
   1.800e+01    1.4508550e+07  1.4508550e+05
   2.000e+01    1.4553554e+07  1.4553554e+05
   2.400e+01    1.4566413e+07  1.4566413e+05
   2.800e+01    1.4581414e+07  1.4581414e+05
   3.200e+01    1.4688568e+07  1.4688568e+05
   3.600e+01    1.4714284e+07  1.4714284e+05
   4.000e+01    1.4731429e+07  1.4731429e+05
   4.400e+01    1.4778576e+07  1.4778576e+05
   4.800e+01    1.4765718e+07  1.4765718e+05
   5.200e+01    1.4761432e+07  1.4761432e+05
   5.600e+01    1.4772147e+07  1.4772147e+05
   5.600e+01    1.4776433e+07  1.4776433e+05
